observation_id,battle_id,battle_type,source_image_indices,parent_group,display_name_raw,canonical_name_slug,review_status,changed_fields,original_survivors,reviewed_survivors,original_kills,reviewed_kills,original_deaths,reviewed_deaths,original_wounded,reviewed_wounded,original_deployed,reviewed_deployed,review_source,reviewer,reviewed_at,review_note,original_upgrade_ready,reviewed_upgrade_ready,original_routed,reviewed_routed
battle_20260716_181929_defender_018_rhodok_sharpshooter,battle_20260716_181929,field,10,Faldrec's Party,Rhodok Sharpshooter,rhodok_sharpshooter,corrected,kills,10,10,1,17,0,0,1,1,11,11,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,5,,0,
battle_20260716_181929_defender_020_rhodok_river_guard,battle_20260716_181929,field,10,Faldrec's Party,Rhadok River Guard,rhodok_river_guard,corrected,kills,15,15,1,17,1,1,0,0,16,16,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,6,,0,
battle_20260716_181929_defender_021_imperial_naute,battle_20260716_181929,field,10,Faldrec's Party,Imperial Naute,imperial_naute,confirmed,,9,9,15,15,0,0,4,4,13,13,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260716_181929_defender_026_rhodok_river_hunter,battle_20260716_181929,field,10,Faldrec's Party,Rhadok River Hunter,rhodok_river_hunter,corrected,survivors,0,9,7,7,1,1,2,2,3,12,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,3,,0,
battle_20260716_182734_attacker_004_rhodok_sharpshooter,battle_20260716_182734,field,11;12,,Rhodok Sharpshooter,rhodok_sharpshooter,corrected,upgrade_ready,9,9,29,29,1,1,1,1,11,11,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,5,11,0,
battle_20260716_182734_attacker_009_imperial_naute,battle_20260716_182734,field,11;12,,Imperial Naute,imperial_naute,confirmed,,0,0,11,11,4,4,6,6,10,10,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260716_202956_attacker_004_rhodok_sarge,battle_20260716_202956,field,14,,Rhodok Sarge,rhodok_sarge,confirmed,,15,15,21,21,0,0,5,5,20,20,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260716_202956_attacker_007_rhodok_sharpshooter,battle_20260716_202956,field,14,,Rhodok Sharpshooter,rhodok_sharpshooter,corrected,kills,6,6,,7,0,0,0,0,6,6,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,2,,0,
battle_20260717_194357_defender_019_rhodok_river_guard,battle_20260717_194357,field,56,Faldrec's Party,Rhodok River Guard,rhodok_river_guard,confirmed,,18,18,32,32,0,0,4,4,22,22,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,9,9,0,
battle_20260717_210939_attacker_014_imperial_naute,battle_20260717_210939,field,1,Ulvi's Party,Imperial Naute,imperial_naute,confirmed,,0,0,6,6,0,0,4,4,4,4,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
