observation_id,battle_id,battle_type,source_image_indices,parent_group,display_name_raw,canonical_name_slug,review_status,changed_fields,original_survivors,reviewed_survivors,original_kills,reviewed_kills,original_deaths,reviewed_deaths,original_wounded,reviewed_wounded,original_deployed,reviewed_deployed,review_source,reviewer,reviewed_at,review_note,original_upgrade_ready,reviewed_upgrade_ready,original_routed,reviewed_routed
battle_20260723_111115_attacker_015_reach_master_archer_t5,battle_20260723_111115,siege_attack,24,,Reach Master Archer. [T5],reach_master_archer_t5,corrected,kills,5,5,,7,1,1,4,4,10,10,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_122343_attacker_003_dragonstone_elite_halberdier_t5,battle_20260723_122343,siege_attack,28,,Dragonstone Elite Halberdier [T5],dragonstone_elite_halberdier_t5,confirmed,,14,14,69,69,3,3,7,7,24,24,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_131631_defender_013_reach_flower_knight_t6,battle_20260723_131631,field,29,Hake's Party,Reach Flower Knight [T6],reach_flower_knight_t6,corrected,kills,14,14,,7,0,0,0,0,14,14,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_141233_defender_021_queen_s_man_t6,battle_20260723_141233,field,32,,Queen's Man [T6],queen_s_man_t6,corrected,survivors,1,17,55,55,0,0,2,2,3,19,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_141233_defender_023_reach_flower_knight_t6,battle_20260723_141233,field,32,,Reach Flower Knight [T6],reach_flower_knight_t6,corrected,survivors,0,9,28,28,1,1,3,3,4,13,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_141233_defender_025_stormlands_heavy_crossbowmant5,battle_20260723_141233,field,32,,> Stormlands Heavy Crossbowman[T5],stormlands_heavy_crossbowmant5,corrected,kills,42,42,1,17,0,0,0,0,42,42,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_141233_defender_026_captain_of_the_kingsguard_t6,battle_20260723_141233,field,32,,Captain of the Kingsguard [T6],captain_of_the_kingsguard_t6,corrected,kills,5,5,1,11,0,0,0,0,5,5,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_141233_defender_032_rhoynar_bahriyyah_t5,battle_20260723_141233,field,32,,Rhoynar Bahriyyah [T5],rhoynar_bahriyyah_t5,corrected,survivors,1,11,6,6,0,0,0,0,1,11,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_144442_attacker_002_dragonstone_elite_halberdier_t5,battle_20260723_144442,siege_attack,33,Hake's Party,Dragonstone Elite Halberdier [T5],dragonstone_elite_halberdier_t5,corrected,wounded,21,21,60,60,5,5,82,32,108,58,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
battle_20260723_144442_attacker_004_baratheon_hammerknight_t6,battle_20260723_144442,siege_attack,33,Hake's Party,Baratheon Hammerknight [T6],baratheon_hammerknight_t6,corrected,survivors,1,11,36,36,5,5,19,19,25,35,manual_visual_review_exact_hash_source_screenshot,OpenAI GPT-5.6 Thinking with user-authorized repository workflow,2026-07-25,Read from visible result-table row; all four core fields checked even when only one field was initially flagged.,0,,0,
