observation_id,source_fingerprint_sha256,review_status,changed_fields,reviewed_survivors,reviewed_kills,reviewed_upgrade_ready,reviewed_deaths,reviewed_wounded,reviewed_routed,exclusion_reason
battle_20260717_190741_defender_028_quirand_quarrelsmith,327b5f5a8d4accd1e1f2da45acf1795e14d7caf19c717c0d321a838cca9435b0,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260718_011220_defender_019_quirand_quarrelsmith,b83e7c42b44ece0b8897b39a11e04b0d5a9422e27e81696bdf04fd088b69e362,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260718_014339_attacker_012_quirand_quarrelsmith,3d75536905450468428036077bea34b61ee9aff8febebc300991eff3e8bbd616,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260723_010338_defender_026_westerling_hedgeknight_t6,4fdff233da4b02a851f5a47b8c5678f70d8999f7a0c143f204eddd8af701ab51,confirmed,,0,2,0,0,1,0,
battle_20260723_122343_attacker_017_westerling_hedgeknight_t6,2d13adf0196146601a00ebc0c2b28a45b6fcddc1b426359662bf1719108d8b09,corrected,kills,1,7,0,0,0,0,
battle_20260723_144442_attacker_013_westerling_hedgeknight_t6,4fdff233da4b02a851f5a47b8c5678f70d8999f7a0c143f204eddd8af701ab51,confirmed,,0,2,0,0,1,0,
battle_20260723_001446_attacker_008_stormlands_crossbowman_t4,c946e7f83c288b1dcb35226aff419f7171185a00d09d8bcad0d5bced7adda221,corrected,kills,0,21,7,1,6,0,
battle_20260723_235732_attacker_018_stormlands_crossbowman_t4,e53bea256515f23bf584d8b1820f857040c242b2549cf3559a2421077265f702,confirmed,,0,0,0,1,0,0,
battle_20260723_104235_attacker_015_tyrell_elite_longbowman_t5,0fe0b4a4b6b1449479345d4198a10866461040dbf31438f53d603e6e3d56d0e6,corrected,kills,3,7,0,0,0,0,
battle_20260723_122343_attacker_019_tyrell_elite_longbowman_t5,507c9b4986b7c3ccf110b3404438625caf7699de81b80efa794f5288b6ff88ca,confirmed,,0,5,0,0,3,0,
battle_20260723_104235_attacker_049_westerlands_skirmisher_t5,7c2ce79be5630db09e2ed3842eb43d93c6dd01e990ebffc9c0c8a42450fa627b,confirmed,,0,4,0,0,2,0,
battle_20260723_111115_attacker_039_westerlands_skirmisher_t5,7c2ce79be5630db09e2ed3842eb43d93c6dd01e990ebffc9c0c8a42450fa627b,confirmed,,0,4,0,0,2,0,
battle_20260723_234233_attacker_006_celtigar_footman_t3,93c936423a9a8138764382d917478b67f04bd014a47ac8afc54a5f15bac37783,corrected,kills;upgrade_ready;wounded,29,23,11,9,32,0,
battle_20260716_181929_defender_029_battanian_hero,6083cdae2bbd8cd524502d43e05e726a443d8f28b697db4c61f8eaa94dd38d89,confirmed,,7,4,2,0,0,0,
battle_20260723_235732_attacker_005_celtigar_halberdier_t5,21d26d909a6b907f958bced0f99d774db30149c4640a065685814a781fe70440,corrected,survivors,27,53,19,0,2,0,
battle_20260723_122343_attacker_018_guardian_of_oldtown_t6,ef35b871feb22641d887f727b9fc149ed6095ce547095a14c33a4984b5177fb0,corrected,kills,4,7,0,1,1,0,
battle_20260723_111115_attacker_004_baratheon_house_guard_t5,6e7c07b6e50c57bff462cc501b844e61e4ce4e7bc3d55f4a37535a9738d05a4d,confirmed,,0,1,0,0,1,0,
battle_20260723_122343_attacker_007_baratheon_house_guard_t5,11c7bc305a82bd5e80087121c179a3fa9d436910615ccebe3881af833b8da1b2,corrected,wounded,4,22,6,4,3,0,
battle_20260716_181929_defender_024_rhodok_pikegarde,7c236fd7b4db3bbe789bf36ada7bc08368ac3c3fca26064a759894613a28217f,confirmed,,4,8,0,1,0,0,
battle_20260716_194913_attacker_012_rhodok_pikegarde,c52a3a940b3c6ac30fb21dce9cf49c9265bad35d4d28595f16338ab84f8215ba,corrected,kills,2,7,0,0,0,0,
battle_20260723_001446_attacker_015_dondarrion_boltknight_t6,18d2e66ca09f0fc3b09f4fcaa1a5b9cb219a1a960640185445bb8cefeff6a94b,corrected,kills,0,11,0,2,1,0,
battle_20260717_211550_defender_024_daghild,41d6f29d77a0a150d1e9eaf591a0def53e58a4fafe1bfbae47d966aa2c522ed0,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260718_011220_defender_025_daghild,41d6f29d77a0a150d1e9eaf591a0def53e58a4fafe1bfbae47d966aa2c522ed0,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260718_013447_attacker_013_yana,41d6f29d77a0a150d1e9eaf591a0def53e58a4fafe1bfbae47d966aa2c522ed0,excluded,analysis_status;exclusion_reason,,,,,,,named_character
battle_20260723_235732_attacker_006_stormlands_recruit_t1,f5bdf2821fa616aadfa3a5cd56da93d825e51b53887878fcc86b362a8d1f914b,confirmed,,46,27,28,3,4,0,
battle_20260717_210939_attacker_013_imperial_legionary,17df3950666091c961afc1364181dda82c2133082e9497f5ec3ebd4ccfce1cd5,confirmed,,0,0,0,1,6,0,
battle_20260718_011220_defender_031_imperial_legionary,b3d670271cb644ddf6fd67fb42a44a47723037a0fe7e190b4c39ead44f111839,confirmed,,0,0,0,1,2,0,
