priority_tier,priority_reason,observation_id,battle_id,battle_type,source_image_indices,side,player_side,parent_group,display_name_raw,display_name_normalized,canonical_name_slug,uncertain_core_fields,sample_battles,sample_deployed,survivors,kills,deaths,wounded,routed,deployed,ocr_confidence
P1,player_core_uncertainty_below_display_gate,battle_20260716_182734_attacker_013_vlandian_hardened_crossbowman,battle_20260716_182734,field,11;12,attacker,attacker,,Vlandian Hardened Crossbowman,Vlandian Hardened Crossbowman,vlandian_hardened_crossbowman,kills,2,6,2,,0,1,0,3,0.912
P1,player_core_uncertainty_below_display_gate,battle_20260717_210939_attacker_009_imperial_coast_guard,battle_20260717_210939,field,1,attacker,attacker,Ulvi's Party,Imperial Coast Guard,Imperial Coast Guard,imperial_coast_guard,survivors;deaths,2,6,0,2,1,1,0,2,0.841
P1,player_core_uncertainty_below_display_gate,battle_20260718_011220_defender_029_imperial_elite_cataphract,battle_20260718_011220,field,7,defender,defender,Faldrec's Party,Imperial Elite Cataphract |,Imperial Elite Cataphract,imperial_elite_cataphract,survivors,2,5,0,0,0,1,0,1,0.828
P1,player_core_uncertainty_below_display_gate,battle_20260723_104235_attacker_047_braavosi_captain_t5,battle_20260723_104235,field,23,attacker,attacker,TyrionLannister's Party,Braavosi Captain [TS],Braavosi Captain [T5],braavosi_captain_t5,survivors;wounded,2,5,0,10,0,4,0,4,0.713
P1,player_core_uncertainty_below_display_gate,battle_20260723_111115_attacker_064_stormlands_bowman_t2,battle_20260723_111115,siege_attack,26,attacker,attacker,,Stormlands Bowman [T2],Stormlands Bowman [T2],stormlands_bowman_t2,survivors,2,4,0,0,0,3,0,3,0.75
P1,player_core_uncertainty_below_display_gate,battle_20260723_230954_attacker_066_stormlands_knight_t4,battle_20260723_230954,field,41,attacker,attacker,,Stormlands Knight [T4],Stormlands Knight [T4],stormlands_knight_t4,survivors,2,3,0,4,0,1,0,1,0.79
P1,player_core_uncertainty_below_display_gate,battle_20260718_011220_defender_027_rhylan_blacktooth_a,battle_20260718_011220,field,7,defender,defender,Faldrec's Party,Rhylan Blacktooth a,Rhylan Blacktooth a,rhylan_blacktooth_a,survivors,2,2,0,0,0,1,0,1,0.736
P1,player_core_uncertainty_below_display_gate,battle_20260718_013447_attacker_014_gorigos_the_boar,battle_20260718_013447,field,8,attacker,attacker,Faldrec's Party,Gorigos the Boar,Gorigos the Boar,gorigos_the_boar,survivors,2,2,0,0,0,1,0,1,0.806
P1,player_core_uncertainty_below_display_gate,battle_20260723_151353_defender_025_gendry_a,battle_20260723_151353,field,34,defender,defender,Hake's Party,Gendry a,Gendry a,gendry_a,survivors,2,2,0,3,0,1,0,1,0.745
P1,player_core_uncertainty_below_display_gate,battle_20260723_152103_defender_016_efender_side,battle_20260723_152103,siege_defense,36,defender,defender,,efender Side,efender Side,efender_side,deaths;wounded,1,100,98,81,0,2,0,100,0.668
P1,player_core_uncertainty_below_display_gate,battle_20260718_005538_defender_018_rhodok_admiral_sharpshooter_no,battle_20260718_005538,field,5,defender,defender,Faldrec's Party,Rhodok Admiral Sharpshooter = no |,Rhodok Admiral Sharpshooter = no,rhodok_admiral_sharpshooter_no,kills,1,93,47,362,0,46,0,93,0.669
P1,player_core_uncertainty_below_display_gate,battle_20260717_210939_attacker_004_beinlandsk_drengr,battle_20260717_210939,field,1,attacker,attacker,Ulvi's Party,Beinlandsk Drengr,Beinlandsk Drengr,beinlandsk_drengr,survivors;kills;wounded,1,23,0,15,5,18,0,23,0.607
P1,player_core_uncertainty_below_display_gate,battle_20260718_010744_attacker_001_yywww_iy,battle_20260718_010744,field,6,attacker,attacker,,Yywww iy,Yywww iy,yywww_iy,deaths,1,20,0,0,20,0,0,20,0.104
P1,player_core_uncertainty_below_display_gate,battle_20260724_011947_defender_019_queen_s_man_t6_an,battle_20260724_011947,siege_defense,48,defender,defender,Hake's Party,Queen's Man [T6] an,Queen's Man [T6] an,queen_s_man_t6_an,kills,1,20,20,81,0,0,0,20,0.764
P1,player_core_uncertainty_below_display_gate,battle_20260723_174229_defender_021_dragonstone_elite_archer_t5_l,battle_20260723_174229,field,3;37,defender,defender,Hake's Party,Dragonstone Elite Archer [TS] L,Dragonstone Elite Archer [T5] L,dragonstone_elite_archer_t5_l,kills,1,14,14,5,0,0,0,14,0.827
P1,player_core_uncertainty_below_display_gate,battle_20260721_233102_defender_028_riverlands_house_guard_t5,battle_20260721_233102,field,52,defender,defender,Hake's Party,Riverlands House Guard [T5],Riverlands House Guard [T5],riverlands_house_guard_t5,survivors,1,10,0,4,2,8,0,10,0.851
