batch,batch_id,track,schema_version,screenshots,battles,archive_status,expected_archive_sha256,actual_archive_sha256,ranking_rows,verified_player_side_battles,complete_kill_share_rows
2026-07-23,,,1.0.0-first-pass,60,42,legacy_without_phase2_ranking,,,0,,0
2026-07-27-normalized-only,combat_2026-07-27_222843_010541,realm_of_thrones,1.1.0,13,10,verified,031a7c60d4ed239a2fcb70a81bb6edf047711c3a422ee3ba4420c4a4af534855,031a7c60d4ed239a2fcb70a81bb6edf047711c3a422ee3ba4420c4a4af534855,76,0,0
2026-07-27-rot-field-followup,combat_2026-07-27_103534_104834_rot,realm_of_thrones,1.1.0,2,2,verified,70abe0385130a6d96aa9c594b08edc9bfa528bfdddeedd94c92dcf1d9de940ce,70abe0385130a6d96aa9c594b08edc9bfa528bfdddeedd94c92dcf1d9de940ce,12,2,12
2026-07-28-to-29-nightmare-sails-field,combat_2026-07-28_183356_2026-07-29_015856_nightmare_sails,nightmare_sails,1.1.0,9,9,archive_hash_mismatch,67faffdb8dd882299c97d289136338d9c79fd33ce07c0b11db261514454facde,36569feaa341b674c483ab01673ed098b7e761c52c822aa6a03bd5f80ab802b0,37,0,0
2026-08-08-to-10-sarnori-mixed,combat_2026-08-08_to_10_sarnori_mixed,realm_of_thrones,2.0.0,7,6,verified,54c5ed631540a13a59af5f799910b7253ad09d873b414e0776b1e64f25947bc1,54c5ed631540a13a59af5f799910b7253ad09d873b414e0776b1e64f25947bc1,48,6,48
2026-08-11-ravens-teeth-field,combat_2026-08-11_ravens_teeth_field,realm_of_thrones,2.0.0,5,4,verified,78a6f3a80ea8351e847555b44f2e7f01c2b4db3d4b772a5af716dd5eedcebcb8,78a6f3a80ea8351e847555b44f2e7f01c2b4db3d4b772a5af716dd5eedcebcb8,22,4,22
2026-08-11-to-12-ravens-teeth-field-extension,combat_2026-08-11_to_12_ravens_teeth_field_extension,realm_of_thrones,2.0.0,8,7,verified,403814973c1cad3e4c5a84032806949c4fad5e613c43d2c8a9f5bcc567188fba,403814973c1cad3e4c5a84032806949c4fad5e613c43d2c8a9f5bcc567188fba,44,7,44
2026-08-12-mallister-mixed,combat_2026-08-12_mallister_mixed,realm_of_thrones,2.0.0,6,6,verified,97db4b82f1d1b146d43c3f3afc421cb4594c2960bd418a045f70c2a0685758e7,97db4b82f1d1b146d43c3f3afc421cb4594c2960bd418a045f70c2a0685758e7,48,6,48
2026-08-13-goldenheart-field,combat_2026-08-13_goldenheart_field,realm_of_thrones,2.0.0,2,2,verified,b9b59cdd6547637b7dbf73ff66bef8370654df1dd3ecf7dd62cc48fe37577829,b9b59cdd6547637b7dbf73ff66bef8370654df1dd3ecf7dd62cc48fe37577829,20,2,20
2026-08-15-to-16-captain-kingsguard-mixed,combat_2026-08-15_to_16_captain_kingsguard_mixed,realm_of_thrones,2.0.0,9,9,verified,6b16d78d32ca70ea5093431874d8a73b00e6a3b961fa2686ec8701659decbc4d,6b16d78d32ca70ea5093431874d8a73b00e6a3b961fa2686ec8701659decbc4d,64,9,64
