batch,track,context,efficiency_rank,impact_rank,rank_delta,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,kills,kills_per_deployed,verified_player_side_total_kills,player_side_kill_share,share_adjusted_impact,kill_share_coverage_battles,kill_share_coverage_complete,kill_share_status,kill_share_denominator_provenance,reliability_status
2026-07-27-normalized-only,realm_of_thrones,field,1,,,Ravens' Teeth [T6],ravens_teeth,ravens_teeth,confirmed_id,4,77,258,3.350649,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,2,,,Guardian of the Rock [T6],guardian_of_the_rock,,unresolved,1,2,5,2.500000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,3,,,Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,1,3,6,2.000000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,4,,,Northern Colonel [T5],northern_colonel,,unresolved,1,6,9,1.500000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,5,,,Northern Hero [T4],northern_hero,,unresolved,1,2,3,1.500000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,6,,,Northern Mounted Warlord [T6],northern_mounted_warlord,,unresolved,3,15,21,1.400000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,7,,,Riverlands House Guard [T5],riverlands_house_guard,,unresolved,1,3,4,1.333333,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,8,,,Riverlands Soldier [T3],riverlands_soldier,,unresolved,1,3,4,1.333333,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,9,,,Riverlands Ranger [T5],riverlands_ranger,river_ranger,confirmed_id,4,167,179,1.071856,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,10,,,Riverlands Axeman [T5],riverlands_axeman,river_axeman,confirmed_id,2,19,17,0.894737,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,11,,,Blackwood Horseman [T5],blackwood_horseman,,unresolved,3,16,14,0.875000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,12,,,Riverlands Cavalry [T5],riverlands_cavalry,,unresolved,3,14,12,0.857143,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,13,,,Westerlands Banner Knight [T6],westerlands_banner_knight,,unresolved,4,31,26,0.838710,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,14,,,Northern Horseman [T5],northern_horseman,,unresolved,2,9,7,0.777778,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,15,,,Mallister Eagle Knight [T6],mallister_eagle_knight,mallister_knight,confirmed_id,4,53,40,0.754717,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,16,,,Blackwood Longbowman [T5],blackwood_longbowman,,unresolved,1,4,3,0.750000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,17,,,Northern Ranger [T5],northern_ranger,,unresolved,1,3,2,0.666667,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,18,,,Mallister Elite Archer [T5],mallister_elite_archer,mallister_elite_archer,confirmed_id,4,135,73,0.540741,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,19,,,Riverlands Man at Arms [T4],riverlands_man_at_arms,,unresolved,1,4,2,0.500000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,20,,,Mallister House Guard [T5],mallister_house_guard,mallister_houseguard,confirmed_id,4,66,30,0.454545,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,field,21,,,Blackwood House Guard [T5],blackwood_house_guard,,unresolved,4,73,30,0.410959,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,1,,,Bracken Pikemaster [T6],bracken_pikemaster,,unresolved,1,1,6,6.000000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,2,,,Ravens' Teeth [T6],ravens_teeth,ravens_teeth,confirmed_id,5,88,337,3.829545,,,,0,False,missing_player_side_total,,reliable
2026-07-27-normalized-only,realm_of_thrones,siege_attack,3,,,Blackwood Longbowman [T5],blackwood_longbowman,,unresolved,1,9,20,2.222222,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,4,,,Marauder [T5],marauder,,unresolved,1,4,8,2.000000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,5,,,Guardian of the Rock [T6],guardian_of_the_rock,,unresolved,1,2,4,2.000000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,6,,,Westerlands Sharpshooter [T5],westerlands_sharpshooter,,unresolved,1,1,2,2.000000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,7,,,Riverlands Elite Swordsman [T4],riverlands_elite_swordsman,,unresolved,1,4,6,1.500000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,8,,,Riverlands Swordmaster [T5],riverlands_swordmaster,,unresolved,1,2,3,1.500000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,9,,,Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,2,3,4,1.333333,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,10,,,Northern Noble Warrior [T3],northern_noble_warrior,,unresolved,1,4,5,1.250000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,11,,,Northern Pikeman [T5],northern_pikeman,,unresolved,1,8,9,1.125000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,12,,,Westerlands Banner Knight [T6],westerlands_banner_knight,,unresolved,2,17,17,1.000000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,13,,,Northern Winter Warrior [T4],northern_winter_warrior,,unresolved,1,4,4,1.000000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,14,,,Blackwood Scout [T4],blackwood_scout,,unresolved,1,3,3,1.000000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,15,,,Northern Scout [T4],northern_scout,,unresolved,1,3,3,1.000000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,16,,,Riverlands Man at Arms [T4],riverlands_man_at_arms,,unresolved,1,3,3,1.000000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,17,,,Mallister Elite Archer [T5],mallister_elite_archer,mallister_elite_archer,confirmed_id,5,164,159,0.969512,,,,0,False,missing_player_side_total,,reliable
2026-07-27-normalized-only,realm_of_thrones,siege_attack,18,,,Mallister Man at Arms [T4],mallister_man_at_arms,,unresolved,2,11,10,0.909091,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,19,,,Blackwood Horseman [T5],blackwood_horseman,,unresolved,2,18,15,0.833333,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,20,,,Riverlands Ranger [T5],riverlands_ranger,river_ranger,confirmed_id,5,175,143,0.817143,,,,0,False,missing_player_side_total,,reliable
2026-07-27-normalized-only,realm_of_thrones,siege_attack,21,,,Blackwood House Guard [T5],blackwood_house_guard,,unresolved,5,98,76,0.775510,,,,0,False,missing_player_side_total,,reliable
2026-07-27-normalized-only,realm_of_thrones,siege_attack,22,,,Mallister Archer [T4],mallister_archer,,unresolved,1,13,10,0.769231,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,23,,,Blackwood Man at Arms [T4],blackwood_man_at_arms,,unresolved,1,20,15,0.750000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,24,,,Blackwood Footman [T3],blackwood_footman,,unresolved,1,30,21,0.700000,,,,0,False,missing_player_side_total,,insufficient_evidence
2026-07-27-normalized-only,realm_of_thrones,siege_attack,25,,,Northern Ranger [T5],northern_ranger,,unresolved,2,13,9,0.692308,,,,0,False,missing_player_side_total,,insufficient_evidence
