troop_id,troop_name,culture,level,default_group,defensive_lane,roster_count,shield_share,horse_share,armor_total_mean,survivability_armor_v71_mean,shield_hp_mean,shield_armor_mean,harness_armor_mean,horse_extra_health_mean,horse_speed_mean,horse_maneuver_mean,horse_charge_damage_audit_only_mean,horse_charge_damage_max_audit_only,mount_ids_audit_only,mount_evidence_status,unresolved_mount_evidence,spectacle_reason,athletics,riding,melee_skill,armor_component_v2,shield_hp_component_v2,shield_armor_component_v2,harness_component_v2,mount_health_component_v2,mobility_component_v2,counterpressure_component_v2,protection_score_v2,defensive_utility_score_v2,protection_rank_v2,defensive_utility_rank_v2,normalization_includes_outliers,roster_aggregation,evidence_basis,empirical,score_status
vlandian_banner_knight,Vlandian Banner Knight,vlandia,31.000000,Cavalry,cavalry,3,1.000000,1.000000,202.000000,57.500000,490.000000,5.000000,64.000000,60.000000,49.000000,68.000000,32.000000,32.000000,t3_vlandia_horse,resolved,,,60.000000,200.000000,260.000000,96.941613,80.327869,50.000000,83.582090,92.857143,60.966811,100.000000,89.022119,87.314376,1,1,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
imperial_elite_cataphract,Imperial Elite Cataphract,empire,31.000000,Cavalry,cavalry,3,1.000000,1.000000,207.666667,59.150000,400.000000,1.000000,75.000000,20.000000,59.000000,66.000000,28.000000,28.000000,t3_empire_horse,resolved,,,60.000000,200.000000,250.000000,100.000000,65.573770,10.000000,100.000000,64.285714,73.809524,95.833333,86.764637,86.375995,2,2,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
druzhinnik_champion,Sturgian Druzhinnik Champion,sturgia,31.000000,Cavalry,cavalry,3,1.000000,1.000000,208.000000,57.166667,610.000000,5.000000,55.000000,13.333333,55.666667,65.666667,22.333333,27.000000,t2_sturgia_horse|t3_sturgia_horse,resolved,,,140.000000,170.000000,190.000000,96.323757,100.000000,50.000000,70.149254,59.523810,62.131115,70.833333,85.644110,81.811733,3,3,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
druzhinnik,Sturgian Druzhinnik,sturgia,26.000000,Cavalry,cavalry,3,1.000000,1.000000,188.333333,53.583333,610.000000,5.000000,55.000000,0.000000,57.000000,63.000000,20.000000,20.000000,t2_sturgia_horse,resolved,,,100.000000,120.000000,150.000000,89.681804,100.000000,50.000000,70.149254,50.000000,50.403192,54.166667,81.370753,75.553588,4,5,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
vlandian_champion,Vlandian Champion,vlandia,26.000000,Cavalry,cavalry,3,1.000000,1.000000,171.000000,51.650000,430.000000,1.000000,64.000000,60.000000,49.000000,68.000000,32.000000,32.000000,t3_vlandia_horse,resolved,,,80.000000,130.000000,160.000000,86.098239,70.491803,10.000000,83.582090,92.857143,47.241321,58.333333,80.125022,74.657483,5,6,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_vanguard_faris,Aserai Vanguard Faris,aserai,31.000000,Cavalry,cavalry,3,1.000000,1.000000,207.333333,57.166667,360.000000,1.000000,58.000000,20.000000,65.000000,73.000000,20.000000,20.000000,t3_aserai_horse,resolved,,,90.000000,170.000000,200.000000,96.323757,59.016393,10.000000,74.626866,64.285714,88.057041,75.000000,78.868282,79.400330,6,4,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
imperial_cataphract,Imperial Cataphract,empire,26.000000,Cavalry,cavalry,3,1.000000,1.000000,174.333333,50.650000,350.000000,1.000000,75.000000,20.000000,59.000000,66.000000,28.000000,28.000000,t3_empire_horse,resolved,,,50.000000,130.000000,160.000000,84.244671,57.377049,10.000000,100.000000,64.285714,60.084034,58.333333,77.657464,73.967708,7,7,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_veteran_faris,Aserai Veteran Faris,aserai,26.000000,Cavalry,cavalry,3,1.000000,1.000000,194.333333,54.850000,360.000000,1.000000,58.000000,0.000000,51.000000,73.000000,18.000000,18.000000,t2_aserai_horse,resolved,,,80.000000,160.000000,130.000000,92.029657,59.016393,10.000000,74.626866,50.000000,63.874034,45.833333,75.292661,71.204866,8,8,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
conspiracy_battlerider,Conspiracy Battle Rider,sturgia,26.000000,Cavalry,cavalry,1,1.000000,1.000000,170.000000,52.300000,380.000000,1.000000,55.000000,0.000000,57.000000,63.000000,20.000000,20.000000,t2_sturgia_horse,resolved,,,70.000000,120.000000,160.000000,87.303058,62.295082,10.000000,70.149254,50.000000,50.403192,58.333333,72.525642,68.894166,9,10,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
khuzait_heavy_lancer,Khuzait Heavy Lancer,khuzait,26.000000,Cavalry,cavalry,3,1.000000,1.000000,187.666667,53.850000,340.000000,1.000000,38.000000,35.000000,60.000000,77.000000,20.000000,20.000000,t3_khuzait_horse,resolved,,,60.000000,150.000000,130.000000,90.176089,55.737705,10.000000,44.776119,75.000000,82.259570,45.833333,70.403924,69.132430,10,9,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
