troop_id,troop_name,culture,level,default_group,defensive_lane,roster_count,shield_share,horse_share,armor_total_mean,survivability_armor_v71_mean,shield_hp_mean,shield_armor_mean,harness_armor_mean,horse_extra_health_mean,horse_speed_mean,horse_maneuver_mean,horse_charge_damage_audit_only_mean,horse_charge_damage_max_audit_only,mount_ids_audit_only,mount_evidence_status,unresolved_mount_evidence,spectacle_reason,athletics,riding,melee_skill,armor_component_v2,shield_hp_component_v2,shield_armor_component_v2,harness_component_v2,mount_health_component_v2,mobility_component_v2,counterpressure_component_v2,protection_score_v2,defensive_utility_score_v2,protection_rank_v2,defensive_utility_rank_v2,normalization_includes_outliers,roster_aggregation,evidence_basis,empirical,score_status
nord_huscarl,Nord Huscarl,nord,31.000000,Infantry,infantry,5,1.000000,0.000000,204.400000,60.360000,628.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,220.000000,90.000000,220.000000,100.000000,83.733333,38.461538,0.000000,0.000000,100.000000,91.666667,90.592821,91.640923,1,1,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
sturgian_veteran_warrior,Sturgian Heavy Axeman,sturgia,26.000000,Infantry,infantry,3,1.000000,0.000000,211.666667,57.583333,470.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,130.000000,60.000000,130.000000,95.209340,62.666667,53.846154,0.000000,0.000000,59.090909,54.166667,84.564487,78.977347,2,2,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
vlandian_sergeant,Vlandian Sergeant,vlandia,26.000000,Infantry,infantry,3,1.000000,0.000000,175.666667,49.850000,560.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,130.000000,80.000000,130.000000,81.866805,74.666667,100.000000,0.000000,0.000000,59.090909,54.166667,82.240097,77.117835,3,3,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
sturgian_shock_troop,Sturgian Heavy Spearman,sturgia,26.000000,Infantry,infantry,3,1.000000,0.000000,189.000000,53.650000,470.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,125.000000,45.000000,140.000000,88.423050,62.666667,53.846154,0.000000,0.000000,56.818182,58.333333,79.814084,75.366419,4,4,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_master_archer,Aserai Mamluke Warden,aserai,26.000000,Infantry,infantry,3,1.000000,0.000000,186.666667,53.266667,480.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,160.000000,60.000000,130.000000,87.761675,64.000000,7.692308,0.000000,0.000000,72.727273,54.166667,75.002403,72.691316,7,5,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
battanian_wildling,Battanian Wildling,battania,26.000000,Infantry,infantry,3,1.000000,0.000000,186.333333,56.183333,410.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,140.000000,60.000000,120.000000,92.793881,54.666667,7.692308,0.000000,0.000000,63.636364,50.000000,76.658281,72.690261,5,6,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
imperial_legionary,Imperial Legionary,empire,26.000000,Infantry,infantry,3,1.000000,0.000000,202.000000,54.700000,371.666667,3.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,130.000000,20.000000,130.000000,90.234645,49.555556,28.205128,0.000000,0.000000,59.090909,54.166667,75.895875,72.042458,6,7,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
nord_hirdmann,Nord Shield-Companion,nord,26.000000,Infantry,infantry,5,1.000000,0.000000,159.400000,47.430000,516.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,160.000000,70.000000,160.000000,77.691511,68.800000,38.461538,0.000000,0.000000,72.727273,66.666667,71.990212,71.531564,9,8,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
nord_berserkr,Nord Berserkir,nord,26.000000,Infantry,infantry,4,1.000000,0.000000,172.750000,48.962500,520.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,140.000000,70.000000,140.000000,80.335576,69.333333,38.461538,0.000000,0.000000,63.636364,58.333333,73.947724,71.355149,8,9,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
khuzait_darkhan,Khuzait Darkhan,khuzait,26.000000,Infantry,infantry,3,1.000000,0.000000,171.333333,49.866667,510.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,130.000000,80.000000,130.000000,81.895560,68.000000,7.692308,0.000000,0.000000,59.090909,54.166667,71.696123,68.682656,10,10,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
