troop_id,troop_name,roster_index,armor_total,survivability_armor_v71,shield_hp,shield_armor,has_shield,has_horse,harness_armor,horse_extra_health,horse_speed,horse_maneuver,horse_charge_damage_audit_only,horse_charge_damage_max_audit_only,horse_item_ids_audit_only,shield_probability,horse_probability
anti_imperial_conspiracy_boss,Conspiracy Commander,0,15.000000,3.750000,430.000000,1.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000
anti_imperial_conspiracy_boss,Conspiracy Commander,1,130.000000,34.000000,430.000000,1.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000
aserai_faris,Aserai Faris,0,103.000000,37.750000,245.000000,1.000000,true,true,12.000000,0.000000,51.000000,73.000000,18.000000,18.000000,t2_aserai_horse,1.000000,1.000000
aserai_faris,Aserai Faris,1,105.000000,37.350000,245.000000,1.000000,true,true,12.000000,0.000000,51.000000,73.000000,18.000000,18.000000,t2_aserai_horse,1.000000,1.000000
aserai_faris,Aserai Faris,2,105.000000,36.250000,245.000000,1.000000,true,true,12.000000,0.000000,51.000000,73.000000,18.000000,18.000000,t2_aserai_horse,1.000000,1.000000
aserai_footman,Aserai Sailor,0,92.000000,30.200000,250.000000,1.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000
aserai_footman,Aserai Sailor,1,86.000000,29.400000,250.000000,1.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000
aserai_infantry,Aserai Boatswain,0,121.000000,36.750000,250.000000,1.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000
aserai_infantry,Aserai Boatswain,1,123.000000,38.350000,250.000000,1.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000
aserai_infantry,Aserai Boatswain,2,134.000000,38.900000,250.000000,1.000000,true,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,0.000000
aserai_mameluke_axeman,Aserai Mamluke Axeman,0,86.000000,24.900000,0.000000,0.000000,false,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000
aserai_mameluke_axeman,Aserai Mamluke Axeman,1,98.000000,29.300000,0.000000,0.000000,false,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000
aserai_mameluke_cavalry,Aserai Mamluke Cavalry,0,129.000000,37.450000,245.000000,1.000000,true,true,58.000000,0.000000,54.000000,59.000000,14.000000,14.000000,aserai_horse,1.000000,1.000000
aserai_mameluke_cavalry,Aserai Mamluke Cavalry,1,133.000000,41.450000,245.000000,1.000000,true,true,58.000000,0.000000,54.000000,59.000000,14.000000,14.000000,aserai_horse,1.000000,1.000000
aserai_mameluke_guard,Aserai Mamluke Guard,0,142.000000,38.300000,0.000000,0.000000,false,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000
aserai_mameluke_guard,Aserai Mamluke Guard,1,142.000000,40.900000,0.000000,0.000000,false,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000
aserai_mameluke_guard,Aserai Mamluke Guard,2,147.000000,40.550000,0.000000,0.000000,false,false,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000
aserai_mameluke_heavy_cavalry,Aserai Mamluke Heavy Cavalry,0,177.000000,41.350000,290.000000,1.000000,true,true,55.000000,0.000000,51.000000,73.000000,18.000000,18.000000,t2_aserai_horse,1.000000,1.000000
aserai_mameluke_heavy_cavalry,Aserai Mamluke Heavy Cavalry,1,171.000000,44.850000,290.000000,1.000000,true,true,55.000000,0.000000,51.000000,73.000000,18.000000,18.000000,t2_aserai_horse,1.000000,1.000000
