troop_id,troop_name,culture,level,default_group,defensive_lane,roster_count,shield_share,horse_share,armor_total_mean,survivability_armor_v71_mean,shield_hp_mean,shield_armor_mean,harness_armor_mean,horse_extra_health_mean,horse_speed_mean,horse_maneuver_mean,horse_charge_damage_audit_only_mean,horse_charge_damage_max_audit_only,mount_ids_audit_only,spectacle_reason,athletics,riding,melee_skill,armor_component_v2,shield_hp_component_v2,shield_armor_component_v2,harness_component_v2,mount_health_component_v2,mobility_component_v2,counterpressure_component_v2,protection_score_v2,defensive_utility_score_v2,protection_rank_v2,defensive_utility_rank_v2,normalization_includes_outliers,roster_aggregation,evidence_basis,empirical,score_status
anti_imperial_conspiracy_boss,Conspiracy Commander,sturgia,31.000000,Infantry,infantry,2,1.000000,0.000000,72.500000,18.875000,430.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,160.000000,100.000000,240.000000,28.424776,57.333333,7.692308,0.000000,0.000000,72.727273,100.000000,32.133240,42.979319,106,68,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_faris,Aserai Faris,aserai,21.000000,Cavalry,cavalry,3,1.000000,1.000000,104.333333,37.116667,245.000000,1.000000,12.000000,0.000000,51.000000,73.000000,18.000000,18.000000,t2_aserai_horse,,65.000000,100.000000,110.000000,59.159716,40.163934,10.000000,5.970149,50.000000,52.109329,37.500000,42.298478,42.799715,34,31,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_footman,Aserai Sailor,aserai,16.000000,Infantry,infantry,2,1.000000,0.000000,89.000000,29.800000,250.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,70.000000,30.000000,70.000000,47.273982,33.333333,7.692308,0.000000,0.000000,31.818182,29.166667,40.527685,38.520633,76,82,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_infantry,Aserai Boatswain,aserai,21.000000,Infantry,infantry,3,1.000000,0.000000,126.000000,38.000000,250.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,100.000000,45.000000,100.000000,61.421670,33.333333,7.692308,0.000000,0.000000,45.454545,41.666667,50.431067,49.056975,45,49,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_mameluke_axeman,Aserai Mamluke Axeman,aserai,16.000000,Infantry,infantry,2,0.000000,0.000000,92.000000,27.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,80.000000,40.000000,80.000000,42.615597,0.000000,0.000000,0.000000,0.000000,36.363636,33.333333,29.830918,30.834431,118,110,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_mameluke_cavalry,Aserai Mamluke Cavalry,aserai,21.000000,HorseArcher,cavalry,2,1.000000,1.000000,131.000000,39.450000,245.000000,1.000000,58.000000,0.000000,54.000000,59.000000,14.000000,14.000000,aserai_horse,,40.000000,110.000000,100.000000,63.484708,40.163934,10.000000,74.626866,50.000000,37.619896,33.333333,58.192317,53.649177,20,21,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_mameluke_guard,Aserai Mamluke Guard,aserai,21.000000,Infantry,infantry,3,0.000000,0.000000,143.666667,39.916667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,110.000000,45.000000,110.000000,64.728548,0.000000,0.000000,0.000000,0.000000,50.000000,45.833333,45.309984,45.831321,58,61,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_mameluke_heavy_cavalry,Aserai Mamluke Heavy Cavalry,aserai,26.000000,HorseArcher,cavalry,3,1.000000,1.000000,167.000000,43.216667,290.000000,1.000000,55.000000,0.000000,51.000000,73.000000,18.000000,18.000000,t2_aserai_horse,,80.000000,130.000000,130.000000,70.466481,47.540984,10.000000,70.149254,50.000000,57.991682,45.833333,61.894239,59.897893,15,16,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_mameluke_regular,Aserai Mamluke Regular,aserai,16.000000,Cavalry,cavalry,3,1.000000,1.000000,46.333333,15.316667,160.000000,1.000000,12.000000,0.000000,54.000000,59.000000,14.000000,14.000000,aserai_horse,,40.000000,70.000000,70.000000,18.751931,26.229508,10.000000,5.970149,50.000000,29.776759,20.833333,20.004421,21.064546,51,52,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_mameluke_soldier,Aserai Mamluke Soldier,aserai,11.000000,Infantry,infantry,3,1.000000,0.000000,58.000000,19.400000,290.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,40.000000,15.000000,50.000000,29.330573,38.666667,7.692308,0.000000,0.000000,18.181818,20.833333,29.033965,27.128687,124,125,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_marine_t4,Aserai Sahraq,aserai,21.000000,Ranged,infantry,2,0.000000,0.000000,87.000000,27.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,100.000000,40.000000,100.000000,44.082126,0.000000,0.000000,0.000000,0.000000,45.454545,41.666667,30.857488,33.398112,113,99,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
