troop_id,troop_name,culture,level,default_group,defensive_lane,roster_count,shield_share,horse_share,armor_total_mean,survivability_armor_v71_mean,shield_hp_mean,shield_armor_mean,harness_armor_mean,horse_extra_health_mean,horse_speed_mean,horse_maneuver_mean,horse_charge_damage_audit_only_mean,horse_charge_damage_max_audit_only,mount_ids_audit_only,mount_evidence_status,unresolved_mount_evidence,unresolved_item_evidence,spectacle_reason,athletics,riding,melee_skill,armor_component_v2,shield_hp_component_v2,shield_armor_component_v2,harness_component_v2,mount_health_component_v2,mobility_component_v2,counterpressure_component_v2,protection_score_v2,defensive_utility_score_v2,protection_rank_v2,defensive_utility_rank_v2,normalization_includes_outliers,roster_aggregation,evidence_basis,empirical,score_status
mallister_knight,Mallister Eagle Knight,river,31.000000,Cavalry,cavalry,1,1.000000,1.000000,208.000000,62.200000,400.000000,9.000000,75.000000,40.000000,58.000000,58.000000,30.000000,30.000000,t2_vlandia_horse,resolved,,,,230.000000,240.000000,240.000000,88.306943,76.923077,90.000000,62.500000,20.000000,77.897124,85.000000,74.691933,76.043259,1,2,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
mounted_kingsguard,Captain of the Kingsguard,crownlands,31.000000,Cavalry,cavalry,1,1.000000,1.000000,211.000000,63.550000,370.000000,1.000000,80.000000,60.000000,64.000000,68.000000,32.000000,32.000000,t3_vlandia_horse,resolved,,,,270.000000,250.000000,270.000000,91.595615,71.153846,10.000000,66.666667,30.000000,89.581096,100.000000,73.304218,77.601484,2,1,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
arryn_moonknight,Arryn Winged Knight,vale,31.000000,Cavalry,cavalry,2,1.000000,1.000000,221.000000,65.450000,370.000000,1.000000,75.000000,20.000000,61.000000,66.000000,28.000000,28.000000,t3_empire_horse,resolved,,,,220.000000,250.000000,250.000000,96.224117,71.153846,10.000000,62.500000,10.000000,86.370689,90.000000,72.785135,75.865177,3,3,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
queensguard_captain,Captain of the Queen's Guard,valyrian,31.000000,Cavalry,cavalry,1,1.000000,1.000000,204.000000,60.200000,400.000000,7.000000,75.000000,40.000000,58.000000,58.000000,30.000000,30.000000,t2_vlandia_horse,resolved,,,,220.000000,220.000000,220.000000,83.434836,76.923077,70.000000,62.500000,20.000000,74.388352,75.000000,71.255879,71.943538,4,5,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
stark_cavalry,Stark Cavalry,battania,26.000000,Cavalry,cavalry,2,1.000000,1.000000,186.000000,57.700000,420.000000,9.000000,74.500000,70.000000,55.000000,66.000000,22.000000,22.000000,t2_battania_horse,resolved,,,,130.000000,130.000000,140.000000,77.344702,80.769231,90.000000,62.083333,35.000000,61.236424,35.000000,71.204402,66.587164,5,14,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
targ_queensguard,Targaryen Queen's Guard,valyrian,26.000000,Cavalry,cavalry,1,1.000000,1.000000,198.000000,59.900000,400.000000,7.000000,75.000000,40.000000,58.000000,58.000000,30.000000,30.000000,t2_vlandia_horse,resolved,,,,160.000000,140.000000,140.000000,82.704019,76.923077,70.000000,62.500000,20.000000,60.353264,35.000000,70.890471,66.247703,6,16,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
whiteharbor_knight_commander,White Harbor Knight Commander,battania,31.000000,Cavalry,cavalry,1,1.000000,1.000000,191.000000,55.850000,400.000000,9.000000,75.000000,90.000000,62.000000,69.000000,23.000000,23.000000,t3_battania_horse,resolved,,,,230.000000,240.000000,250.000000,72.838002,76.923077,90.000000,62.500000,45.000000,87.050961,90.000000,69.457463,73.271066,7,4,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
magister_guard,Magister Guard Elite,pentoshi,31.000000,Cavalry,cavalry,1,1.000000,1.000000,197.000000,58.550000,400.000000,9.000000,65.000000,40.000000,59.000000,69.000000,19.000000,19.000000,t2_khuzait_horse,resolved,,,,220.000000,220.000000,220.000000,79.415347,76.923077,90.000000,54.166667,20.000000,81.501372,75.000000,68.579468,70.513712,8,6,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
whiteharbor_elite_knight,White Harbor Elite Knight,battania,26.000000,Cavalry,cavalry,1,1.000000,1.000000,190.000000,55.800000,400.000000,9.000000,75.000000,70.000000,55.000000,66.000000,22.000000,22.000000,t2_battania_horse,resolved,,,,140.000000,140.000000,150.000000,72.716200,76.923077,90.000000,62.500000,35.000000,62.990810,40.000000,68.396561,65.016330,9,18,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
valyrian_dragonlord_protector,Valyrian Dragonlord Protector,valyrian,31.000000,Cavalry,cavalry,1,1.000000,1.000000,190.000000,58.500000,430.000000,1.000000,75.000000,40.000000,58.000000,58.000000,30.000000,30.000000,t2_vlandia_horse,resolved,,,,220.000000,220.000000,220.000000,79.293544,82.692308,10.000000,62.500000,20.000000,74.388352,75.000000,67.050618,68.579330,10,12,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
reach_flower_knight,Reach Flower Knight,reach,31.000000,Cavalry,cavalry,1,1.000000,1.000000,188.000000,57.200000,500.000000,1.000000,75.000000,20.000000,54.000000,60.000000,26.000000,26.000000,t2_empire_horse,resolved,,,,210.000000,230.000000,230.000000,76.126675,96.153846,10.000000,62.500000,10.000000,74.591240,80.000000,66.486414,68.648255,11,11,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
pentoshi_lancer,Pentoshi Lancer,pentoshi,26.000000,Cavalry,cavalry,1,1.000000,1.000000,191.000000,57.750000,400.000000,9.000000,58.000000,40.000000,59.000000,69.000000,19.000000,19.000000,t2_khuzait_horse,resolved,,,,140.000000,140.000000,150.000000,77.466504,76.923077,90.000000,48.333333,20.000000,67.466285,40.000000,66.438380,63.897332,12,19,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
valyrian_dragonknight,Valyrian Dragonknight,valyrian,26.000000,Cavalry,cavalry,1,1.000000,1.000000,178.000000,57.900000,430.000000,1.000000,75.000000,40.000000,58.000000,58.000000,30.000000,30.000000,t2_vlandia_horse,resolved,,,,160.000000,140.000000,140.000000,77.831912,82.692308,10.000000,62.500000,20.000000,60.353264,35.000000,66.319802,62.591168,13,23,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
targaryen_dragonknight,Valyrian Cavalry,valyrian,26.000000,Cavalry,cavalry,1,1.000000,1.000000,184.000000,56.000000,400.000000,7.000000,75.000000,40.000000,58.000000,58.000000,30.000000,30.000000,t2_vlandia_horse,resolved,,,,140.000000,150.000000,150.000000,73.203410,76.923077,70.000000,62.500000,20.000000,62.107650,40.000000,66.140167,63.122899,14,21,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
dondarion_boltknight,Dondarrion Boltknight,stormlands,31.000000,Cavalry,cavalry,1,1.000000,1.000000,195.000000,56.950000,300.000000,10.000000,75.000000,40.000000,62.000000,71.000000,27.000000,27.000000,t3_sturgia_horse,resolved,,,,220.000000,230.000000,240.000000,75.517661,57.692308,100.000000,62.500000,20.000000,86.466165,85.000000,65.912677,69.876758,15,7,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
grafton_horseman,Grafton Horseman,vale,26.000000,Cavalry,cavalry,1,1.000000,1.000000,187.000000,56.350000,380.000000,9.000000,75.000000,10.000000,53.000000,61.000000,22.000000,22.000000,vlandia_horse,resolved,,,,110.000000,130.000000,140.000000,74.056029,73.076923,90.000000,62.500000,5.000000,56.951904,35.000000,65.489553,61.586833,16,27,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
dayne_starfall_knights,Knights of Starfall,aserai,31.000000,Cavalry,cavalry,1,1.000000,1.000000,197.000000,58.650000,400.000000,1.000000,75.000000,20.000000,60.000000,73.000000,18.000000,18.000000,t2_aserai_horse,resolved,,,,230.000000,230.000000,240.000000,79.658952,76.923077,10.000000,62.500000,10.000000,86.275212,85.000000,65.367938,69.421872,17,9,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
vale_knight_of,Knight of the Vale,vale,31.000000,Cavalry,cavalry,1,1.000000,1.000000,178.000000,54.000000,280.000000,1.000000,75.000000,200.000000,69.000000,73.000000,36.000000,36.000000,noble_horse_western,resolved,,,,220.000000,240.000000,230.000000,68.331303,53.846154,10.000000,62.500000,100.000000,94.152047,80.000000,65.242575,69.609265,18,8,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
lannister_prideknight,Lannister Prideknight,vlandia,31.000000,Cavalry,cavalry,1,1.000000,1.000000,178.000000,53.700000,400.000000,8.000000,75.000000,60.000000,64.000000,68.000000,32.000000,32.000000,t3_vlandia_horse,resolved,,,,230.000000,240.000000,240.000000,67.600487,76.923077,80.000000,62.500000,30.000000,87.826710,85.000000,64.838705,69.153635,19,10,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
realm_knight,Realm Knight,crownlands,26.000000,Cavalry,cavalry,1,1.000000,1.000000,182.000000,57.600000,300.000000,10.000000,72.000000,10.000000,53.000000,61.000000,22.000000,22.000000,vlandia_horse,resolved,,,,140.000000,130.000000,130.000000,77.101096,57.692308,100.000000,60.000000,5.000000,56.951904,30.000000,64.704394,60.458706,20,33,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
lannister_knight,Lannister Knight,vlandia,26.000000,Cavalry,cavalry,1,1.000000,1.000000,179.000000,54.250000,400.000000,8.000000,75.000000,40.000000,58.000000,58.000000,30.000000,30.000000,t2_vlandia_horse,resolved,,,,130.000000,140.000000,140.000000,68.940317,76.923077,80.000000,62.500000,20.000000,60.353264,35.000000,64.508620,61.142222,21,29,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
