troop_id,troop_name,culture,level,default_group,defensive_lane,roster_count,shield_share,horse_share,armor_total_mean,survivability_armor_v71_mean,shield_hp_mean,shield_armor_mean,harness_armor_mean,horse_extra_health_mean,horse_speed_mean,horse_maneuver_mean,horse_charge_damage_audit_only_mean,horse_charge_damage_max_audit_only,mount_ids_audit_only,mount_evidence_status,unresolved_mount_evidence,unresolved_item_evidence,spectacle_reason,athletics,riding,melee_skill,armor_component_v2,shield_hp_component_v2,shield_armor_component_v2,harness_component_v2,mount_health_component_v2,mobility_component_v2,counterpressure_component_v2,protection_score_v2,defensive_utility_score_v2,protection_rank_v2,defensive_utility_rank_v2,normalization_includes_outliers,roster_aggregation,evidence_basis,empirical,score_status
angry_wight,Angry Wight,whitewalker,11.000000,Infantry,infantry,1,0.000000,0.000000,14.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,<missing-item-id>:Body:item_found|<missing-item-id>:Head:item_found,,50.000000,5.000000,50.000000,1.044776,0.000000,0.000000,0.000000,0.000000,18.518519,16.666667,0.731343,4.103593,698,696,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
arryn_archer,Arryn Archer,vale,21.000000,Ranged,infantry,1,0.000000,0.000000,99.000000,27.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,,80.000000,5.000000,80.000000,41.716418,0.000000,0.000000,0.000000,0.000000,29.629630,26.666667,29.201493,28.990824,510,457,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
arryn_footman,Arryn Footman,vale,16.000000,Infantry,infantry,1,1.000000,0.000000,80.000000,21.300000,305.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,,70.000000,5.000000,70.000000,31.791045,58.653846,5.882353,0.000000,0.000000,25.925926,23.333333,34.572736,32.584115,412,415,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
arryn_horseman,Arryn Horseman,vale,21.000000,Cavalry,cavalry,1,1.000000,1.000000,125.000000,41.350000,370.000000,1.000000,45.000000,10.000000,53.000000,55.000000,20.000000,20.000000,empire_horse,resolved,,,,100.000000,110.000000,110.000000,37.515225,71.153846,10.000000,37.500000,5.000000,49.934360,20.000000,37.930690,37.337988,106,108,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
arryn_houseguard,Arryn House Guard,vale,26.000000,Infantry,infantry,1,1.000000,0.000000,175.000000,52.350000,370.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,,130.000000,50.000000,140.000000,78.134328,71.153846,5.882353,0.000000,0.000000,48.148148,46.666667,69.513034,65.091909,72,69,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
arryn_knight,Arryn Knight,vale,26.000000,Cavalry,cavalry,1,1.000000,1.000000,188.000000,54.300000,370.000000,1.000000,75.000000,40.000000,58.000000,58.000000,30.000000,30.000000,t2_vlandia_horse,resolved,,,,120.000000,140.000000,140.000000,69.062119,71.153846,10.000000,62.500000,20.000000,60.353264,35.000000,60.204137,57.698636,33,39,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
arryn_levy,Arryn Levy,vale,11.000000,Infantry,infantry,1,1.000000,0.000000,69.000000,17.450000,280.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,,50.000000,5.000000,50.000000,26.044776,53.846154,47.058824,0.000000,0.000000,18.518519,16.666667,33.706456,30.483683,424,444,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
arryn_man_at_arms,Arryn Man at Arms,vale,21.000000,Infantry,infantry,1,1.000000,0.000000,125.000000,41.350000,370.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,,100.000000,5.000000,100.000000,61.716418,71.153846,5.882353,0.000000,0.000000,37.037037,33.333333,58.020497,53.453435,170,171,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
arryn_master_archer,Arryn Master Archer,vale,26.000000,Ranged,infantry,1,0.000000,0.000000,119.000000,35.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,,100.000000,5.000000,80.000000,52.910448,0.000000,0.000000,0.000000,0.000000,37.037037,26.666667,37.037313,36.000221,382,375,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
arryn_moonknight,Arryn Winged Knight,vale,31.000000,Cavalry,cavalry,2,1.000000,1.000000,221.000000,65.450000,370.000000,1.000000,75.000000,20.000000,61.000000,66.000000,28.000000,28.000000,t3_empire_horse,resolved,,,,220.000000,250.000000,250.000000,96.224117,71.153846,10.000000,62.500000,10.000000,86.370689,90.000000,72.785135,75.865177,3,3,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
arryn_recruit,Arryn Recruit,vale,6.000000,Infantry,infantry,1,0.000000,0.000000,41.000000,9.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,,20.000000,5.000000,20.000000,14.253731,0.000000,0.000000,0.000000,0.000000,7.407407,6.666667,9.977612,9.389497,638,646,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
arryn_rider,Arryn Rider,vale,16.000000,Cavalry,cavalry,1,1.000000,1.000000,105.000000,30.350000,370.000000,1.000000,18.000000,10.000000,53.000000,55.000000,20.000000,20.000000,empire_horse,resolved,,,,60.000000,70.000000,80.000000,10.718636,71.153846,10.000000,15.000000,5.000000,42.916816,5.000000,20.032395,20.817598,161,160,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
baratheon_archer,Baratheon Archer,stormlands,21.000000,Ranged,infantry,1,0.000000,0.000000,98.000000,26.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,,70.000000,5.000000,70.000000,39.850746,0.000000,0.000000,0.000000,0.000000,25.925926,23.333333,27.895522,27.242344,522,498,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
baratheon_bowman,Baratheon Bowman,stormlands,16.000000,Ranged,infantry,1,0.000000,0.000000,83.000000,25.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,,50.000000,5.000000,50.000000,38.731343,0.000000,0.000000,0.000000,0.000000,18.518519,16.666667,27.111940,25.208071,525,508,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
baratheon_footman,Baratheon Footman,stormlands,11.000000,Infantry,infantry,1,1.000000,0.000000,83.000000,25.950000,220.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,,50.000000,5.000000,50.000000,38.731343,42.307692,5.882353,0.000000,0.000000,18.518519,16.666667,36.161714,32.447890,389,418,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
