troop_id,troop_name,culture,level,default_group,defensive_lane,roster_count,shield_share,horse_share,armor_total_mean,survivability_armor_v71_mean,shield_hp_mean,shield_armor_mean,harness_armor_mean,horse_extra_health_mean,horse_speed_mean,horse_maneuver_mean,horse_charge_damage_audit_only_mean,horse_charge_damage_max_audit_only,mount_ids_audit_only,spectacle_reason,athletics,riding,melee_skill,armor_component_v2,shield_hp_component_v2,shield_armor_component_v2,harness_component_v2,mount_health_component_v2,mobility_component_v2,counterpressure_component_v2,protection_score_v2,defensive_utility_score_v2,protection_rank_v2,defensive_utility_rank_v2,normalization_includes_outliers,roster_aggregation,evidence_basis,empirical,score_status
noldorin_lancer,[Rivendell] Nõldorin Lancer,rivendell,46.000000,Cavalry,cavalry,12,1.000000,1.000000,338.583333,73.970833,600.000000,9.000000,76.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,,220.000000,390.000000,425.000000,99.162110,100.000000,64.285714,95.000000,25.000000,95.833333,96.341463,89.295341,90.653752,1,1,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rivendell_high_captain,[Rivendell] High Captain,rivendell,51.000000,Cavalry,cavalry,7,1.000000,1.000000,337.285714,74.507143,600.000000,9.000000,48.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,,235.000000,430.000000,440.000000,100.000000,100.000000,64.285714,60.000000,25.000000,99.166667,100.000000,82.714286,86.088095,2,2,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rivendell_royal_guard,[Rivendell] Royal Guard,rivendell,41.000000,Cavalry,cavalry,8,1.000000,1.000000,319.500000,64.475000,600.000000,9.000000,77.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,,205.000000,350.000000,380.000000,84.326526,100.000000,64.285714,96.250000,25.000000,92.500000,85.365854,82.127549,83.488625,3,3,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rivendell_royal_knight,[Rivendell] Royal Knight,rivendell,46.000000,Cavalry,cavalry,6,1.000000,1.000000,338.666667,69.433333,600.000000,9.000000,48.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,,220.000000,390.000000,410.000000,92.073057,100.000000,64.285714,60.000000,25.000000,95.833333,92.682927,78.750814,81.852277,4,4,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rivendell_noble,[Rivendell] Noble,rivendell,36.000000,Cavalry,cavalry,25,1.000000,1.000000,287.720000,56.686000,600.000000,9.000000,77.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,,185.000000,300.000000,340.000000,72.157572,100.000000,64.285714,96.250000,25.000000,88.333333,75.609756,76.043072,77.228767,5,6,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
mirkwood_beleglas,[Mirkwood] Mirkwood Béleglas,mirkwood,46.000000,Cavalry,cavalry,1,1.000000,1.000000,246.000000,63.300000,450.000000,1.000000,76.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,,230.000000,365.000000,400.000000,82.490793,75.000000,7.142857,95.000000,25.000000,93.750000,90.243902,74.352540,77.881422,6,5,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
mirkwood_rochenlas,[Mirkwood] Mirkwood Róchenlas,mirkwood,41.000000,Cavalry,cavalry,1,1.000000,1.000000,246.000000,63.300000,450.000000,1.000000,76.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,,215.000000,325.000000,370.000000,82.490793,75.000000,7.142857,95.000000,25.000000,90.416667,82.926829,74.352540,76.816382,6,7,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
imladris_outrider,[Rivendell] Imladris Outrider,rivendell,41.000000,Cavalry,cavalry,8,1.000000,1.000000,259.000000,60.450000,600.000000,9.000000,48.000000,60.000000,49.000000,68.000000,32.000000,32.000000,t3_vlandia_horse,,205.000000,350.000000,380.000000,78.038165,100.000000,64.285714,60.000000,50.000000,79.019608,85.365854,74.233368,75.825241,8,8,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rivendell_glorfindel_guard,[Rivendell] Rochannon Elenath,rivendell,51.000000,Cavalry,cavalry,32,1.000000,1.000000,205.000000,46.750000,600.000000,9.000000,76.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,,235.000000,430.000000,440.000000,56.634304,100.000000,64.285714,95.000000,25.000000,99.166667,100.000000,68.031438,74.341817,9,9,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
dg_khamul_shadow_knight,[Dol Guldur] Khamûl's Shadow-Knight,dolguldur,46.000000,Cavalry,cavalry,3,1.000000,1.000000,245.666667,59.283333,420.000000,12.000000,50.000000,20.000000,65.000000,73.000000,20.000000,20.000000,t3_aserai_horse,,197.000000,355.000000,388.000000,76.215452,70.000000,85.714286,62.500000,16.666667,89.362745,87.317073,67.060107,71.316067,10,10,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
