troop_id,troop_name,culture,level,default_group,defensive_lane,roster_count,shield_share,horse_share,armor_total_mean,survivability_armor_v71_mean,shield_hp_mean,shield_armor_mean,harness_armor_mean,horse_extra_health_mean,horse_speed_mean,horse_maneuver_mean,horse_charge_damage_audit_only_mean,horse_charge_damage_max_audit_only,mount_ids_audit_only,mount_evidence_status,unresolved_mount_evidence,spectacle_reason,athletics,riding,melee_skill,armor_component_v2,shield_hp_component_v2,shield_armor_component_v2,harness_component_v2,mount_health_component_v2,mobility_component_v2,counterpressure_component_v2,protection_score_v2,defensive_utility_score_v2,protection_rank_v2,defensive_utility_rank_v2,normalization_includes_outliers,roster_aggregation,evidence_basis,empirical,score_status
noldorin_lancer,[Rivendell] Nõldorin Lancer,rivendell,46.000000,Cavalry,cavalry,12,1.000000,1.000000,338.583333,73.970833,600.000000,9.000000,76.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,resolved,,,220.000000,390.000000,425.000000,99.162110,100.000000,64.285714,95.000000,25.000000,95.777778,96.341463,89.295341,90.648197,1,1,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rivendell_high_captain,[Rivendell] High Captain,rivendell,51.000000,Cavalry,cavalry,7,1.000000,1.000000,337.285714,74.507143,600.000000,9.000000,48.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,resolved,,,235.000000,430.000000,440.000000,100.000000,100.000000,64.285714,60.000000,25.000000,99.111111,100.000000,82.714286,86.082540,2,2,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rivendell_royal_guard,[Rivendell] Royal Guard,rivendell,41.000000,Cavalry,cavalry,8,1.000000,1.000000,319.500000,64.475000,600.000000,9.000000,77.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,resolved,,,205.000000,350.000000,380.000000,84.326526,100.000000,64.285714,96.250000,25.000000,92.444444,85.365854,82.127549,83.483069,3,3,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rivendell_royal_knight,[Rivendell] Royal Knight,rivendell,46.000000,Cavalry,cavalry,6,1.000000,1.000000,338.666667,69.433333,600.000000,9.000000,48.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,resolved,,,220.000000,390.000000,410.000000,92.073057,100.000000,64.285714,60.000000,25.000000,95.777778,92.682927,78.750814,81.846722,4,4,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
mirkwood_beleglas,[Mirkwood] Mirkwood Béleglas,mirkwood,46.000000,Cavalry,cavalry,1,1.000000,1.000000,246.000000,63.300000,450.000000,1.000000,76.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,resolved,,,230.000000,365.000000,400.000000,82.490793,75.000000,7.142857,95.000000,25.000000,93.694444,90.243902,74.352540,77.875867,6,5,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rivendell_noble,[Rivendell] Noble,rivendell,36.000000,Cavalry,cavalry,25,1.000000,1.000000,287.720000,56.686000,600.000000,9.000000,77.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,resolved,,,185.000000,300.000000,340.000000,72.157572,100.000000,64.285714,96.250000,25.000000,88.277778,75.609756,76.043072,77.223211,5,6,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
mirkwood_rochenlas,[Mirkwood] Mirkwood Róchenlas,mirkwood,41.000000,Cavalry,cavalry,1,1.000000,1.000000,246.000000,63.300000,450.000000,1.000000,76.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,resolved,,,215.000000,325.000000,370.000000,82.490793,75.000000,7.142857,95.000000,25.000000,90.361111,82.926829,74.352540,76.810826,6,7,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
imladris_outrider,[Rivendell] Imladris Outrider,rivendell,41.000000,Cavalry,cavalry,8,1.000000,1.000000,259.000000,60.450000,600.000000,9.000000,48.000000,60.000000,49.000000,68.000000,32.000000,32.000000,t3_vlandia_horse,resolved,,,205.000000,350.000000,380.000000,78.038165,100.000000,64.285714,60.000000,50.000000,77.947090,85.365854,74.233368,75.717989,8,8,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rivendell_glorfindel_guard,[Rivendell] Rochannon Elenath,rivendell,51.000000,Cavalry,cavalry,32,1.000000,1.000000,205.000000,46.750000,600.000000,9.000000,76.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,resolved,,,235.000000,430.000000,440.000000,56.634304,100.000000,64.285714,95.000000,25.000000,99.111111,100.000000,68.031438,74.336262,9,9,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
dg_khamul_shadow_knight,[Dol Guldur] Khamûl's Shadow-Knight,dolguldur,46.000000,Cavalry,cavalry,3,1.000000,1.000000,245.666667,59.283333,420.000000,12.000000,50.000000,20.000000,65.000000,73.000000,20.000000,20.000000,t3_aserai_horse,resolved,,,197.000000,355.000000,388.000000,76.215452,70.000000,85.714286,62.500000,16.666667,89.051587,87.317073,67.060107,71.284952,10,10,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
dragon_wrath_obsidian_knight,[Rhûn] Dragon-Wrath Obsidian Knight,khuzait,46.000000,Cavalry,cavalry,3,1.000000,1.000000,234.333333,56.450000,420.000000,12.000000,50.000000,20.000000,65.000000,73.000000,20.000000,20.000000,t3_aserai_horse,resolved,,,190.000000,378.000000,385.000000,71.788863,70.000000,85.714286,62.500000,16.666667,90.968254,86.585366,64.846812,69.632812,14,11,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
loke_rim_gilded_cataphract,[Rhûn] Loke-Rim Gilded Kataphract,khuzait,36.000000,Cavalry,cavalry,3,1.000000,1.000000,234.333333,56.450000,420.000000,12.000000,50.000000,20.000000,65.000000,73.000000,20.000000,20.000000,t3_aserai_horse,resolved,,,155.000000,288.000000,315.000000,71.788863,70.000000,85.714286,62.500000,16.666667,83.468254,69.512195,64.846812,67.175495,14,12,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rider_of_himring,[Rivendell] Rider of Himring,rivendell,46.000000,HorseArcher,cavalry,9,0.000000,1.000000,342.333333,72.894444,0.000000,0.000000,48.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,resolved,,,220.000000,410.000000,310.000000,97.480440,0.000000,0.000000,60.000000,25.000000,97.444444,68.292683,63.240220,67.165889,16,13,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
darkhun_cultist_knight,[Rhûn] Darkhûn Cultist Knight,khuzait,41.000000,Cavalry,cavalry,1,1.000000,1.000000,214.000000,53.500000,420.000000,12.000000,50.000000,20.000000,65.000000,73.000000,20.000000,20.000000,t3_aserai_horse,resolved,,,175.000000,338.000000,355.000000,67.180002,70.000000,85.714286,62.500000,16.666667,87.634921,79.268293,62.542382,66.724227,18,14,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rohan_edoras_golden_hall_supreme_rider,[Rohan] Riders of Rohan,vlandia,41.000000,Cavalry,cavalry,5,1.000000,1.000000,201.400000,52.870000,400.000000,9.000000,48.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,resolved,,,165.000000,340.000000,350.000000,66.195737,66.666667,64.285714,60.000000,25.000000,91.611111,78.048780,60.812154,65.615712,19,15,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rohan_westemnet_kings_own_rider,[Rohan] West Emnet Heavy Shock Cavalry,vlandia,36.000000,Cavalry,cavalry,1,1.000000,1.000000,173.000000,53.650000,400.000000,9.000000,48.000000,45.000000,58.500000,73.000000,28.000000,32.000000,noble_horse_southern|t3_vlandia_horse,resolved,,,145.000000,290.000000,310.000000,67.414351,66.666667,64.285714,60.000000,37.500000,80.195767,68.292683,62.671461,64.986014,17,16,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
dale_kings_guard,[Dale] Dalian King's Guard,sturgia,31.000000,Cavalry,cavalry,2,1.000000,1.000000,193.000000,55.450000,450.000000,14.000000,48.000000,20.000000,48.000000,67.000000,22.000000,22.000000,charger,resolved,,,135.000000,200.000000,275.000000,70.226537,75.000000,100.000000,60.000000,16.666667,64.473545,59.756098,65.029935,64.446912,13,17,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
dunland_lizard_noble_cavalry,[Dunland] Avanc-lûth Noble Cavalry,empire,31.000000,Cavalry,cavalry,1,1.000000,1.000000,173.000000,52.650000,550.000000,1.000000,52.000000,70.000000,45.000000,66.000000,22.000000,22.000000,t2_battania_horse,resolved,,,150.000000,205.000000,250.000000,65.852025,91.666667,7.142857,65.000000,58.333333,62.858466,53.658537,65.866489,64.344891,12,18,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
dale_veteran_northman_scout,[Dale] Dalian Veteran Northman Scout,sturgia,26.000000,Cavalry,cavalry,2,1.000000,1.000000,197.000000,54.350000,450.000000,14.000000,55.000000,20.000000,48.000000,67.000000,22.000000,22.000000,charger,resolved,,,120.000000,150.000000,220.000000,68.507979,75.000000,100.000000,68.750000,16.666667,60.306878,46.341463,65.920656,63.401359,11,19,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
rohan_eastemnet_kings_own_lancer,[Rohan] East Emnet King's Lancer,vlandia,36.000000,Cavalry,cavalry,1,1.000000,1.000000,165.000000,49.250000,400.000000,9.000000,48.000000,30.000000,68.000000,78.000000,24.000000,24.000000,noble_horse_southern,resolved,,,145.000000,290.000000,325.000000,60.540118,66.666667,64.285714,60.000000,25.000000,87.444444,71.951220,57.984345,62.327042,24,20,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
dg_khamul_veiled_knight,[Dol Guldur] Khamûl's Veiled Knight,dolguldur,41.000000,Cavalry,cavalry,3,1.000000,1.000000,208.333333,49.816667,350.000000,8.000000,50.000000,20.000000,65.000000,73.000000,20.000000,20.000000,t3_aserai_horse,resolved,,,182.000000,315.000000,358.000000,61.425436,58.333333,57.142857,62.500000,16.666667,85.718254,80.000000,56.486528,61.761048,28,21,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
dunland_stag_noble_lancer,[Dunland] Caru-lûth Noble Lancer,empire,31.000000,Cavalry,cavalry,1,1.000000,1.000000,173.000000,52.650000,450.000000,1.000000,55.000000,20.000000,59.000000,66.000000,28.000000,28.000000,t3_empire_horse,resolved,,,150.000000,205.000000,265.000000,65.852025,75.000000,7.142857,68.750000,16.666667,70.265873,57.317073,59.949822,60.718152,20,22,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
