troop_id,troop_name,culture,level,default_group,defensive_lane,roster_count,shield_share,horse_share,armor_total_mean,survivability_armor_v71_mean,shield_hp_mean,shield_armor_mean,harness_armor_mean,horse_extra_health_mean,horse_speed_mean,horse_maneuver_mean,horse_charge_damage_audit_only_mean,horse_charge_damage_max_audit_only,mount_ids_audit_only,spectacle_reason,athletics,riding,melee_skill,armor_component_v2,shield_hp_component_v2,shield_armor_component_v2,harness_component_v2,mount_health_component_v2,mobility_component_v2,counterpressure_component_v2,protection_score_v2,defensive_utility_score_v2,protection_rank_v2,defensive_utility_rank_v2,normalization_includes_outliers,roster_aggregation,evidence_basis,empirical,score_status
battlemaster_of_the_first_age,[Rivendell] Battlemaster of the First Age,rivendell,41.000000,Infantry,infantry,10,1.000000,0.000000,350.600000,76.530000,600.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,195.000000,65.000000,350.000000,76.545455,89.552239,60.000000,0.000000,0.000000,82.978723,89.743590,77.492266,79.266044,1,1,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
imladris_warden,[Rivendell] Imladris Warden,rivendell,41.000000,Infantry,infantry,6,1.000000,0.000000,354.500000,74.475000,600.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,195.000000,65.000000,350.000000,74.469697,89.552239,60.000000,0.000000,0.000000,82.978723,89.743590,76.039236,78.103620,2,2,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
cave_troll,[AMordor] Armored Troll,mordor,51.000000,Infantry,infantry,6,0.166667,0.000000,475.000000,99.750000,166.666667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,outsized foot unit,185.000000,35.000000,350.000000,100.000000,24.875622,1.111111,0.000000,0.000000,78.723404,89.743590,75.086235,76.915687,3,3,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
imladris_nobleman,[Rivendell] Imladris Nobleman,rivendell,36.000000,Infantry,infantry,19,1.000000,0.000000,337.631579,72.671053,600.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,175.000000,60.000000,315.000000,72.647528,89.552239,60.000000,0.000000,0.000000,74.468085,80.769231,74.763717,75.334705,4,4,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
erebor_noble_royal_warden,[Erebor] Royal Warden,erebor,46.000000,Infantry,infantry,4,1.000000,0.000000,273.250000,77.287500,450.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,185.000000,20.000000,340.000000,77.310606,67.164179,6.666667,0.000000,0.000000,78.723404,87.179487,68.216927,71.163831,5,5,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
dg_khamul_shadow_guard,[Dol Guldur] Khamûl's Shadow-Guard,dolguldur,46.000000,Infantry,infantry,3,1.000000,0.000000,253.666667,62.083333,450.000000,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,187.000000,35.000000,348.000000,61.952862,67.164179,93.333333,0.000000,0.000000,79.574468,89.230769,66.133173,69.787062,10,6,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
imladris_guardsman,[Rivendell] Imladris Guardsman,rivendell,36.000000,Infantry,infantry,8,1.000000,0.000000,275.250000,62.762500,600.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,175.000000,60.000000,315.000000,62.638889,89.552239,60.000000,0.000000,0.000000,74.468085,80.769231,67.757670,69.729868,7,7,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
erebor_noble_gate_warden,[Erebor] Gate Warden,erebor,41.000000,Infantry,infantry,4,1.000000,0.000000,271.750000,77.462500,400.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,170.000000,15.000000,320.000000,77.487374,59.701493,6.666667,0.000000,0.000000,72.340426,82.051282,66.848127,68.917672,9,8,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
dragon_wrath_obsidian_shieldmaster,[Rhûn] Dragon-Wrath Obsidian Shieldmaster,khuzait,46.000000,Infantry,infantry,3,1.000000,0.000000,232.000000,56.033333,566.666667,13.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,180.000000,58.000000,345.000000,55.841751,84.577114,88.888889,0.000000,0.000000,76.595745,88.461538,64.893537,68.420558,11,9,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
darkhun_ironbound,[Rhûn] Darkhûn Ironbound,khuzait,36.000000,Infantry,infantry,1,1.000000,0.000000,229.000000,57.250000,600.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,145.000000,48.000000,290.000000,57.070707,89.552239,100.000000,0.000000,0.000000,61.702128,74.358974,67.859943,67.894065,6,10,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
