troop_id,troop_name,culture,level,default_group,defensive_lane,roster_count,shield_share,horse_share,armor_total_mean,survivability_armor_v71_mean,shield_hp_mean,shield_armor_mean,harness_armor_mean,horse_extra_health_mean,horse_speed_mean,horse_maneuver_mean,horse_charge_damage_audit_only_mean,horse_charge_damage_max_audit_only,mount_ids_audit_only,mount_evidence_status,unresolved_mount_evidence,unresolved_item_evidence,spectacle_reason,athletics,riding,melee_skill,armor_component_v2,shield_hp_component_v2,shield_armor_component_v2,harness_component_v2,mount_health_component_v2,mobility_component_v2,counterpressure_component_v2,protection_score_v2,defensive_utility_score_v2,protection_rank_v2,defensive_utility_rank_v2,normalization_includes_outliers,roster_aggregation,evidence_basis,empirical,score_status
dg_fell_warg_rider,[Dol Guldur] Fell Ravager,dolguldur,36.000000,Cavalry,cavalry,1,1.000000,1.000000,230.000000,57.000000,450.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_dark,review_required_mount_evidence,"warg_dark:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,162.000000,265.000000,318.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
dg_warg_raider,[Dol Guldur] Warg Rider,dolguldur,21.000000,Cavalry,cavalry,1,1.000000,1.000000,200.000000,45.500000,450.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_brown,review_required_mount_evidence,"warg_brown:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,112.000000,115.000000,163.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
dg_warg_red_fang,[Dol Guldur] Warg Fang,dolguldur,31.000000,HorseArcher,cavalry,1,1.000000,1.000000,217.000000,52.950000,450.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_dark,review_required_mount_evidence,"warg_dark:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,157.000000,250.000000,195.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
dg_warg_scout,[Dol Guldur] Warg Tracker,dolguldur,16.000000,Cavalry,cavalry,1,0.000000,1.000000,120.000000,19.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_brown,review_required_mount_evidence,"warg_brown:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,97.000000,90.000000,118.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
dg_warg_skirmisher,[Dol Guldur] Warg Ravager,dolguldur,26.000000,Cavalry,cavalry,1,1.000000,1.000000,210.000000,48.500000,450.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_dark,review_required_mount_evidence,"warg_dark:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,127.000000,155.000000,213.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
gundabad_despoiler_of_the_vale,[Gundabad] Despoiler of the Vale,gundabad,26.000000,HorseArcher,cavalry,6,0.000000,1.000000,180.000000,42.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_dark,review_required_mount_evidence,"warg_dark:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,130.000000,195.000000,140.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
gundabad_dread_rider_of_the_tower,[Gundabad] Azog's Defiler,gundabad,41.000000,Cavalry,cavalry,6,1.000000,1.000000,235.833333,55.208333,450.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_albino,review_required_mount_evidence,"warg_albino:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,175.000000,315.000000,345.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
gundabad_scout,[Gundabad] Scout,gundabad,21.000000,HorseArcher,cavalry,5,0.000000,1.000000,152.000000,29.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_brown,review_required_mount_evidence,"warg_brown:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,115.000000,145.000000,100.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
gundabad_tracker,[Gundabad] Pale Uruk Fang Rider,gundabad,36.000000,Cavalry,cavalry,5,1.000000,1.000000,185.000000,40.750000,450.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_dark,review_required_mount_evidence,"warg_dark:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,155.000000,265.000000,305.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
gundabad_warg_tamer,[Gundabad] Pale Uruk Wolf Rider,gundabad,31.000000,Cavalry,cavalry,5,1.000000,1.000000,146.000000,33.800000,450.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,warg_brown,review_required_mount_evidence,"warg_brown:type,horse_speed,horse_maneuver|warg_saddle:type,body_armor",,,135.000000,205.000000,255.000000,,,,,,,,,,,,,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,review_required_mount_evidence
