troop_id,troop_name,culture,level,default_group,defensive_lane,roster_count,shield_share,horse_share,armor_total_mean,survivability_armor_v71_mean,shield_hp_mean,shield_armor_mean,harness_armor_mean,horse_extra_health_mean,horse_speed_mean,horse_maneuver_mean,horse_charge_damage_audit_only_mean,horse_charge_damage_max_audit_only,mount_ids_audit_only,mount_evidence_status,unresolved_mount_evidence,spectacle_reason,athletics,riding,melee_skill,armor_component_v2,shield_hp_component_v2,shield_armor_component_v2,harness_component_v2,mount_health_component_v2,mobility_component_v2,counterpressure_component_v2,protection_score_v2,defensive_utility_score_v2,protection_rank_v2,defensive_utility_rank_v2,normalization_includes_outliers,roster_aggregation,evidence_basis,empirical,score_status
imperial_elite_cataphract,Imperial Elite Cataphract,empire,31.000000,Cavalry,cavalry,3,1.000000,1.000000,204.000000,57.800000,400.000000,1.000000,75.000000,20.000000,59.000000,66.000000,28.000000,28.000000,t3_empire_horse,resolved,,,60.000000,200.000000,260.000000,100.000000,72.727273,10.000000,100.000000,28.571429,73.809524,100.000000,84.266234,84.793940,1,1,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
vlandian_banner_knight,Vlandian Banner Knight,vlandia,31.000000,Cavalry,cavalry,3,1.000000,1.000000,189.000000,51.450000,470.000000,3.666667,64.000000,60.000000,49.000000,68.000000,32.000000,32.000000,t3_vlandia_horse,resolved,,,60.000000,200.000000,260.000000,88.553402,85.454545,36.666667,83.582090,85.714286,60.966811,100.000000,84.216063,83.469531,2,2,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_vanguard_faris,Aserai Vanguard Faris,aserai,31.000000,Cavalry,cavalry,3,1.000000,1.000000,207.000000,56.750000,360.000000,1.000000,58.000000,20.000000,65.000000,73.000000,20.000000,20.000000,t3_aserai_horse,resolved,,,90.000000,170.000000,200.000000,98.107256,65.454545,10.000000,74.626866,28.571429,88.057041,75.000000,77.154326,78.029165,5,3,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
druzhinnik_champion,Sturgian Druzhinnik Champion,sturgia,31.000000,Cavalry,cavalry,3,1.000000,1.000000,201.666667,54.783333,550.000000,3.666667,55.000000,13.333333,55.666667,65.666667,22.333333,27.000000,t2_sturgia_horse|t3_sturgia_horse,resolved,,,140.000000,170.000000,200.000000,94.562115,100.000000,36.666667,70.149254,19.047619,62.131115,75.000000,80.049004,77.752315,3,4,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
vlandian_champion,Vlandian Champion,vlandia,26.000000,Cavalry,cavalry,3,1.000000,1.000000,171.666667,47.383333,450.000000,2.333333,64.000000,60.000000,49.000000,68.000000,32.000000,32.000000,t3_vlandia_horse,resolved,,,80.000000,130.000000,160.000000,81.222773,81.818182,23.333333,83.582090,85.714286,47.241321,58.333333,79.338627,74.028367,4,5,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
imperial_cataphract,Imperial Cataphract,empire,26.000000,Cavalry,cavalry,1,1.000000,1.000000,175.000000,48.350000,350.000000,1.000000,75.000000,20.000000,59.000000,66.000000,28.000000,28.000000,t3_empire_horse,resolved,,,80.000000,130.000000,160.000000,82.965300,63.636364,10.000000,100.000000,28.571429,60.084034,58.333333,74.385247,71.349934,6,6,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
druzhinnik,Sturgian Druzhinnik,sturgia,26.000000,Cavalry,cavalry,3,1.000000,1.000000,171.000000,49.250000,533.333333,3.666667,55.000000,0.000000,57.000000,63.000000,20.000000,20.000000,t2_sturgia_horse,resolved,,,100.000000,120.000000,140.000000,84.587652,96.969697,36.666667,70.149254,0.000000,50.403192,50.000000,72.702465,68.202291,7,7,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
conspiracy_battlerider,Conspiracy Battle Rider,sturgia,26.000000,Cavalry,cavalry,1,1.000000,1.000000,170.000000,52.300000,380.000000,1.000000,55.000000,0.000000,57.000000,63.000000,20.000000,20.000000,t2_sturgia_horse,resolved,,,70.000000,120.000000,160.000000,90.085624,69.090909,10.000000,70.149254,0.000000,50.403192,58.333333,69.936299,66.822692,8,8,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
khuzait_heavy_lancer,Khuzait Heavy Lancer,khuzait,26.000000,Cavalry,cavalry,3,1.000000,1.000000,170.333333,49.316667,340.000000,1.000000,38.000000,35.000000,60.000000,77.000000,20.000000,20.000000,t3_khuzait_horse,resolved,,,60.000000,150.000000,130.000000,84.707826,61.818182,10.000000,44.776119,50.000000,82.259570,45.833333,66.081864,65.674782,11,9,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
khuzait_khans_guard,Khuzait Khan's Guard,khuzait,31.000000,HorseArcher,cavalry,3,0.000000,1.000000,172.000000,49.900000,0.000000,0.000000,38.000000,35.000000,60.000000,77.000000,20.000000,20.000000,t3_khuzait_horse,resolved,,,60.000000,200.000000,200.000000,85.759351,0.000000,0.000000,44.776119,50.000000,92.063492,75.000000,56.834899,62.174268,17,10,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
