troop_id,troop_name,culture,level,default_group,defensive_lane,roster_count,shield_share,horse_share,armor_total_mean,survivability_armor_v71_mean,shield_hp_mean,shield_armor_mean,harness_armor_mean,horse_extra_health_mean,horse_speed_mean,horse_maneuver_mean,horse_charge_damage_audit_only_mean,horse_charge_damage_max_audit_only,mount_ids_audit_only,mount_evidence_status,unresolved_mount_evidence,spectacle_reason,athletics,riding,melee_skill,armor_component_v2,shield_hp_component_v2,shield_armor_component_v2,harness_component_v2,mount_health_component_v2,mobility_component_v2,counterpressure_component_v2,protection_score_v2,defensive_utility_score_v2,protection_rank_v2,defensive_utility_rank_v2,normalization_includes_outliers,roster_aggregation,evidence_basis,empirical,score_status
anti_imperial_conspiracy_boss,Conspiracy Commander,sturgia,31.000000,Infantry,infantry,2,1.000000,0.000000,71.500000,18.575000,430.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,160.000000,100.000000,240.000000,30.375587,57.333333,5.882353,0.000000,0.000000,88.888889,100.000000,33.317813,45.543139,99,59,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_faris,Aserai Faris,aserai,21.000000,Cavalry,cavalry,3,1.000000,1.000000,96.666667,34.266667,245.000000,1.000000,12.000000,0.000000,51.000000,73.000000,18.000000,18.000000,t2_aserai_horse,resolved,,,65.000000,100.000000,110.000000,57.578489,44.545455,10.000000,5.970149,0.000000,52.109329,37.500000,37.165092,38.693006,34,30,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_footman,Aserai Footman,aserai,16.000000,Infantry,infantry,3,1.000000,0.000000,76.666667,22.766667,430.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,70.000000,30.000000,70.000000,38.247261,57.333333,5.882353,0.000000,0.000000,38.888889,29.166667,38.827985,37.867944,84,84,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_infantry,Aserai Infantry,aserai,21.000000,Infantry,infantry,3,1.000000,0.000000,114.000000,34.200000,350.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,100.000000,45.000000,100.000000,59.718310,46.666667,5.882353,0.000000,0.000000,55.555556,41.666667,51.724386,51.101731,40,46,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_mameluke_axeman,Aserai Mamluke Axeman,aserai,16.000000,Infantry,infantry,3,0.000000,0.000000,69.333333,20.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,80.000000,40.000000,80.000000,34.553991,0.000000,0.000000,0.000000,0.000000,44.444444,33.333333,24.187793,27.128012,141,123,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_mameluke_cavalry,Aserai Mamluke Cavalry,aserai,21.000000,HorseArcher,cavalry,3,1.000000,1.000000,139.000000,36.450000,360.000000,1.000000,58.000000,0.000000,54.000000,59.000000,14.000000,14.000000,aserai_horse,resolved,,,40.000000,110.000000,100.000000,61.514196,65.454545,10.000000,74.626866,0.000000,37.619896,33.333333,56.000653,51.895845,18,21,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_mameluke_guard,Aserai Mamluke Guard,aserai,21.000000,Infantry,infantry,3,0.000000,0.000000,139.000000,35.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,110.000000,45.000000,110.000000,61.877934,0.000000,0.000000,0.000000,0.000000,61.111111,45.833333,43.314554,45.346088,63,60,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_mameluke_heavy_cavalry,Aserai Mamluke Heavy Cavalry,aserai,26.000000,HorseArcher,cavalry,3,1.000000,1.000000,161.000000,38.350000,290.000000,1.000000,55.000000,0.000000,51.000000,73.000000,18.000000,18.000000,t2_aserai_horse,resolved,,,80.000000,130.000000,130.000000,64.939162,52.727273,10.000000,70.149254,0.000000,57.991682,45.833333,54.908523,54.309320,19,17,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_mameluke_regular,Aserai Mamluke Regular,aserai,16.000000,Cavalry,cavalry,3,1.000000,1.000000,59.333333,17.100000,240.000000,1.000000,12.000000,0.000000,54.000000,59.000000,14.000000,14.000000,aserai_horse,resolved,,,40.000000,70.000000,70.000000,26.633619,43.636364,10.000000,5.970149,0.000000,29.776759,20.833333,21.556294,22.306044,48,48,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
aserai_mameluke_soldier,Aserai Mamluke Soldier,aserai,11.000000,Infantry,infantry,3,1.000000,0.000000,49.000000,14.050000,430.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,resolved,,,40.000000,15.000000,50.000000,21.877934,57.333333,5.882353,0.000000,0.000000,22.222222,20.833333,27.369456,26.201120,124,126,true,arithmetic_mean_across_rosters_and_within_slot_alternatives,xml_structural,false,defensive_role_scores_v2_candidate
