troop_id,troop_name,level,upgrade_depth,line_status,culture,default_group,has_bow,has_crossbow,has_ranged,has_shield,has_horse,has_throwing,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,ranged_damage,throw_damage,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item,primary_category,score_status,evidence_basis,empirical
aserai_vanguard_faris,Aserai Vanguard Faris,31.0,5.0,noble_line,aserai,Cavalry,False,False,False,True,True,True,,93.22242618586672,64.46630586157146,100.0,88.90552408587878,0.0,60.47619047619048,24.444444444444443,207.33333333333334,59.300000000000004,0.0,0.0,,aserai_lance_1_t5,TwoHandedPolearm,,eastern_javelin_3_t4,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
embers_of_flame_tier_2,Flame,21.0,2.0,main_or_minor_line,empire,Infantry,False,False,False,False,False,True,,,48.45712250932792,98.2684104480364,21.563588469236038,0.0,100.0,100.0,81.0,23.950000000000003,0.0,57.0,,justicier_2hsword,TwoHandedSword,sling_reinforced,,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
sturgian_horse_raider,Sturgian Horse Raider,26.0,5.0,main_or_minor_line,sturgia,Cavalry,False,False,False,True,True,True,,78.93279137117042,45.407138396842846,90.14415706802484,73.04403525289787,0.0,60.47619047619048,24.444444444444443,171.66666666666666,48.050000000000004,0.0,0.0,,northern_spear_4_t4,TwoHandedPolearm,,sturg_javelin_3_t4,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
jawwal_tier_3,Jawwal Bedouin,26.0,3.0,main_or_minor_line,aserai,Cavalry,False,False,False,True,True,True,,62.15888698214198,42.9726579923047,86.64103043446976,51.35208137183781,0.0,60.47619047619048,24.444444444444443,96.66666666666667,31.649999999999995,0.0,0.0,,eastern_spear_5_t5,TwoHandedPolearm,,eastern_javelin_1_t2,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
beni_zilal_tier_3,Beni Zilal Royal Guard,26.0,3.0,main_or_minor_line,aserai,Cavalry,False,False,False,False,True,True,,50.94715376961637,43.4471041594325,86.19160251781376,56.67517291172542,0.0,60.47619047619048,24.444444444444443,133.0,33.68333333333333,0.0,0.0,,eastern_spear_4_t4,TwoHandedPolearm,,northern_javelin_4_t3,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
battanian_mounted_skirmisher,Battanian Mounted Skirmisher,26.0,,special_or_unlinked,battania,Cavalry,False,False,False,True,True,True,,68.28766334010218,36.735916866888665,85.31838177051233,63.53496221066336,0.0,46.82539682539681,24.444444444444443,139.66666666666666,40.9,0.0,0.0,,battania_axe_2_t4|battania_sword_4_t4,OneHandedAxe|OneHandedSword,,northern_javelin_5_t5,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
aserai_veteran_faris,Aserai Veteran Faris,26.0,4.0,noble_line,aserai,Cavalry,False,False,False,True,True,True,,90.9366299702397,47.149315362379106,76.75373441486192,86.07959856011223,0.0,60.47619047619048,24.444444444444443,194.33333333333334,57.23333333333334,0.0,0.0,,aserai_lance_1_t5,TwoHandedPolearm,,northern_javelin_4_t3,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
conspiracy_battlerider,Conspiracy Battle Rider,26.0,,special_or_unlinked,sturgia,Cavalry,False,False,False,True,True,True,,85.92629519310944,53.70152969859431,74.59902469676338,82.44377903656486,0.0,60.47619047619048,24.444444444444443,170.0,53.45,0.0,0.0,,sturgia_lance_1_t4,TwoHandedPolearm,,northern_javelin_3_t4,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
jawwal_tier_2,Jawwal Camel Rider,16.0,2.0,main_or_minor_line,aserai,Cavalry,False,False,False,True,True,True,,57.491857474123165,37.442382581680626,73.50233420878664,43.51581029701544,0.0,60.47619047619048,24.444444444444443,60.75,24.1625,0.0,0.0,,triangluar_spear_t3,TwoHandedPolearm,,eastern_javelin_1_t2,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
sturgian_hardened_brigand,Sturgian Hardened Brigand,21.0,4.0,main_or_minor_line,sturgia,Cavalry,False,False,False,True,True,True,,64.78396535825809,36.074259498043,72.9277854008957,57.56970061790325,0.0,60.47619047619048,24.444444444444443,118.0,35.75,0.0,0.0,,northern_spear_3_t4,TwoHandedPolearm,,sturg_javelin_3_t2,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
