troop_id,troop_name,level,upgrade_depth,line_status,culture,default_group,has_bow,has_crossbow,has_ranged,has_shield,has_horse,has_throwing,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,ranged_damage,throw_damage,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item,primary_category,score_status,evidence_basis,empirical
aserai_vanguard_faris,Aserai Vanguard Faris,31.0,5.0,noble_line,aserai,Cavalry,False,False,False,True,True,True,,93.22242618586672,64.46630586157146,100.0,88.90552408587878,0.0,60.47619047619048,24.444444444444443,207.33333333333334,59.300000000000004,0.0,0.0,,aserai_lance_1_t5,TwoHandedPolearm,,eastern_javelin_3_t4,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
battanian_fian_champion,Battanian Fian Champion,31.0,5.0,noble_line,battania,Ranged,True,False,True,False,False,False,98.04791517468529,,94.21331145205987,,50.96029675819455,94.34343434343434,100.0,0.0,184.0,56.6,71.0,0.0,woodland_longbow,battania_2hsword_5_t4,TwoHandedSword,,,Ranged Troops,role_scores_v1_conservative_not_final,xml_structural,false
druzhinnik_champion,Sturgian Druzhinnik Champion,31.0,5.0,noble_line,sturgia,Cavalry,False,False,False,True,True,False,,96.74731667878947,62.72267417471548,,94.82233781111678,0.0,60.47619047619048,0.0,208.0,57.93333333333334,0.0,0.0,,sturgia_lance_2_t5,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
imperial_elite_cataphract,Imperial Elite Cataphract,31.0,5.0,noble_line,empire,Cavalry,False,False,False,True,True,False,,100.0,77.75353075137257,,97.0438225967714,0.0,60.47619047619048,0.0,207.66666666666666,60.21666666666667,0.0,0.0,,empire_lance_3_t5,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
imperial_legionary,Imperial Legionary,26.0,,special_or_unlinked,empire,Infantry,False,False,False,True,False,False,,61.080111927848705,38.99418067237733,,60.97399935860168,0.0,60.47619047619048,0.0,202.0,56.0,0.0,0.0,,imperial_throwing_spear_1_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
khuzait_darkhan,Khuzait Darkhan,26.0,5.0,main_or_minor_line,khuzait,Infantry,False,False,False,True,False,False,,55.26560243830753,38.15029191004792,,55.810657158879856,0.0,60.47619047619048,0.0,171.33333333333334,49.45000000000001,0.0,0.0,,eastern_throwing_spear_2_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
khuzait_khans_guard,Khuzait Khan's Guard,31.0,5.0,noble_line,khuzait,HorseArcher,True,False,True,False,True,False,100.0,63.1519011153675,67.2278540943711,,69.88943596392393,83.0976430976431,60.47619047619048,0.0,181.0,54.6,56.0,0.0,steppe_war_bow,khuzait_polearm_1_t4,TwoHandedPolearm,,,Ranged Troops,role_scores_v1_conservative_not_final,xml_structural,false
vlandian_banner_knight,Vlandian Banner Knight,31.0,5.0,noble_line,vlandia,Cavalry,False,False,False,True,True,False,,98.86660089865606,78.31697380808619,,97.35997708801735,0.0,60.47619047619048,0.0,202.0,58.56666666666666,0.0,0.0,,nord_spear_4_t5,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
vlandian_sergeant,Vlandian Sergeant,26.0,5.0,main_or_minor_line,vlandia,Infantry,False,False,False,True,False,False,,66.80633653373164,39.82525620921682,,66.01729374499443,0.0,60.47619047619048,0.0,175.66666666666666,49.083333333333336,0.0,0.0,,western_spear_4_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
vlandian_sharpshooter,Vlandian Sharpshooter,26.0,,special_or_unlinked,vlandia,Ranged,False,True,True,True,False,False,62.628688921587056,53.43414645159834,31.051204489887887,,54.73237054987044,100.0,46.82539682539681,0.0,160.0,42.76666666666667,102.0,0.0,crossbow_f,vlandia_sword_4_t4,OneHandedSword,,,Ranged Troops,role_scores_v1_conservative_not_final,xml_structural,false
