rank,tier,troop_name,troop_id,culture,tree_tier,level,line_status,default_group,primary_category,naval,change_type,roster_n,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,mount_index_desc,shock_cav_index_desc,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,harness_armor,mount_raw,ranged_damage,throw_damage,throw_source,shield_share,twoh_share,horse_share,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item
1,S,Battanian Fian Champion,battanian_fian_champion,battania,5,31.0,noble_line,Ranged,Ranged Troops,False,override,3,98.04791517468529,,94.21331145205987,,,,50.96029675819455,94.34343434343434,100.0,0.0,184.0,56.6,0.0,0.0,71.0,0.0,,0.0,1.0,0.0,False,False,True,False,False,90.0,220.0,50.0,260.0,25.0,40.0,60.0,170.0,woodland_longbow,battania_2hsword_5_t4,TwoHandedSword,,
2,A,Battanian Fian,battanian_fian,battania,4,26.0,noble_line,Ranged,Ranged Troops,False,override,3,74.87807216131858,,60.42922388568067,,,,36.599577088703334,94.34343434343434,100.0,0.0,128.33333333333334,40.65,0.0,0.0,71.0,0.0,,0.0,1.0,0.0,False,False,True,False,False,80.0,140.0,60.0,200.0,20.0,50.0,80.0,130.0,woodland_longbow,battania_2hsword_5_t4,TwoHandedSword,,
3,B,Nord Sky-Gods Chosen,nord_skathi,nord,5,26.0,main_or_minor_line,Ranged,Ranged Troops,True,override,3,59.76873578069766,51.23848809108761,28.110465436606844,,,,54.38165943807334,91.07744107744108,41.587301587301575,0.0,142.33333333333334,44.26666666666667,0.0,0.0,70.0,0.0,,1.0,0.0,0.0,True,False,True,False,False,130.0,70.0,80.0,160.0,50.0,80.0,70.0,150.0,lowland_yew_bow,nord_biter_axe_1_t4,OneHandedAxe,,
4,B,Conspiracy Longbowman,conspiracy_longbowman,battania,,26.0,special_or_unlinked,Ranged,Ranged Troops,False,override,3,54.58180500343571,,23.80014120597173,,,,41.88168087518286,94.34343434343434,46.82539682539681,0.0,132.33333333333334,46.51666666666667,0.0,0.0,71.0,0.0,,0.0,0.0,0.0,False,False,True,False,False,100.0,60.0,100.0,150.0,30.0,70.0,100.0,80.0,woodland_longbow,battania_sword_2_t3,OneHandedSword,,
5,B,Aserai Bahriyyah,aserai_marine_t5,aserai,2,26.0,main_or_minor_line,Ranged,Ranged Troops,True,override,4,52.35620376914198,,28.56787163576034,,,,35.170257811253975,95.72390572390572,46.82539682539681,0.0,131.0,39.0625,0.0,0.0,74.0,0.0,,0.0,0.0,0.0,False,False,True,False,False,130.0,50.0,80.0,150.0,20.0,80.0,60.0,130.0,longbow_recurve_desert_bow,aserai_noble_sword_2_t5|pirate_axe_2,OneHandedAxe|OneHandedSword,,
6,B,Chosen Wolf,wolfskins_tier_3,battania,3,26.0,main_or_minor_line,Ranged,Ranged Troops,False,override,3,48.041623963093194,52.72033310033835,28.325532993564135,,,,51.632564512837405,89.62962962962963,41.587301587301575,0.0,137.66666666666666,45.26666666666667,0.0,0.0,71.0,0.0,,1.0,0.0,0.0,True,False,True,False,False,130.0,50.0,30.0,140.0,15.0,15.0,25.0,120.0,woodland_longbow,battania_axe_2_t4,OneHandedAxe,,
7,B,Sturgian Veteran Bowman,sturgian_veteran_bowman,sturgia,3,26.0,main_or_minor_line,Ranged,Ranged Troops,False,override,5,47.9082172652173,,25.217318939465976,,,,40.36307603657,88.04713804713805,41.587301587301575,0.0,157.6,44.83,0.0,0.0,61.0,0.0,,0.0,0.0,0.0,False,False,True,False,False,120.0,60.0,60.0,150.0,40.0,80.0,60.0,130.0,nordic_shortbow,sturgia_axe_4_t4,OneHandedAxe,,
8,B,Khuzait Marksman,khuzait_marksman,khuzait,5,26.0,main_or_minor_line,Ranged,Ranged Troops,False,override,3,47.028875363687845,,28.26132738036872,,,,32.83307694550344,93.26599326599326,46.82539682539681,0.0,128.66666666666666,36.46666666666667,0.0,0.0,72.0,0.0,,0.0,0.0,0.0,False,False,True,False,False,130.0,60.0,80.0,140.0,20.0,60.0,80.0,130.0,nomad_bow,khuzait_sword_3_t3,OneHandedSword,,
9,B,Veteran Forester,forest_people_tier_3,sturgia,3,26.0,main_or_minor_line,Ranged,Ranged Troops,False,override,2,45.773536168648825,,18.91724676370215,,,,32.48043649384927,92.996632996633,41.587301587301575,0.0,124.5,36.075,0.0,0.0,70.0,0.0,,0.0,0.0,0.0,False,False,True,False,False,90.0,45.0,45.0,140.0,15.0,60.0,60.0,110.0,woodland_longbow,battle_axe_t4,OneHandedAxe,,
10,B,Arboreal,brotherhood_of_woods_tier_3,vlandia,3,26.0,main_or_minor_line,Ranged,Ranged Troops,False,override,3,45.580280154415235,,19.985613505051194,,,,25.57018423909409,93.93939393939394,46.82539682539681,0.0,86.33333333333333,28.400000000000002,0.0,0.0,71.0,0.0,,0.0,0.0,0.0,False,False,True,False,False,90.0,45.0,45.0,140.0,15.0,60.0,60.0,110.0,lowland_yew_bow,vlandia_sword_3_t4,OneHandedSword,,
