rank,tier,troop_name,troop_id,culture,tree_tier,level,line_status,default_group,primary_category,naval,change_type,roster_n,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,mount_index_desc,shock_cav_index_desc,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,harness_armor,mount_raw,ranged_damage,throw_damage,throw_source,shield_share,twoh_share,horse_share,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item
1,S,Vlandian Sharpshooter,vlandian_sharpshooter,vlandia,,26.0,special_or_unlinked,Ranged,Ranged Troops,False,override,3,62.628688921587056,53.43414645159834,31.051204489887887,,,,54.73237054987044,100.0,46.82539682539681,0.0,160.0,42.76666666666667,0.0,0.0,102.0,0.0,,1.0,0.0,0.0,True,False,False,True,False,130.0,60.0,80.0,20.0,150.0,60.0,80.0,130.0,crossbow_f,vlandia_sword_4_t4,OneHandedSword,,
2,S,Conspiracy Warworn Crossbowman,conspiracy_warworn_crossbowman,vlandia,,26.0,special_or_unlinked,Ranged,Ranged Troops,False,override,1,61.37970050393817,45.59018531644539,19.5993176109601,,,,50.03549985337017,97.64309764309765,34.523809523809526,0.0,133.0,37.55,0.0,0.0,102.0,0.0,,1.0,0.0,0.0,True,False,False,True,False,100.0,70.0,100.0,20.0,150.0,70.0,100.0,80.0,crossbow_f,morningstar_mace_t3,Mace,,
3,A,Vlandian Marinier,vlandian_marine_t5,vlandia,5,26.0,main_or_minor_line,Ranged,Ranged Troops,True,override,4,51.621341393227226,,56.433992351875645,,,,35.339075048747986,92.92929292929293,100.0,0.0,142.25,39.25,0.0,0.0,90.0,0.0,,0.0,1.0,0.0,False,False,False,True,False,100.0,130.0,80.0,20.0,150.0,60.0,80.0,130.0,crossbow_g,western_2hsword_t4,TwoHandedSword,,
4,A,Imperial Sergeant Boatsman,imperial_sergeant_crossbowman,empire,4,26.0,main_or_minor_line,Ranged,Ranged Troops,False,override,3,46.279808349879055,48.466724833106994,30.330257815170565,,,,48.399848396761456,95.18518518518519,46.82539682539681,0.0,139.33333333333334,43.73333333333334,0.0,0.0,95.0,0.0,,1.0,0.0,0.0,True,False,False,True,False,130.0,80.0,80.0,80.0,130.0,60.0,20.0,130.0,crossbow_d,aserai_noble_sword_6_t5|empire_mace_2_t4,Mace|OneHandedSword,,
5,A,Boar Champion,company_of_the_boar_tier_3,vlandia,3,26.0,main_or_minor_line,Ranged,Ranged Troops,False,override,2,44.17792946388918,43.36071262153195,19.275743119157838,,,,46.95177164847942,92.82828282828282,34.523809523809526,0.0,119.0,34.125,0.0,0.0,95.0,0.0,,1.0,0.0,0.0,True,False,False,True,False,100.0,60.0,45.0,45.0,130.0,100.0,15.0,100.0,crossbow_d,vlandia_mace_2_t4,Mace,,
6,B,Vlandian Seafarer,vlandian_marine_t4,vlandia,4,21.0,main_or_minor_line,Ranged,Ranged Troops,True,override,3,30.419459078232748,36.362755530546856,22.937275894499027,,,,35.128991375422096,88.55218855218855,46.82539682539681,0.0,78.66666666666667,23.416666666666668,0.0,0.0,89.0,0.0,,1.0,0.0,0.0,True,False,False,True,False,100.0,45.0,45.0,15.0,100.0,60.0,60.0,100.0,crossbow_g,vlandia_sword_2_t3,OneHandedSword,,
7,B,Boar Veteran,company_of_the_boar_tier_2,vlandia,2,21.0,main_or_minor_line,Ranged,Ranged Troops,False,override,2,26.43110629648309,33.67062534405739,20.667796117843334,,,,30.751747981910516,82.32323232323232,46.82539682539681,0.0,77.0,23.675000000000004,0.0,0.0,84.0,0.0,,1.0,0.0,0.0,True,False,False,True,False,90.0,30.0,40.0,10.0,100.0,30.0,40.0,70.0,crossbow_b,vlandia_sword_1_t2,OneHandedSword,,
8,B,Imperial Coastguard,imperial_crossbowman,empire,3,21.0,main_or_minor_line,Ranged,Ranged Troops,False,override,3,26.0119953986944,,20.984475452745016,,,,20.168032639285475,95.18518518518519,46.82539682539681,0.0,79.33333333333333,22.400000000000002,0.0,0.0,95.0,0.0,,0.0,0.0,0.0,False,False,False,True,False,100.0,45.0,60.0,60.0,100.0,45.0,15.0,100.0,crossbow_d,empire_mace_2_t4|empire_sword_7_t2,Mace|OneHandedSword,,
9,C,Conspiracy Trained Crossbowman,conspiracy_trained_crossbowman,vlandia,,16.0,special_or_unlinked,Ranged,Ranged Troops,False,override,3,15.543523229394149,,13.52349717993538,,,,30.207031028929816,82.32323232323232,46.82539682539681,0.0,110.66666666666667,33.550000000000004,0.0,0.0,84.0,0.0,,0.0,0.0,0.0,False,False,False,True,False,40.0,40.0,40.0,20.0,80.0,30.0,60.0,50.0,crossbow_b,empire_mace_1_t2|vlandia_mace_1_t2|vlandia_sword_1_t2,Mace|OneHandedSword,,
10,C,Boar Novice,company_of_the_boar_tier_1,vlandia,1,16.0,main_or_minor_line,Ranged,Ranged Troops,False,override,2,13.963490206377442,28.49087299271714,13.34038159033901,,,,24.703267529981943,82.32323232323232,46.82539682539681,0.0,53.0,19.700000000000003,0.0,0.0,84.0,0.0,,1.0,0.0,0.0,True,False,False,True,False,50.0,5.0,15.0,20.0,70.0,5.0,20.0,40.0,crossbow_b,vlandia_sword_1_t2,OneHandedSword,,
