rank,tier,troop_name,troop_id,culture,tree_tier,level,line_status,default_group,primary_category,naval,change_type,roster_n,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,mount_index_desc,shock_cav_index_desc,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,harness_armor,mount_raw,ranged_damage,throw_damage,throw_source,shield_share,twoh_share,horse_share,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item
1,S,Khuzait Khan's Guard,khuzait_khans_guard,khuzait,5,31.0,noble_line,HorseArcher,Ranged Troops,False,override,3,100.0,63.1519011153675,67.2278540943711,,100.0,,69.88943596392393,83.0976430976431,60.47619047619048,0.0,181.0,54.6,38.0,54.29999999999999,56.0,0.0,,0.0,1.0,1.0,False,True,True,False,False,60.0,60.0,220.0,220.0,25.0,30.0,200.0,60.0,steppe_war_bow,khuzait_polearm_1_t4,TwoHandedPolearm,,
2,B,Khuzait Kheshig,khuzait_kheshig,khuzait,4,26.0,noble_line,HorseArcher,Ranged Troops,False,override,3,69.02473760008257,53.25617143443591,43.9534698553757,,100.0,,60.39065273426045,83.0976430976431,60.47619047619048,0.0,146.0,44.050000000000004,38.0,54.29999999999999,56.0,0.0,,0.0,1.0,1.0,False,True,True,False,False,50.0,50.0,130.0,160.0,20.0,60.0,130.0,80.0,steppe_war_bow,khuzait_polearm_1_t4,TwoHandedPolearm,,
3,B,Aserai Mamluke Heavy Cavalry,aserai_mameluke_heavy_cavalry,aserai,5,26.0,main_or_minor_line,HorseArcher,Ranged Troops,False,override,3,66.93018413664532,73.79297588223723,37.999138707466486,,40.23904382470115,,70.40135413933437,79.8989898989899,46.82539682539681,0.0,167.0,42.5,55.0,46.79999999999999,58.0,0.0,,1.0,0.0,1.0,True,True,True,False,False,130.0,60.0,80.0,150.0,20.0,80.0,130.0,80.0,steppe_war_bow,aserai_sword_6_t4,OneHandedSword,,
4,B,Veteran Eleftheroi,eleftheroi_tier_3,empire,3,26.0,main_or_minor_line,HorseArcher,Ranged Troops,False,override,3,61.114818966805316,36.2746299392847,34.20946483035009,,27.490039840637554,,41.23582363947241,87.54208754208754,60.47619047619048,0.0,83.33333333333333,28.78333333333333,25.0,45.20000000000001,87.0,0.0,,0.0,1.0,1.0,False,True,False,True,False,100.0,60.0,100.0,45.0,140.0,60.0,130.0,45.0,crossbow_g,empire_lance_2_t4,TwoHandedPolearm,,
5,B,Imperial Bucellarii,bucellarii,empire,4,26.0,main_or_minor_line,HorseArcher,Ranged Troops,False,override,3,59.4479056574798,42.358416661113324,35.538545273765344,,89.64143426294828,,48.9975150102641,84.44444444444444,46.82539682539681,0.0,141.33333333333334,39.5,15.0,53.0,57.0,0.0,,0.0,0.0,1.0,False,True,True,False,False,130.0,40.0,60.0,140.0,60.0,40.0,120.0,100.0,steppe_war_bow,empire_sword_5_t4,OneHandedSword,,
6,B,Khuzait Heavy Horse Archer,khuzait_heavy_horse_archer,khuzait,5,26.0,main_or_minor_line,HorseArcher,Ranged Troops,False,override,3,56.775521970785015,65.39138404245814,36.77977378046427,,56.17529880478096,,60.52141910235107,79.15824915824916,46.82539682539681,0.0,129.0,39.366666666666674,38.0,48.800000000000004,54.0,0.0,,1.0,0.0,1.0,True,True,True,False,False,130.0,60.0,80.0,130.0,20.0,60.0,130.0,80.0,composite_steppe_bow,khuzait_sword_4_t4,OneHandedSword,,
7,B,Karakhergit Elder,karakhuzaits_tier_3,khuzait,3,26.0,main_or_minor_line,HorseArcher,Ranged Troops,False,override,2,53.417102927555334,44.249101746985616,35.36683969681756,,59.76095617529885,,51.5095155041751,77.54208754208754,60.47619047619048,0.0,142.0,44.25,12.0,49.25,55.0,0.0,,0.0,1.0,1.0,False,True,True,False,False,100.0,45.0,45.0,140.0,15.0,60.0,100.0,60.0,steppe_war_bow,eastern_spear_4_t4,TwoHandedPolearm,,
8,B,Aserai Mamluke Cavalry,aserai_mameluke_cavalry,aserai,4,21.0,main_or_minor_line,HorseArcher,Ranged Troops,False,override,2,51.26833811145765,69.64492738650804,31.760839253982255,,0.0,,65.37953973668371,77.4074074074074,46.82539682539681,0.0,131.0,37.975,58.0,41.75,56.0,0.0,,1.0,0.0,1.0,True,True,True,False,False,100.0,45.0,75.0,120.0,15.0,70.0,110.0,40.0,steppe_heavy_bow,aserai_sword_6_t4,OneHandedSword,,
9,B,Conspiracy Mounted Master Archer,conspiracy_mounted_master_archer,khuzait,,26.0,special_or_unlinked,HorseArcher,Ranged Troops,False,override,3,49.81804828255483,46.914363669946965,38.07853008171318,,56.17529880478096,,54.78141865645918,81.51515151515152,46.82539682539681,0.0,148.66666666666666,38.900000000000006,38.0,48.800000000000004,54.0,0.0,,0.0,0.0,1.0,False,True,True,False,False,140.0,40.0,80.0,120.0,20.0,80.0,130.0,80.0,composite_steppe_bow,khuzait_sword_4_t4,OneHandedSword,,
10,B,Conspiracy Packmaster,conspiracy_packmaster,empire,,16.0,special_or_unlinked,HorseArcher,Ranged Troops,False,override,3,49.393354756909915,33.83166144197069,36.17977225683562,,89.64143426294828,,41.824658163851545,83.77104377104376,46.82539682539681,0.0,120.66666666666667,31.53333333333333,15.0,53.0,56.0,0.0,,0.0,0.0,1.0,False,True,True,False,False,140.0,60.0,80.0,120.0,20.0,60.0,130.0,80.0,steppe_war_bow,empire_sword_3_t3|light_mace_t3,Mace|OneHandedSword,,
11,C,Khuzait Horse Archer,khuzait_horse_archer,khuzait,4,21.0,main_or_minor_line,HorseArcher,Ranged Troops,False,override,3,38.562548671935495,39.2089931278777,29.44518124177209,,56.17529880478096,,48.25381880669044,80.60606060606061,46.82539682539681,0.0,112.66666666666667,31.650000000000002,38.0,48.800000000000004,54.0,0.0,,0.0,0.0,1.0,False,True,True,False,False,100.0,45.0,45.0,100.0,15.0,60.0,100.0,60.0,steppe_heavy_bow,khuzait_sword_3_t3,OneHandedSword,,
12,C,Karakhergit Rider,karakhuzaits_tier_2,khuzait,2,21.0,main_or_minor_line,HorseArcher,Ranged Troops,False,override,2,36.991085742969865,33.19873989142518,26.48365635489538,,56.17529880478096,,38.09327200605041,75.05050505050505,60.47619047619048,0.0,94.5,29.725,12.0,48.800000000000004,53.0,0.0,,0.0,1.0,1.0,False,True,True,False,False,70.0,30.0,40.0,110.0,10.0,30.0,60.0,40.0,steppe_heavy_bow,eastern_spear_2_t3,TwoHandedPolearm,,
13,C,Khuzait Torguud,khuzait_torguud,khuzait,3,21.0,noble_line,HorseArcher,Ranged Troops,False,override,2,36.81364091674208,45.99669543134935,35.62047668442676,,56.17529880478096,,53.43088075650702,75.89225589225589,60.47619047619048,0.0,123.5,37.400000000000006,38.0,48.800000000000004,54.0,0.0,,0.0,1.0,1.0,False,True,True,False,False,55.0,45.0,100.0,100.0,15.0,25.0,100.0,45.0,steppe_heavy_bow,khuzait_polearm_1_t4,TwoHandedPolearm,,
14,C,Expert Eleftheroi,eleftheroi_tier_2,empire,2,21.0,main_or_minor_line,HorseArcher,Ranged Troops,False,override,2,35.98166802008476,19.57314150545946,24.506105302891235,,27.490039840637493,,23.356202441772528,81.54882154882155,60.47619047619048,0.0,45.0,14.325000000000001,10.0,45.2,79.0,0.0,,0.0,1.0,1.0,False,True,False,True,False,70.0,40.0,70.0,30.0,100.0,40.0,100.0,30.0,crossbow_e,empire_lance_2_t4,TwoHandedPolearm,,
15,C,Khuzait Raider,khuzait_raider,khuzait,3,16.0,main_or_minor_line,HorseArcher,Ranged Troops,False,override,3,22.88465817246065,20.849089917485262,21.144244431321574,,0.3984063745019697,,26.117002028808045,81.01010101010101,46.82539682539681,0.0,51.0,17.183333333333334,12.0,41.8,53.0,0.0,,0.0,0.0,1.0,False,True,True,False,False,70.0,30.0,40.0,70.0,10.0,30.0,70.0,40.0,composite_bow,khuzait_sword_3_t3,OneHandedSword,,
16,C,Khuzait Qanqli,khuzait_qanqli,khuzait,2,16.0,noble_line,HorseArcher,Ranged Troops,False,override,3,22.213827520225358,29.788037803768123,25.988644149892618,,0.3984063745019697,,33.409906688549675,76.29629629629629,60.47619047619048,0.0,89.66666666666667,25.283333333333335,12.0,41.8,53.0,0.0,,0.0,1.0,1.0,False,True,True,False,False,45.0,30.0,70.0,70.0,10.0,25.0,70.0,40.0,composite_bow,eastern_spear_3_t3,TwoHandedPolearm,,
17,D,Conspiracy Horse Archer,conspiracy_horse_archer,khuzait,,16.0,special_or_unlinked,HorseArcher,Ranged Troops,False,override,3,19.367735187385485,24.134628625778753,21.621091050819643,,0.3984063745019697,,30.75384881864377,80.60606060606061,46.82539682539681,0.0,64.33333333333333,22.333333333333332,12.0,41.8,54.0,0.0,,0.0,0.0,1.0,False,True,True,False,False,70.0,30.0,40.0,60.0,10.0,30.0,80.0,40.0,steppe_heavy_bow,aserai_mace_3_t3|khuzait_sword_3_t3|woodland_axe_t3,Mace|OneHandedAxe|OneHandedSword,,
18,D,Karakhergit Nomad,karakhuzaits_tier_1,khuzait,1,16.0,main_or_minor_line,HorseArcher,Ranged Troops,False,override,4,17.703564549570036,26.361690293690625,21.851666640863275,,0.3984063745019697,,29.337284621360624,66.5993265993266,60.47619047619048,0.0,50.5,21.3,10.5,41.8,43.0,0.0,,0.0,1.0,1.0,False,True,True,False,False,20.0,15.0,10.0,70.0,5.0,15.0,40.0,40.0,steppe_bow,eastern_spear_1_t2,TwoHandedPolearm,,
19,D,Conspiracy Mounted Hunstman,conspiracy_mounted_huntsman,empire,,16.0,special_or_unlinked,HorseArcher,Ranged Troops,False,override,3,16.821479592505774,25.106209358088392,21.76210140829979,,27.490039840637554,,31.361890993155566,71.78451178451178,46.82539682539681,0.0,81.0,21.416666666666668,15.0,45.20000000000001,42.0,0.0,,0.0,0.0,1.0,False,True,True,False,False,70.0,30.0,40.0,60.0,10.0,30.0,80.0,40.0,hunting_bow,empire_sword_1_t2,OneHandedSword,,
20,D,Recruit Eleftheroi,eleftheroi_tier_1,empire,1,16.0,main_or_minor_line,HorseArcher,Ranged Troops,False,override,2,16.73933078371121,14.785642244803231,20.171577051498403,,27.490039840637493,,15.550093380049084,72.55892255892256,60.47619047619048,0.0,24.0,6.375000000000001,8.0,45.2,69.0,0.0,,0.0,1.0,1.0,False,True,False,True,False,20.0,15.0,40.0,40.0,65.0,15.0,60.0,20.0,crossbow_a,empire_lance_2_t4,TwoHandedPolearm,,
21,D,Khuzait Tribal Warrior,khuzait_tribal_warrior,khuzait,2,11.0,main_or_minor_line,HorseArcher,Ranged Troops,False,override,3,12.25377513166614,22.42686655494866,21.280586046559634,,0.3984063745019697,,25.807878909485666,66.5993265993266,60.47619047619048,0.0,47.333333333333336,15.4,16.0,41.8,43.0,0.0,,0.0,1.0,1.0,False,True,True,False,False,40.0,15.0,20.0,40.0,5.0,15.0,40.0,20.0,steppe_bow,eastern_spear_1_t2,TwoHandedPolearm,,
22,D,Khuzait Noble's Son,khuzait_noble_son,khuzait,1,11.0,noble_line,HorseArcher,Ranged Troops,False,override,3,11.609868745699073,15.912959143834808,17.609702909614658,,0.3984063745019697,,21.57619348963559,66.5993265993266,46.82539682539681,0.0,36.333333333333336,10.700000000000001,16.0,41.8,43.0,0.0,,0.0,0.0,1.0,False,True,True,False,False,20.0,10.0,55.0,40.0,5.0,5.0,40.0,20.0,steppe_bow,khuzait_sword_1_t2,OneHandedSword,,
