rank,tier,troop_name,troop_id,culture,tree_tier,level,line_status,default_group,primary_category,naval,change_type,roster_n,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,mount_index_desc,shock_cav_index_desc,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,harness_armor,mount_raw,ranged_damage,throw_damage,throw_source,shield_share,twoh_share,horse_share,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item
1,S,Nord Huscarl,nord_huscarl,nord,5,31.0,main_or_minor_line,Infantry,Defensive Troops,True,override,5,,71.6921784496021,62.37253044984153,,,,72.75283355713677,0.0,60.47619047619048,0.0,204.4,62.05,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,True,False,False,False,False,220.0,90.0,220.0,60.0,25.0,250.0,90.0,220.0,,nord_spear_3_t5,TwoHandedPolearm,,
2,S,Vlandian Sergeant,vlandian_sergeant,vlandia,5,26.0,main_or_minor_line,Infantry,Defensive Troops,False,override,3,,66.80633653373164,39.82525620921682,,,,66.01729374499443,0.0,60.47619047619048,0.0,175.66666666666666,49.083333333333336,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,True,False,False,False,False,130.0,60.0,130.0,20.0,60.0,80.0,80.0,130.0,,western_spear_4_t4,TwoHandedPolearm,,
3,S,Sturgian Heavy Spearman,sturgian_shock_troop,sturgia,,26.0,special_or_unlinked,Infantry,Skirmishers,False,override,3,,64.82810780008721,41.793362631237876,46.22048749398243,,,63.207746170903505,0.0,60.47619047619048,24.444444444444443,189.0,53.300000000000004,0.0,0.0,0.0,0.0,crafted_proxy,1.0,1.0,0.0,True,False,False,False,True,140.0,60.0,140.0,75.0,15.0,80.0,45.0,125.0,,northern_spear_3_t4,TwoHandedPolearm,,northern_javelin_3_t4
4,S,Nord Shield-Companion,nord_hirdmann,nord,4,26.0,main_or_minor_line,Infantry,Defensive Troops,True,override,5,,64.5343976922484,46.77490760543817,,,,59.68863027159961,0.0,60.47619047619048,0.0,159.4,50.1,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,True,False,False,False,False,160.0,70.0,160.0,45.0,20.0,200.0,70.0,160.0,,nord_spear_3_t5,TwoHandedPolearm,,
5,A,Sturgian Heavy Axeman,sturgian_veteran_warrior,sturgia,,26.0,special_or_unlinked,Infantry,Defensive Troops,False,override,3,,63.65089572136511,29.911940063397687,,,,67.97964675073445,0.0,41.587301587301575,0.0,211.66666666666666,58.6,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,True,False,False,False,False,130.0,80.0,80.0,60.0,20.0,130.0,60.0,130.0,,sturgia_axe_4_t4,OneHandedAxe,,
6,A,Imperial Legionary,imperial_legionary,empire,,26.0,special_or_unlinked,Infantry,Defensive Troops,False,override,3,,61.080111927848705,38.99418067237733,,,,60.97399935860168,0.0,60.47619047619048,0.0,202.0,56.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,True,False,False,False,False,130.0,80.0,130.0,60.0,60.0,80.0,20.0,130.0,,imperial_throwing_spear_1_t4,TwoHandedPolearm,,
7,A,Puppeteer,hidden_hand_tier_3,empire,3,26.0,main_or_minor_line,Infantry,Skirmishers,False,override,4,,60.60981503680191,31.484802172792758,70.82066451165616,,,54.49163180992659,0.0,60.47619047619048,23.08641975308642,189.0,54.025000000000006,0.0,0.0,0.0,0.0,crafted_proxy,0.5,0.5,0.0,True,False,False,False,True,100.0,65.0,40.0,45.0,25.0,160.0,50.0,100.0,,empire_sword_5_t4|triangluar_spear_t3,OneHandedSword|TwoHandedPolearm,,leafblade_throwing_knife
8,A,Aserai Mamluke Warden,aserai_master_archer,aserai,,26.0,special_or_unlinked,Infantry,Defensive Troops,False,override,3,,59.540155349607716,38.77067909357857,,,,59.124834291143394,0.0,60.47619047619048,0.0,186.66666666666666,53.81666666666666,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,True,False,False,False,False,130.0,50.0,130.0,70.0,20.0,80.0,60.0,160.0,,easter_polesword_t4,TwoHandedPolearm,,
9,A,Battanian Wildling,battanian_wildling,battania,,26.0,special_or_unlinked,Infantry,Skirmishers,False,override,3,,59.392905435027224,27.45411884745847,53.02535329124493,,,61.66084434772021,0.0,41.587301587301575,24.444444444444443,186.33333333333334,58.23333333333334,0.0,0.0,0.0,0.0,crafted_proxy,1.0,0.0,0.0,True,False,False,False,True,120.0,80.0,80.0,60.0,20.0,130.0,60.0,140.0,,battania_axe_2_t4,OneHandedAxe,,northern_javelin_2_t3
10,A,Redshank,galloglass_tier_3,battania,3,21.0,main_or_minor_line,Infantry,Skirmishers,False,inalterado,3,,58.934718064142764,24.0504370233899,49.117766423632126,,,58.94261886019746,0.0,41.587301587301575,24.444444444444443,177.0,52.699999999999996,0.0,0.0,0.0,0.0,crafted_proxy,1.0,0.0,0.0,True,False,False,False,True,100.0,60.0,45.0,60.0,15.0,120.0,45.0,80.0,,battle_axe_t4,OneHandedAxe,,northern_javelin_2_t3
11,A,Nord Berserkir,nord_berserkr,nord,5,26.0,main_or_minor_line,Infantry,Defensive Troops,True,override,4,,58.16158751213462,33.181198520704015,,,,59.24198809468686,0.0,46.82539682539681,0.0,172.75,49.5125,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,True,False,False,False,False,140.0,120.0,100.0,45.0,20.0,140.0,70.0,140.0,,nord_sword_1_t5|nord_throwing_axe_2_t5,OneHandedSword|ThrowingAxe,,
12,A,Conspiracy Veteran Fighter,conspiracy_veteran_fighter,empire,,26.0,special_or_unlinked,Infantry,Defensive Troops,False,override,3,,57.2078698787885,38.432182870826026,,,,56.02202705877713,0.0,60.47619047619048,0.0,178.0,50.5,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,True,False,False,False,False,130.0,80.0,130.0,60.0,60.0,80.0,30.0,110.0,,imperial_throwing_spear_1_t4,TwoHandedPolearm,,
13,A,Conspiracy Commander,imperial_conspiracy_boss,vlandia,,31.0,special_or_unlinked,Infantry,Defensive Troops,False,override,2,,56.740742266520925,65.05548008678784,,,,31.950511146439467,0.0,60.47619047619048,0.0,110.0,30.475,0.0,0.0,0.0,0.0,,0.5,0.5,0.0,True,False,False,False,False,240.0,60.0,240.0,30.0,25.0,60.0,100.0,160.0,,empire_sword_5_t4|imperial_throwing_spear_1_t4,OneHandedSword|TwoHandedPolearm,,
