rank,tier,troop_name,troop_id,culture,tree_tier,level,line_status,default_group,primary_category,naval,change_type,roster_n,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,mount_index_desc,shock_cav_index_desc,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,harness_armor,mount_raw,ranged_damage,throw_damage,throw_source,shield_share,twoh_share,horse_share,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item
1,S,Vlandian Banner Knight,vlandian_banner_knight,vlandia,5,31.0,noble_line,Cavalry,Defensive Troops,False,override,3,,98.86660089865606,78.31697380808619,,100.0,92.24093096762857,97.35997708801735,0.0,60.47619047619048,0.0,202.0,58.56666666666666,64.0,62.349999999999994,0.0,0.0,,1.0,1.0,1.0,True,True,False,False,False,220.0,60.0,260.0,25.0,60.0,30.0,200.0,60.0,,nord_spear_4_t5,TwoHandedPolearm,,
2,S,Imperial Elite Cataphract,imperial_elite_cataphract,empire,5,31.0,noble_line,Cavalry,Defensive Troops,False,override,3,,100.0,77.75353075137257,,86.40776699029124,85.41761925812601,97.0438225967714,0.0,60.47619047619048,0.0,207.66666666666666,60.21666666666667,75.0,59.54999999999999,0.0,0.0,,1.0,1.0,1.0,True,True,False,False,False,160.0,60.0,250.0,60.0,25.0,45.0,200.0,60.0,,empire_lance_3_t5,TwoHandedPolearm,,
3,A,Vlandian Champion,vlandian_champion,vlandia,4,26.0,noble_line,Cavalry,Defensive Troops,False,override,3,,89.91630174398853,54.451865695574575,,100.0,82.54559825504938,86.99856457114635,0.0,60.47619047619048,0.0,171.0,51.95000000000001,64.0,62.349999999999994,0.0,0.0,,1.0,1.0,1.0,True,True,False,False,False,130.0,60.0,160.0,20.0,50.0,80.0,130.0,80.0,,vlandia_lance_3_t5,TwoHandedPolearm,,
4,A,Vlandian Knight,vlandian_knight,vlandia,3,21.0,noble_line,Cavalry,Defensive Troops,False,override,3,,79.85853018798802,40.85981579329569,,100.0,76.2797150558517,75.04737601204594,0.0,60.47619047619048,0.0,161.66666666666666,43.13333333333333,64.0,62.349999999999994,0.0,0.0,,1.0,1.0,1.0,True,True,False,False,False,100.0,60.0,110.0,45.0,45.0,15.0,100.0,90.0,,vlandia_lance_2_t4,TwoHandedPolearm,,
5,A,Imperial Cataphract,imperial_cataphract,empire,4,26.0,noble_line,Cavalry,Defensive Troops,False,override,3,,90.57922064254623,54.54807842165833,,86.40776699029124,75.88259403910797,86.71113580666129,0.0,60.47619047619048,0.0,174.33333333333334,49.88333333333333,75.0,59.54999999999999,0.0,0.0,,1.0,1.0,1.0,True,True,False,False,False,130.0,50.0,160.0,60.0,20.0,60.0,130.0,50.0,,empire_lance_3_t5,TwoHandedPolearm,,
6,A,Aserai Vanguard Faris,aserai_vanguard_faris,aserai,5,31.0,noble_line,Cavalry,Skirmishers,False,override,3,,93.22242618586672,64.46630586157146,100.0,62.864077669902976,67.9786098143815,88.90552408587878,0.0,60.47619047619048,24.444444444444443,207.33333333333334,59.300000000000004,58.0,54.70000000000001,0.0,0.0,crafted_proxy,1.0,1.0,1.0,True,True,False,False,True,170.0,60.0,200.0,65.0,20.0,140.0,170.0,90.0,,aserai_lance_1_t5,TwoHandedPolearm,,eastern_javelin_3_t4
7,A,Vlandian Vanguard,vlandian_vanguard,vlandia,5,26.0,main_or_minor_line,Cavalry,Defensive Troops,False,override,3,,83.22587210493701,46.20146106158089,,73.05825242718444,65.18351840088609,76.7321613236815,0.0,60.47619047619048,0.0,153.66666666666666,43.0,52.0,56.79999999999999,0.0,0.0,,1.0,1.0,1.0,True,True,False,False,False,130.0,80.0,130.0,20.0,110.0,80.0,130.0,60.0,,vlan_lance_1_t3,TwoHandedPolearm,,
8,B,Sturgian Druzhinnik Champion,druzhinnik_champion,sturgia,5,31.0,noble_line,Cavalry,Defensive Troops,False,override,3,,96.74731667878947,62.72267417471548,,51.375404530744355,62.152735728341014,94.82233781111678,0.0,60.47619047619048,0.0,208.0,57.93333333333334,55.0,52.333333333333336,0.0,0.0,,1.0,1.0,1.0,True,True,False,False,False,110.0,160.0,190.0,65.0,20.0,90.0,170.0,140.0,,sturgia_lance_2_t5,TwoHandedPolearm,,
9,B,Vlandian Gallant,vlandian_gallant,vlandia,2,16.0,noble_line,Cavalry,Defensive Troops,False,override,2,,63.618805221600475,36.07640044204891,,73.05825242718447,58.69868715154942,57.65420570364311,0.0,60.47619047619048,0.0,115.0,36.925000000000004,15.0,56.8,0.0,0.0,,1.0,1.0,1.0,True,True,False,False,False,100.0,30.0,100.0,10.0,10.0,10.0,70.0,30.0,,vlan_lance_1_t3,TwoHandedPolearm,,
10,B,Khuzait Heavy Lancer,khuzait_heavy_lancer,khuzait,5,26.0,main_or_minor_line,Cavalry,Defensive Troops,False,override,3,,80.95840338414533,45.87237201703614,,60.922330097087354,58.66025576212812,77.48374638355965,0.0,60.47619047619048,0.0,187.66666666666666,54.38333333333335,38.0,54.29999999999999,0.0,0.0,,1.0,1.0,1.0,True,True,False,False,False,130.0,60.0,130.0,20.0,20.0,60.0,150.0,60.0,,khu_spear_2_t5,TwoHandedPolearm,,
