rank,tier,troop_name,troop_id,culture,tree_tier,level,line_status,default_group,primary_category,naval,change_type,roster_n,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,mount_index_desc,shock_cav_index_desc,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,harness_armor,mount_raw,ranged_damage,throw_damage,throw_source,shield_share,twoh_share,horse_share,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item
1,S,Conspiracy Knight,conspiracy_knight,vlandia,,26.0,special_or_unlinked,Infantry,Offensive Melee,False,override,3,,,62.217398708798434,,,,49.71480069490534,0.0,100.0,0.0,201.0,55.21666666666666,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,False,False,False,False,False,120.0,140.0,90.0,60.0,60.0,80.0,40.0,90.0,,western_2hsword_t4,TwoHandedSword,,
2,S,Khuzait Tengri,khuzait_Tengri,khuzait,5,26.0,main_or_minor_line,Infantry,Skirmishers,True,novo,3,,,60.287305248925286,68.51914900786541,,,37.905097058657084,0.0,100.0,24.444444444444443,139.66666666666666,42.1,0.0,0.0,0.0,0.0,crafted_proxy,0.0,0.6666666666666666,0.0,False,False,False,False,True,120.0,120.0,140.0,60.0,20.0,110.0,80.0,130.0,,khu_sailorglav_1_t5|khu_teng_sword_1_t5|ridged_3hsword_t4,OneHandedSword|TwoHandedPolearm|TwoHandedSword,,spear_blade_10_hewns
3,S,Vlandian Captain,vlandian_pikeman,vlandia,5,26.0,main_or_minor_line,Infantry,Offensive Melee,False,override,3,,,57.36497860899093,,,,40.38108320856936,0.0,100.0,0.0,166.66666666666666,44.85,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,False,False,False,False,False,80.0,130.0,130.0,20.0,60.0,110.0,60.0,130.0,,vlandia_2haxe_2_t5|vlandia_2hsword_1_t5,TwoHandedAxe|TwoHandedSword,,
4,S,Battanian Veteran Falxman,battanian_veteran_falxman,battania,5,26.0,main_or_minor_line,Infantry,Offensive Melee,False,override,3,,,56.78595057102899,,,,39.435706678602855,0.0,100.0,0.0,147.0,43.800000000000004,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,False,False,False,False,False,70.0,130.0,100.0,60.0,20.0,120.0,60.0,130.0,,battania_2hsword_4_t4,TwoHandedSword,,
5,A,Flame,embers_of_flame_tier_2,empire,2,21.0,main_or_minor_line,Infantry,Skirmishers,False,override,2,,,48.45712250932792,98.2684104480364,,,21.563588469236038,0.0,100.0,100.0,81.0,23.950000000000003,0.0,0.0,0.0,57.0,direct_Thrown,0.0,1.0,0.0,False,False,False,False,True,110.0,115.0,65.0,90.0,15.0,50.0,50.0,100.0,,justicier_2hsword,TwoHandedSword,sling_reinforced,
6,A,Battanian Falxman,battanian_falxman,battania,4,21.0,main_or_minor_line,Infantry,Skirmishers,False,override,3,,,43.67626036651133,61.08192531729843,,,30.717234235578402,0.0,100.0,23.08641975308642,120.33333333333333,34.11666666666667,0.0,0.0,0.0,0.0,crafted_proxy,0.0,1.0,0.0,False,False,False,False,True,60.0,100.0,45.0,60.0,15.0,100.0,45.0,100.0,,battania_2hsword_6,TwoHandedSword,,woodland_throwing_axe_1_t1
7,B,Conspiracy Spear Master,conspiracy_spearmaster,vlandia,,26.0,special_or_unlinked,Infantry,Offensive Melee,False,override,3,,,41.875005437142576,,,,44.26763116509833,0.0,60.47619047619048,0.0,173.33333333333334,49.166666666666664,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,False,False,False,False,False,90.0,80.0,150.0,60.0,60.0,80.0,50.0,110.0,,western_spear_4_t4,TwoHandedPolearm,,
8,B,Nord Ulfhednar,nord_ulfhednar,nord,5,26.0,main_or_minor_line,Infantry,Offensive Melee,True,override,3,,,39.09658414743024,,,,44.5977626517533,0.0,60.47619047619048,0.0,162.66666666666666,49.53333333333333,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,False,False,False,False,False,140.0,90.0,140.0,60.0,20.0,90.0,60.0,150.0,,nord_spear_atgeir_1_t5,TwoHandedPolearm,,
9,B,Imperial Elite Menavliaton,imperial_elite_menavliaton,empire,2,26.0,main_or_minor_line,Infantry,Offensive Melee,False,override,2,,,37.01072580508416,,,,42.361872128499186,0.0,60.47619047619048,0.0,174.5,47.05,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,False,False,False,False,False,130.0,80.0,130.0,60.0,40.0,80.0,20.0,130.0,,empire_polearm_1_t4,TwoHandedPolearm,,
10,B,Vlandian Voulgier,vlandian_voulgier,vlandia,5,26.0,main_or_minor_line,Infantry,Offensive Melee,False,override,3,,,35.64263014676231,,,,33.50834589547952,0.0,60.47619047619048,0.0,140.66666666666666,37.21666666666667,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,False,False,False,False,False,80.0,130.0,130.0,20.0,60.0,80.0,60.0,130.0,,vlandia_polearm_1_t5,TwoHandedPolearm,,
11,B,Conspiracy Knight Trainee,conspiracy_knight_trainee,vlandia,,16.0,special_or_unlinked,Infantry,Offensive Melee,False,override,3,,,34.89105293307117,,,,20.67823584593407,0.0,100.0,0.0,94.0,22.96666666666667,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,False,False,False,False,False,70.0,80.0,40.0,30.0,10.0,30.0,40.0,60.0,,western_2hsword_t3,TwoHandedSword,,
12,B,Sturgian Heroic Line Breaker,sturgian_ulfhednar,sturgia,2,26.0,main_or_minor_line,Infantry,Offensive Melee,False,override,3,,,33.665098557885464,,,,45.933294575039326,0.0,46.82539682539681,0.0,185.33333333333334,51.01666666666667,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,False,False,False,False,False,80.0,150.0,80.0,60.0,20.0,130.0,40.0,150.0,,sturgia_sword_5_t4,OneHandedSword,,
