rank,tier,troop_name,troop_id,culture,tree_tier,level,line_status,default_group,primary_category,naval,change_type,roster_n,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,mount_index_desc,shock_cav_index_desc,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,harness_armor,mount_raw,ranged_damage,throw_damage,throw_source,shield_share,twoh_share,horse_share,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item
1,S,Flame,embers_of_flame_tier_2,empire,2,21.0,main_or_minor_line,Infantry,Skirmishers,False,override,2,,,48.45712250932792,98.2684104480364,,,21.563588469236038,0.0,100.0,100.0,81.0,23.950000000000003,0.0,0.0,0.0,57.0,direct_Thrown,0.0,1.0,0.0,False,False,False,False,True,110.0,115.0,65.0,90.0,15.0,50.0,50.0,100.0,,justicier_2hsword,TwoHandedSword,sling_reinforced,
2,A,Puppeteer,hidden_hand_tier_3,empire,3,26.0,main_or_minor_line,Infantry,Skirmishers,False,override,4,,60.60981503680191,31.484802172792758,70.82066451165616,,,54.49163180992659,0.0,60.47619047619048,23.08641975308642,189.0,54.025000000000006,0.0,0.0,0.0,0.0,crafted_proxy,0.5,0.5,0.0,True,False,False,False,True,100.0,65.0,40.0,45.0,25.0,160.0,50.0,100.0,,empire_sword_5_t4|triangluar_spear_t3,OneHandedSword|TwoHandedPolearm,,leafblade_throwing_knife
3,B,Khuzait Tengri,khuzait_Tengri,khuzait,5,26.0,main_or_minor_line,Infantry,Skirmishers,True,novo,3,,,60.287305248925286,68.51914900786541,,,37.905097058657084,0.0,100.0,24.444444444444443,139.66666666666666,42.1,0.0,0.0,0.0,0.0,crafted_proxy,0.0,0.6666666666666666,0.0,False,False,False,False,True,120.0,120.0,140.0,60.0,20.0,110.0,80.0,130.0,,khu_sailorglav_1_t5|khu_teng_sword_1_t5|ridged_3hsword_t4,OneHandedSword|TwoHandedPolearm|TwoHandedSword,,spear_blade_10_hewns
4,B,Battanian Falxman,battanian_falxman,battania,4,21.0,main_or_minor_line,Infantry,Skirmishers,False,override,3,,,43.67626036651133,61.08192531729843,,,30.717234235578402,0.0,100.0,23.08641975308642,120.33333333333333,34.11666666666667,0.0,0.0,0.0,0.0,crafted_proxy,0.0,1.0,0.0,False,False,False,False,True,60.0,100.0,45.0,60.0,15.0,100.0,45.0,100.0,,battania_2hsword_6,TwoHandedSword,,woodland_throwing_axe_1_t1
5,B,Battanian Skipari,battanian_marine_t5,battania,2,26.0,main_or_minor_line,Infantry,Skirmishers,True,override,3,,49.277851410993364,32.155491710599996,58.706039467586905,,,48.08043546486801,0.0,46.82539682539681,24.444444444444443,138.0,43.150000000000006,0.0,0.0,0.0,0.0,crafted_proxy,1.0,0.0,0.0,True,False,False,False,True,140.0,80.0,60.0,50.0,20.0,150.0,80.0,130.0,,battania_sword_5_t5,OneHandedSword,,northern_javelin_6_t6
6,B,Battanian Wildling,battanian_wildling,battania,,26.0,special_or_unlinked,Infantry,Skirmishers,False,override,3,,59.392905435027224,27.45411884745847,53.02535329124493,,,61.66084434772021,0.0,41.587301587301575,24.444444444444443,186.33333333333334,58.23333333333334,0.0,0.0,0.0,0.0,crafted_proxy,1.0,0.0,0.0,True,False,False,False,True,120.0,80.0,80.0,60.0,20.0,130.0,60.0,140.0,,battania_axe_2_t4,OneHandedAxe,,northern_javelin_2_t3
7,B,Skolder Veteran Broda,skolderbrotva_tier_3,nord,3,26.0,main_or_minor_line,Infantry,Skirmishers,True,override,3,,50.17522813982318,30.40697497538233,51.67087507180767,,,46.7723430417715,0.0,46.82539682539681,24.444444444444443,105.0,32.6,0.0,0.0,0.0,0.0,crafted_proxy,1.0,1.0,0.0,True,False,False,False,True,130.0,130.0,110.0,40.0,15.0,130.0,30.0,100.0,,sturgia_sword_4_t4,OneHandedSword,,northern_javelin_3_t4
8,B,Lake Rat Wrecker ,lakepike_tier_3,sturgia,3,26.0,main_or_minor_line,Infantry,Skirmishers,False,override,4,,51.13771004789662,27.92459257063923,49.47518139322245,,,46.86237890176831,0.0,41.587301587301575,24.444444444444443,124.5,32.7,0.0,0.0,0.0,0.0,crafted_proxy,1.0,0.0,0.0,True,False,False,False,True,130.0,60.0,110.0,45.0,15.0,130.0,30.0,55.0,,battle_axe_t4,OneHandedAxe,,western_javelin_3_t4
9,B,Redshank,galloglass_tier_3,battania,3,21.0,main_or_minor_line,Infantry,Skirmishers,False,inalterado,3,,58.934718064142764,24.0504370233899,49.117766423632126,,,58.94261886019746,0.0,41.587301587301575,24.444444444444443,177.0,52.699999999999996,0.0,0.0,0.0,0.0,crafted_proxy,1.0,0.0,0.0,True,False,False,False,True,100.0,60.0,45.0,60.0,15.0,120.0,45.0,80.0,,battle_axe_t4,OneHandedAxe,,northern_javelin_2_t3
10,B,Aserai Lieutenant,aserai_veteran_infantry,aserai,5,26.0,main_or_minor_line,Infantry,Skirmishers,False,override,3,,52.563390119286844,32.63233833009807,48.98736940417635,,,54.27790382798177,0.0,46.82539682539681,24.444444444444443,165.0,48.43333333333334,0.0,0.0,0.0,0.0,crafted_proxy,1.0,0.0,0.0,True,False,False,False,True,140.0,80.0,130.0,60.0,20.0,120.0,50.0,130.0,,aser_battle_axe_4_t4|aserai_noble_sword_3_t5,OneHandedAxe|OneHandedSword,,eastern_javelin_2_t3
