troop_id,troop_name,level,upgrade_depth,line_status,culture,default_group,has_bow,has_crossbow,has_ranged,has_shield,has_horse,has_throwing,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item,primary_category,score_status,evidence_basis,empirical
imperial_elite_cataphract,Imperial Elite Cataphract,31.0,5.0,noble_line,empire,Cavalry,False,False,False,True,True,False,,100.0,91.32648695024785,,100.0,0.0,81.95652173913044,0.0,,empire_lance_2_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
druzhinnik_champion,Sturgian Druzhinnik Champion,31.0,5.0,noble_line,sturgia,Cavalry,False,False,False,True,True,False,,98.08257982066101,72.34690411298479,,93.87770268576321,0.0,81.95652173913044,0.0,,sturgia_lance_1_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
vlandian_banner_knight,Vlandian Banner Knight,31.0,5.0,noble_line,vlandia,Cavalry,False,False,False,True,True,False,,96.24966380917421,90.66720484010183,,93.57945367873272,0.0,81.95652173913044,0.0,,vlandia_lance_2_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
aserai_vanguard_faris,Aserai Vanguard Faris,31.0,5.0,noble_line,aserai,Cavalry,False,False,False,True,True,True,,95.94425147755993,71.74273126254046,100.0,93.02199396159922,0.0,81.95652173913044,30.46153846153846,,aserai_lance_1_t5,TwoHandedPolearm,,eastern_javelin_3_t4,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
vlandian_champion,Vlandian Champion,26.0,4.0,noble_line,vlandia,Cavalry,False,False,False,True,True,False,,93.1477425258192,57.4095732188872,,88.05096825720865,0.0,81.95652173913044,0.0,,vlandia_lance_2_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
druzhinnik,Sturgian Druzhinnik,26.0,4.0,noble_line,sturgia,Cavalry,False,False,False,True,True,False,,91.43581174976957,50.073717102171464,,86.08804031330921,0.0,81.95652173913044,0.0,,sturgia_lance_1_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
imperial_cataphract,Imperial Cataphract,26.0,4.0,noble_line,empire,Cavalry,False,False,False,True,True,False,,90.62725113883258,56.966488973724765,,87.78486316897853,0.0,81.95652173913044,0.0,,empire_lance_2_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
conspiracy_battlerider,Conspiracy Battle Rider,26.0,,special_or_unlinked,sturgia,Cavalry,False,False,False,True,True,True,,90.6227560878627,56.737428658251964,76.81789669976065,86.08669725263509,0.0,81.95652173913044,30.46153846153846,,sturgia_lance_1_t4,TwoHandedPolearm,,northern_javelin_3_t4,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
aserai_veteran_faris,Aserai Veteran Faris,26.0,4.0,noble_line,aserai,Cavalry,False,False,False,True,True,True,,83.50523796971656,44.933853688533205,74.1691807204057,76.49733357687501,0.0,81.95652173913044,30.46153846153846,,eastern_spear_4_t4,TwoHandedPolearm,,eastern_javelin_3_t4,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
mp_heavy_cavalry_khuzait_troop,Lancer,30.0,,special_or_unlinked,khuzait,Cavalry,False,False,False,True,True,False,,83.12616654172807,87.30495182277603,,75.6523693381039,0.0,81.95652173913044,0.0,,mp_khuzait_lance_heavy,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
