troop_id,troop_name,level,upgrade_depth,line_status,culture,default_group,has_bow,has_crossbow,has_ranged,has_shield,has_horse,has_throwing,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item,primary_category,score_status,primary_category_score,evidence_basis,empirical
imperial_elite_cataphract,Imperial Elite Cataphract,31.0,5.0,noble_line,empire,Cavalry,False,False,False,True,True,False,,100.0,91.32648695024785,,100.0,0.0,81.95652173913044,0.0,,empire_lance_2_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,100.0,xml_structural,false
druzhinnik_champion,Sturgian Druzhinnik Champion,31.0,5.0,noble_line,sturgia,Cavalry,False,False,False,True,True,False,,98.08257982066101,72.34690411298479,,93.87770268576321,0.0,81.95652173913044,0.0,,sturgia_lance_1_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,98.08257982066101,xml_structural,false
vlandian_banner_knight,Vlandian Banner Knight,31.0,5.0,noble_line,vlandia,Cavalry,False,False,False,True,True,False,,96.24966380917421,90.66720484010183,,93.57945367873272,0.0,81.95652173913044,0.0,,vlandia_lance_2_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,96.24966380917421,xml_structural,false
vlandian_champion,Vlandian Champion,26.0,4.0,noble_line,vlandia,Cavalry,False,False,False,True,True,False,,93.1477425258192,57.4095732188872,,88.05096825720865,0.0,81.95652173913044,0.0,,vlandia_lance_2_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,93.1477425258192,xml_structural,false
druzhinnik,Sturgian Druzhinnik,26.0,4.0,noble_line,sturgia,Cavalry,False,False,False,True,True,False,,91.43581174976957,50.073717102171464,,86.08804031330921,0.0,81.95652173913044,0.0,,sturgia_lance_1_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,91.43581174976957,xml_structural,false
imperial_cataphract,Imperial Cataphract,26.0,4.0,noble_line,empire,Cavalry,False,False,False,True,True,False,,90.62725113883258,56.966488973724765,,87.78486316897853,0.0,81.95652173913044,0.0,,empire_lance_2_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,90.62725113883258,xml_structural,false
mp_heavy_cavalry_khuzait_troop,Lancer,30.0,,special_or_unlinked,khuzait,Cavalry,False,False,False,True,True,False,,83.12616654172807,87.30495182277603,,75.6523693381039,0.0,81.95652173913044,0.0,,mp_khuzait_lance_heavy,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,83.12616654172807,xml_structural,false
vlandian_vanguard,Vlandian Vanguard,26.0,5.0,main_or_minor_line,vlandia,Cavalry,False,False,False,True,True,False,,82.2664912146268,44.94436104245398,,73.8228520878326,0.0,81.95652173913044,0.0,,vlandia_lance_2_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,82.2664912146268,xml_structural,false
vlandian_knight,Vlandian Knight,21.0,3.0,noble_line,vlandia,Cavalry,False,False,False,True,True,False,,81.97155105804998,37.85760167817029,,76.34753754302271,0.0,81.95652173913044,0.0,,vlandia_lance_2_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,81.97155105804998,xml_structural,false
khuzait_heavy_lancer,Khuzait Heavy Lancer,26.0,5.0,main_or_minor_line,khuzait,Cavalry,False,False,False,True,True,False,,81.75534405298424,44.854505050303935,,76.06576341359465,0.0,81.95652173913044,0.0,,khuzait_lance_2_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,81.75534405298424,xml_structural,false
mp_heavy_cavalry_khuzait_hero,Lancer,30.0,,special_or_unlinked,khuzait,Cavalry,False,False,False,True,True,False,,80.63020197419122,51.691624178332056,,74.75610018158181,0.0,81.95652173913044,0.0,,mp_khuzait_lance_heavy,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,80.63020197419122,xml_structural,false
khuzait_lancer,Khuzait Lancer,21.0,4.0,main_or_minor_line,khuzait,Cavalry,False,False,False,True,True,False,,77.64349490993224,33.57930505378034,,70.86364173587907,0.0,81.95652173913044,0.0,,khuzait_lance_1_t3,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,77.64349490993224,xml_structural,false
ghilman_tier_3,Ghulam,21.0,3.0,main_or_minor_line,darshi,Cavalry,False,False,False,True,True,False,,76.73332318984613,36.936758919906886,,69.67745054850599,0.0,81.95652173913044,0.0,,western_spear_5_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,76.73332318984613,xml_structural,false
battanian_horseman,Battanian Horseman,26.0,5.0,main_or_minor_line,battania,Cavalry,False,False,False,True,True,False,,75.79738800395147,43.80713925793249,,65.95063625261004,0.0,81.95652173913044,0.0,,highland_spear_4_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,75.79738800395147,xml_structural,false
imperial_heavy_horseman,Imperial Heavy Horseman,21.0,3.0,noble_line,empire,Cavalry,False,False,False,True,True,False,,74.81178085597776,50.668787622527375,,66.4282286283232,0.0,81.95652173913044,0.0,,western_spear_4_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,74.81178085597776,xml_structural,false
varyag_veteran,Varyag Veteran,21.0,3.0,noble_line,sturgia,Cavalry,False,False,False,True,True,False,,73.06481176642845,36.29186101495586,,61.12645184858874,0.0,81.95652173913044,0.0,,northern_spear_3_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,73.06481176642845,xml_structural,false
mp_heavy_cavalry_aserai_troop,Mamluke,30.0,,special_or_unlinked,aserai,Cavalry,False,False,False,True,True,False,,70.03915034186687,85.00434856569585,,55.139982737193485,0.0,81.95652173913044,0.0,,mp_aserai_long_spear,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,70.03915034186687,xml_structural,false
vlandian_sergeant,Vlandian Sergeant,26.0,5.0,main_or_minor_line,vlandia,Infantry,False,False,False,True,False,False,,69.82630976300011,38.48604856408165,,68.55071218030679,0.0,81.95652173913044,0.0,,western_spear_4_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,69.82630976300011,xml_structural,false
sturgian_shock_troop,Sturgian Heavy Spearman,26.0,,special_or_unlinked,sturgia,Infantry,False,False,False,True,False,False,,68.91943576653752,41.84408214628659,,66.48866635865808,0.0,81.95652173913044,0.0,,northern_spear_3_t4,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,68.91943576653752,xml_structural,false
