troop_id,troop_name,level,culture,default_group,roster_index,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,has_shield,has_horse,has_bow,has_crossbow,has_ranged,has_throwing,armor_total,effective_armor,defense_raw,ranged_item,ranged_damage,ranged_raw,ammo_stack,crafted_melee_item,crafted_melee_template,crafted_melee_class,crafted_melee_raw,direct_throw_item,throw_damage,direct_throw_raw,crafted_throw_item,crafted_throw_raw,tree_root_id,upgrade_depth,line_status,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,ranged_skill_factor,melee_skill_factor,throw_skill_factor,mobility_factor,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,evidence_basis,empirical
angry_wight,Angry Wight,11.0,whitewalker,Infantry,0,50.0,40.0,40.0,5.0,0.0,10.0,5.0,50.0,False,False,False,False,False,False,14.0,1.1,1.375,,0.0,0.0,0.0,sturgia_axe_2_t2,OneHandedAxe,axe,40.48,,0.0,0.0,,0.0,wight_recruit,2.0,main_or_minor_line,0.6308062851244408,0.0,73.33333333333331,0.0,0.25,0.25,0.25,1.005,,,0.7960471498321611,,xml_structural,false
anti_imperial_conspiracy_boss,Conspiracy Commander,31.0,sturgia,Infantry,0,240.0,60.0,240.0,30.0,25.0,60.0,100.0,160.0,True,False,False,False,False,False,15.0,4.45,18.948214285714286,,0.0,0.0,0.0,sturgia_axe_4_t4,OneHandedAxe,axe,40.48,,0.0,0.0,,0.0,,,special_or_unlinked,8.692838300591482,0.0,73.33333333333331,0.0,0.25,1.0909090909090908,0.375,1.1,,12.123185511533054,56.589658325044596,,xml_structural,false
anti_imperial_conspiracy_boss,Conspiracy Commander,31.0,sturgia,Infantry,1,240.0,60.0,240.0,30.0,25.0,60.0,100.0,160.0,True,False,False,False,False,False,128.0,40.6,64.13571428571429,,0.0,0.0,0.0,sturgia_axe_4_t4,OneHandedAxe,axe,40.48,,0.0,0.0,,0.0,,,special_or_unlinked,29.423426670817424,0.0,73.33333333333331,0.0,0.25,1.0909090909090908,0.375,1.1,,29.849545873464947,59.21999469023567,,xml_structural,false
arryn_archer,Arryn Archer,21.0,vale,Ranged,0,80.0,10.0,40.0,110.0,0.0,10.0,5.0,80.0,False,False,True,False,True,False,99.0,26.849999999999998,33.5625,composite_bow,52.0,118.8,54.0,vlandia_sword_1_t2,OneHandedSword,one_handed_sword,41.8,,0.0,0.0,,0.0,arryn_recruit,4.0,main_or_minor_line,15.397407959628396,66.51735722284435,75.72463768115942,0.0,0.5,0.36363636363636365,0.25,1.005,17.865270167868445,,10.843430114410143,,xml_structural,false
arryn_footman,Arryn Footman,16.0,vale,Infantry,0,70.0,10.0,40.0,80.0,0.0,10.0,5.0,70.0,True,False,False,False,False,False,80.0,23.049999999999997,38.62678571428571,,0.0,0.0,0.0,western_spear_1_t2,TwoHandedPolearm,two_handed_polearm,45.24,,0.0,0.0,,0.0,arryn_recruit,3.0,main_or_minor_line,17.720741238346466,0.0,81.95652173913044,0.0,0.36363636363636365,0.3181818181818182,0.25,1.005,,21.071708743606603,9.842234986657164,,xml_structural,false
arryn_horseman,Arryn Horseman,21.0,vale,Cavalry,0,90.0,10.0,110.0,5.0,0.0,10.0,110.0,100.0,True,True,False,False,False,False,125.0,41.1,93.67642857142857,,0.0,0.0,0.0,vlandia_lance_3_t5,TwoHandedPolearm,two_handed_polearm,45.24,,0.0,0.0,,0.0,arryn_recruit,4.0,main_or_minor_line,42.975767207903914,0.0,81.95652173913044,0.0,0.25,0.5,0.25,1.1900000000000002,,49.79252217812664,31.35675138990162,,xml_structural,false
arryn_houseguard,Arryn House Guard,26.0,vale,Infantry,0,130.0,120.0,140.0,20.0,0.0,10.0,50.0,130.0,True,False,False,False,False,False,175.0,55.449999999999996,80.98392857142856,,0.0,0.0,0.0,vlandia_lance_3_t5,TwoHandedPolearm,two_handed_polearm,45.24,,0.0,0.0,,0.0,arryn_recruit,5.0,main_or_minor_line,37.152851735946115,0.0,81.95652173913044,0.0,0.25,0.6363636363636364,0.25,1.05,,37.68776358593122,35.468779198439535,,xml_structural,false
arryn_knight,Arryn Knight,26.0,vale,Cavalry,0,110.0,10.0,140.0,5.0,0.0,10.0,140.0,120.0,True,True,False,False,False,False,188.0,52.900000000000006,124.84642857142856,,0.0,0.0,0.0,vlandia_lance_3_t5,TwoHandedPolearm,two_handed_polearm,45.24,,0.0,0.0,,0.0,arryn_recruit,5.0,main_or_minor_line,57.27557223141579,0.0,81.95652173913044,0.0,0.25,0.6363636363636364,0.25,1.2200000000000002,,62.020033159734766,43.097263989569925,,xml_structural,false
arryn_levy,Arryn Levy,11.0,vale,Infantry,0,40.0,10.0,50.0,5.0,0.0,10.0,5.0,50.0,True,False,False,False,False,False,69.0,20.849999999999998,42.8625,,0.0,0.0,0.0,western_spear_1_t2,TwoHandedPolearm,two_handed_polearm,45.24,,0.0,0.0,,0.0,arryn_recruit,2.0,main_or_minor_line,19.663952288106433,0.0,81.95652173913044,0.0,0.25,0.25,0.25,1.005,,22.73331422783907,5.125730179376852,,xml_structural,false
arryn_man_at_arms,Arryn Man at Arms,21.0,vale,Infantry,0,100.0,10.0,100.0,20.0,0.0,10.0,5.0,100.0,True,False,False,False,False,False,125.0,41.1,63.04642857142857,,0.0,0.0,0.0,western_spear_3_t3,TwoHandedPolearm,two_handed_polearm,45.24,,0.0,0.0,,0.0,arryn_recruit,4.0,main_or_minor_line,28.92369701636819,0.0,81.95652173913044,0.0,0.25,0.45454545454545453,0.25,1.005,,30.65115857365674,21.189813481298984,,xml_structural,false
