rank,tier,troop_id,troop_name,culture,level,tree_tier,line_status,default_group,primary_category,role_score,role_score_column,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,ranged_damage,throw_damage,crafted_melee_template,crafted_melee_item,ranged_item_scored,direct_throw_item,crafted_throw_item,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,roster_count,spectacle_reason,shield_hp,shield_armor,horse_charge,horse_speed,horse_maneuver,horse_extra_health,harness_armor,ammo_stack,ammo_thrust,ranged_base_damage,ranged_speed_rating,ranged_accuracy,ranged_missile_speed,thrown_damage,thrown_stack,thrown_speed_rating,ranged_item_audit,ranged_class,thrown_item_audit
1,S,enthroned_guardian,Qartheen Enthroned Guardian,qartheen,31.0,5.0,main_or_minor_line,Ranged,Ranged Troops,85.661,ranged_role_score,85.66100104618191,39.502195258603074,62.91871361109082,,40.313436993102094,91.0414333706607,75.72463768115942,0.0,187.0,54.15,98.0,0.0,OneHandedSword,qarth_sword,qarth_longbow,,,True,False,True,False,False,240.0,210.0,230.0,250.0,5.0,50.0,50.0,250.0,1,,360.0,9.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,95.0,94.0,100.0,87.0,0.0,0.0,0.0,qarth_longbow,Bow,
2,S,ravens_teeth,Ravens' Teeth,river,31.0,6.0,main_or_minor_line,Ranged,Ranged Troops,84.7401,ranged_role_score,84.7401431782759,,58.89033037009569,,32.658561761669915,97.20044792833147,75.72463768115942,0.0,178.0,56.949999999999996,101.0,0.0,OneHandedSword,vlandia_sword_3_t4,ravens_teeth_longbow,,,False,False,True,False,False,230.0,30.0,40.0,260.0,0.0,10.0,5.0,230.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,5.0,96.0,94.0,100.0,87.0,0.0,0.0,0.0,ravens_teeth_longbow,Bow,
3,S,summer_master_longbowman,Goldenheart Warrior,summer,31.0,6.0,main_or_minor_line,Ranged,Ranged Troops,80.8004,ranged_role_score,80.80042045717367,,49.15507253440033,,28.21424475283862,94.68085106382979,75.72463768115942,0.0,158.0,49.199999999999996,101.0,0.0,OneHandedSword,simple_sabre_sword_t2,goldenheart_longbow,,,False,False,True,False,False,200.0,20.0,200.0,250.0,40.0,20.0,5.0,200.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,97.0,94.0,100.0,87.0,0.0,0.0,0.0,goldenheart_longbow,Bow,
4,A,mormont_bowmaiden,Mormont Bowmaiden,battania,31.0,6.0,main_or_minor_line,Ranged,Ranged Troops,75.5772,ranged_role_score,75.57716533145974,,56.651706752401296,,32.515196696868905,74.2441209406495,73.33333333333331,0.0,186.0,56.7,68.0,0.0,TwoHandedAxe,sturgia_2haxe_1_t4,woodland_longbow,,,False,False,True,False,False,230.0,220.0,220.0,250.0,5.0,40.0,200.0,230.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,64.0,88.0,94.0,82.0,0.0,0.0,0.0,woodland_longbow,Bow,
5,A,greyjoy_sniper,Greyjoy Sniper,sturgia,31.0,6.0,main_or_minor_line,Ranged,Ranged Troops,74.9963,ranged_role_score,74.99628647472818,,55.382089518802836,,29.103108154604882,77.26763717805152,75.72463768115942,0.0,164.0,50.75,73.0,0.0,OneHandedSword,vlandia_sword_4_t4,lowland_yew_bow,,,False,False,True,False,False,220.0,200.0,220.0,250.0,20.0,150.0,150.0,220.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,69.0,90.0,94.0,79.0,0.0,0.0,0.0,lowland_yew_bow,Bow,
6,B,triarch_guardian,Triarch Guardian,volantine,31.0,5.0,main_or_minor_line,Ranged,Ranged Troops,54.3054,ranged_role_score,54.30538529220766,,64.65144722174954,,32.45785067094851,68.81298992161254,81.95652173913044,0.0,186.0,56.60000000000001,58.0,0.0,TwoHandedPolearm,khuzait_polearm_1_t4,steppe_war_bow,,,False,False,True,False,False,200.0,200.0,230.0,240.0,15.0,20.0,5.0,220.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,54.0,89.0,95.0,80.0,0.0,0.0,0.0,steppe_war_bow,Bow,
7,B,nightswatch_protector,Night's Watch Protector of the Realm,nightswatch,31.0,5.0,main_or_minor_line,Ranged,Ranged Troops,52.0699,ranged_role_score,52.069942488268396,,52.46321864145321,,30.192682647092553,67.16125419932811,75.72463768115942,0.0,165.0,52.65,54.0,0.0,OneHandedSword,broad_arming_sword_t4,glen_ranger_bow,,,False,False,True,False,False,210.0,60.0,20.0,230.0,5.0,5.0,40.0,220.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,51.0,85.0,88.0,70.0,0.0,0.0,0.0,glen_ranger_bow,Bow,
8,B,qartheen_champion,Qartheen Pureborn Champion,qartheen,26.0,4.0,main_or_minor_line,Ranged,Ranged Troops,45.336,ranged_role_score,45.336039801238826,39.502195258603074,32.34753205920921,,40.313436993102094,89.36170212765958,75.72463768115942,0.0,187.0,54.15,97.0,0.0,OneHandedSword,qarth_sword,qarth_longbow,,,True,False,True,False,False,130.0,130.0,140.0,140.0,5.0,130.0,50.0,130.0,1,,360.0,9.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,95.0,94.0,100.0,87.0,0.0,0.0,0.0,qarth_longbow,Bow,
9,B,qartheen_longbowman,Qartheen Longbowman,qartheen,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,40.2516,ranged_role_score,40.25160012310552,,24.341594839521967,,25.404289482738843,92.72116461366181,75.72463768115942,0.0,142.0,44.3,97.0,0.0,OneHandedSword,qarth_sword,qarth_longbow,,,False,False,True,False,False,90.0,120.0,20.0,140.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,95.0,94.0,100.0,87.0,0.0,0.0,0.0,qarth_longbow,Bow,
10,C,blackwood_longbowman,Blackwood Longbowman,river,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,34.2588,ranged_role_score,34.25884212662459,,27.213170595505783,,23.941965821768548,76.20380739081747,75.72463768115942,0.0,144.0,41.75,67.0,0.0,OneHandedSword,vlandia_sword_2_t3,woodland_longbow,,,False,False,True,False,False,130.0,30.0,40.0,150.0,0.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,64.0,88.0,94.0,82.0,0.0,0.0,0.0,woodland_longbow,Bow,
