rank,tier,troop_id,troop_name,culture,level,tree_tier,line_status,default_group,primary_category,role_score,role_score_column,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,ranged_damage,throw_damage,crafted_melee_template,crafted_melee_item,ranged_item_scored,direct_throw_item,crafted_throw_item,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,roster_count,spectacle_reason,shield_hp,shield_armor,horse_charge,horse_speed,horse_maneuver,horse_extra_health,harness_armor,ammo_stack,ammo_thrust,ranged_base_damage,ranged_speed_rating,ranged_accuracy,ranged_missile_speed,thrown_damage,thrown_stack,thrown_speed_rating,ranged_item_audit,ranged_class,thrown_item_audit
1,S,myrish_artisan,Myrish Artisan of War,myrish,31.0,5.0,main_or_minor_line,Ranged,Ranged Troops,88.1396,ranged_role_score,88.13958094844237,39.31445905718052,53.71950179931527,,40.09388363672112,87.48600223964166,75.72463768115942,0.0,200.0,58.75,105.0,0.0,OneHandedSword,aserai_sword_5_t4,crossbow_f,,,True,False,False,True,False,210.0,45.0,190.0,45.0,240.0,170.0,170.0,210.0,1,,450.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,100.0,63.0,100.0,97.0,0.0,0.0,0.0,crossbow_f,Crossbow,
2,S,frey_assassin,Frey Assassin,river,31.0,6.0,main_or_minor_line,Ranged,Ranged Troops,83.2177,ranged_role_score,83.21766397537839,,54.716319733422516,,23.85594678288795,85.41433370660695,75.72463768115942,0.0,133.0,41.60000000000001,98.0,0.0,OneHandedSword,vlandia_sword_4_t4,crossbow_d,,,False,False,False,True,False,220.0,200.0,220.0,20.0,250.0,60.0,150.0,230.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,5.0,93.0,62.0,99.0,90.0,0.0,0.0,0.0,crossbow_d,Crossbow,
3,B,myrish_master_crossbowman,Myrish Master Crossbowman,myrish,26.0,4.0,main_or_minor_line,Ranged,Ranged Troops,44.5383,ranged_role_score,44.53831020663818,33.577296782364385,28.411244373225305,,33.384398604033876,79.50727883538634,75.72463768115942,0.0,171.0,47.050000000000004,89.0,0.0,OneHandedSword,empire_sword_4_t4,crossbow_g,,,True,False,False,True,False,130.0,45.0,100.0,45.0,150.0,80.0,100.0,140.0,1,,450.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,85.0,80.0,90.0,70.0,0.0,0.0,0.0,crossbow_g,Crossbow,
4,B,golden_master_crossbowman,Gilded Bolt Rangers,volantine,26.0,4.0,main_or_minor_line,Ranged,Ranged Troops,40.7213,ranged_role_score,40.72125844969989,,27.355055959603234,,25.060213327216417,81.97088465845464,75.72463768115942,0.0,126.0,43.699999999999996,93.0,0.0,OneHandedSword,golden_company_sword,crossbow_c,,,False,False,False,True,False,130.0,20.0,60.0,15.0,160.0,20.0,5.0,130.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,89.0,60.0,98.0,87.0,0.0,0.0,0.0,crossbow_c,Crossbow,
5,B,frey_sharpshooter,Frey Sharpshooter,river,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,39.5963,ranged_role_score,39.59629716834868,,27.20225633672906,,23.85594678288795,85.41433370660695,75.72463768115942,0.0,133.0,41.60000000000001,98.0,0.0,OneHandedSword,vlandia_sword_4_t4,crossbow_d,,,False,False,False,True,False,130.0,60.0,80.0,20.0,140.0,60.0,80.0,130.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,5.0,93.0,62.0,99.0,90.0,0.0,0.0,0.0,crossbow_d,Crossbow,
6,B,hightower_marksman,Hightower Marksmen,reach,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,38.154,ranged_role_score,38.153952499749195,,27.42781768478141,,25.633673586420457,88.88577827547593,75.72463768115942,0.0,152.0,44.7,102.0,0.0,OneHandedSword,velaryon_cutlass,crossbow_f,,,False,False,False,True,False,130.0,60.0,80.0,20.0,130.0,60.0,80.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,100.0,63.0,100.0,97.0,0.0,0.0,0.0,crossbow_f,Crossbow,
7,B,velaryon_marksman,Velaryon Marksman,dragonstone,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,38.0752,ranged_role_score,38.0751667969867,,27.33322744204978,,24.888175249455216,88.88577827547593,75.72463768115942,0.0,147.0,43.400000000000006,102.0,0.0,OneHandedSword,velaryon_cutlass,crossbow_f,,,False,False,False,True,False,130.0,60.0,80.0,20.0,130.0,60.0,80.0,130.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,100.0,63.0,100.0,97.0,0.0,0.0,0.0,crossbow_f,Crossbow,
8,B,tarth_elite_crossbowman,Tarth Elite Crossbowman,stormlands,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,37.4691,ranged_role_score,37.46912292958282,,26.605610190268013,,19.153572657414845,88.88577827547593,75.72463768115942,0.0,129.0,33.400000000000006,102.0,0.0,OneHandedSword,velaryon_cutlass,crossbow_f,,,False,False,False,True,False,130.0,60.0,80.0,20.0,130.0,60.0,80.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,100.0,63.0,100.0,97.0,0.0,0.0,0.0,crossbow_f,Crossbow,
9,B,casterly_master_crossbowman,Casterly Rock Master Crossbowman,vlandia,26.0,4.0,main_or_minor_line,Ranged,Ranged Troops,36.7085,ranged_role_score,36.708476907595376,,27.46056046111159,,25.891730703062276,86.0862262038074,75.72463768115942,0.0,130.0,45.15,102.0,0.0,OneHandedSword,vlandia_sword_2_t3,crossbow_f,,,False,False,False,True,False,130.0,60.0,80.0,20.0,130.0,60.0,80.0,130.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,100.0,63.0,100.0,97.0,0.0,0.0,0.0,crossbow_f,Crossbow,
10,B,tarly_elite_crossbowman,Tarly Elite Crossbowman,reach,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,36.4418,ranged_role_score,36.44181760593767,,27.14040887032761,,23.36850556256451,86.0862262038074,75.72463768115942,0.0,139.0,40.75,102.0,0.0,OneHandedSword,vlandia_sword_2_t3,crossbow_f,,,False,False,False,True,False,130.0,60.0,80.0,20.0,130.0,60.0,80.0,130.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,100.0,63.0,100.0,97.0,0.0,0.0,0.0,crossbow_f,Crossbow,
11,C,stormlands_heavy_crossbowman,Stormlands Heavy Crossbowman,stormlands,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,34.3829,ranged_role_score,34.38292329326152,,16.072898466070548,,26.2931528845051,81.41097424412094,70.10869565217392,0.0,151.0,45.85,91.0,0.0,Mace,morningstar_mace_t3,crossbow_c,,,False,False,False,True,False,100.0,30.0,30.0,50.0,140.0,10.0,5.0,100.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,89.0,60.0,98.0,87.0,0.0,0.0,0.0,crossbow_c,Crossbow,
12,C,grafton_elite_crossbowman,Grafton Elite Archer,vale,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,34.0337,ranged_role_score,34.03366376538802,,21.278925846663025,,22.70902626447987,81.46696528555431,70.10869565217392,0.0,122.0,39.6,88.0,0.0,Mace,westerling_mace,crossbow_g,,,False,False,False,True,False,120.0,30.0,40.0,60.0,140.0,10.0,5.0,120.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,85.0,80.0,90.0,70.0,0.0,0.0,0.0,crossbow_g,Crossbow,
13,C,nightswatch_master_crossbowman,Night's Watch Master Crossbowman,nightswatch,26.0,5.0,main_or_minor_line,Ranged,Ranged Troops,33.4345,ranged_role_score,33.43446464077446,,20.25853635932152,,17.31849982796192,81.41097424412094,75.72463768115942,0.0,104.0,30.2,91.0,0.0,OneHandedSword,vlandia_sword_1_t2,crossbow_c,,,False,False,False,True,False,110.0,10.0,60.0,5.0,140.0,10.0,5.0,110.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,89.0,60.0,98.0,87.0,0.0,0.0,0.0,crossbow_c,Crossbow,
14,C,frey_veteran_crossbowman,Frey Veteran Crossbowman,river,21.0,4.0,main_or_minor_line,Ranged,Ranged Troops,26.3257,ranged_role_score,26.325658353329395,,17.463360414774794,,19.38295676109646,81.46696528555431,75.72463768115942,0.0,121.0,33.800000000000004,87.0,0.0,OneHandedSword,vlandia_sword_2_t3,crossbow_g,,,False,False,False,True,False,100.0,45.0,45.0,15.0,110.0,60.0,60.0,100.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,85.0,80.0,90.0,70.0,0.0,0.0,0.0,crossbow_g,Crossbow,
15,C,myrish_elite_crossbowman,Myrish Elite Crossbowman,myrish,21.0,3.0,main_or_minor_line,Ranged,Ranged Troops,25.4411,ranged_role_score,25.441127247351034,,18.383796238278723,,26.637229040027524,77.6875699888018,75.72463768115942,0.0,163.0,46.45,86.0,0.0,OneHandedSword,empire_sword_4_t4,crossbow_b,,,False,False,False,True,False,100.0,45.0,80.0,45.0,110.0,60.0,60.0,110.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,82.0,61.0,96.0,80.0,0.0,0.0,0.0,crossbow_b,Crossbow,
