rank,tier,troop_id,troop_name,culture,level,tree_tier,line_status,default_group,primary_category,role_score,role_score_column,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,ranged_damage,throw_damage,crafted_melee_template,crafted_melee_item,ranged_item_scored,direct_throw_item,crafted_throw_item,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,roster_count,spectacle_reason,shield_hp,shield_armor,horse_charge,horse_speed,horse_maneuver,horse_extra_health,harness_armor,ammo_stack,ammo_thrust,ranged_base_damage,ranged_speed_rating,ranged_accuracy,ranged_missile_speed,thrown_damage,thrown_stack,thrown_speed_rating,ranged_item_audit,ranged_class,thrown_item_audit
1,S,tarly_vanguard,Tarly Vanguard,reach,31.0,6.0,main_or_minor_line,Infantry,Skirmishers,47.7973,defensive_role_score,,47.79731061351824,69.84125444845719,68.43108666868059,47.28343682925631,0.0,81.95652173913044,30.46153846153846,176.0,56.75000000000001,0.0,0.0,TwoHandedPolearm,ranseur,,,western_javelin_3_t4,True,False,False,False,True,240.0,220.0,230.0,5.0,0.0,230.0,150.0,240.0,1,,470.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2,S,celtigar_banneret,Celtigar Banneret,dragonstone,31.0,6.0,main_or_minor_line,Infantry,Skirmishers,45.1578,defensive_role_score,,45.157795662174244,69.44958847635525,67.56654072931926,44.19658217685514,0.0,81.95652173913044,30.46153846153846,198.0,61.949999999999996,0.0,0.0,TwoHandedPolearm,crownlands_halberd,,,northern_javelin_3_t4,True,False,False,False,True,230.0,210.0,240.0,5.0,0.0,230.0,5.0,240.0,1,,315.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,S,kingsguard_captain,Kingsguard,crownlands,26.0,4.0,main_or_minor_line,Infantry,Defensive Troops,44.9421,defensive_role_score,,44.94210431771142,46.36184878296858,,42.629397211344674,0.0,100.0,0.0,211.0,65.0,0.0,0.0,TwoHandedSword,vlandia_2hsword_1_t5,,,,True,False,False,False,False,140.0,140.0,140.0,30.0,5.0,120.0,140.0,140.0,1,,370.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,S,casterly_guardian,Guardian of the Rock,vlandia,31.0,5.0,main_or_minor_line,Infantry,Skirmishers,44.7173,defensive_role_score,,44.71729139313265,66.53495365161244,60.93598769864692,44.720069470614256,0.0,75.72463768115942,30.46153846153846,209.0,61.8,0.0,0.0,OneHandedSword,vlandia_sword_4_t4,,,western_javelin_2_t3,True,False,False,False,True,240.0,240.0,250.0,15.0,45.0,180.0,150.0,240.0,1,,400.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
5,S,stark_houseguard,Stark House Guard,battania,26.0,5.0,main_or_minor_line,Infantry,Defensive Troops,44.716,defensive_role_score,,44.715962499634564,36.51166261088618,,45.372175708223416,0.0,81.95652173913044,0.0,186.0,61.6,0.0,0.0,TwoHandedPolearm,vlandia_lance_2_t4,,,,True,False,False,False,False,140.0,50.0,140.0,40.0,5.0,20.0,20.0,140.0,2,,420.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
6,S,stark_swornsword,Stark Sworn Sword,battania,31.0,6.0,main_or_minor_line,Infantry,Defensive Troops,44.716,defensive_role_score,,44.715962499634564,72.90745875317894,,45.372175708223416,0.0,81.95652173913044,0.0,204.0,61.6,0.0,0.0,TwoHandedPolearm,bill_hook|northern_halberd,,,,True,False,False,False,False,250.0,240.0,240.0,40.0,5.0,230.0,200.0,250.0,2,,420.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
7,S,mallister_houseguard,Mallister House Guard,river,26.0,5.0,main_or_minor_line,Infantry,Defensive Troops,44.7125,defensive_role_score,,44.71245995856326,36.51114288427777,,45.36807956351482,0.0,81.95652173913044,0.0,197.0,62.05,0.0,0.0,TwoHandedPolearm,northern_spear_3_t4,,,,True,False,False,False,False,130.0,30.0,140.0,5.0,0.0,10.0,5.0,140.0,1,,400.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
8,S,lannister_officer,Lannister Officer,vlandia,26.0,5.0,main_or_minor_line,Infantry,Defensive Troops,44.4987,defensive_role_score,,44.498682618082775,46.29605139434317,,42.110825291235884,0.0,100.0,0.0,178.0,57.25,0.0,0.0,TwoHandedSword,battania_2hsword_3_t3,,,,True,False,False,False,False,130.0,130.0,140.0,70.0,20.0,15.0,15.0,140.0,1,,400.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
9,S,grafton_flameknight,Grafton Flaming Knight,vale,31.0,6.0,main_or_minor_line,Infantry,Defensive Troops,44.2676,defensive_role_score,,44.267637242506076,72.84093374730176,,44.84786918552258,0.0,81.95652173913044,0.0,206.0,61.599999999999994,0.0,0.0,TwoHandedPolearm,grafton_spear,,,,True,False,False,False,False,230.0,250.0,240.0,5.0,0.0,10.0,220.0,250.0,1,,380.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,S,stark_pikeman,Stark Pikeman,battania,26.0,5.0,main_or_minor_line,Infantry,Defensive Troops,43.8278,defensive_role_score,,43.827833481678724,36.046512575790565,,45.372175708223416,0.0,75.72463768115942,0.0,186.0,61.6,0.0,0.0,OneHandedAxe|OneHandedSword,northern_axe|northern_sword,,,,True,False,False,False,False,130.0,50.0,150.0,40.0,5.0,20.0,20.0,140.0,2,,420.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
