rank,tier,troop_id,troop_name,culture,level,tree_tier,line_status,default_group,primary_category,role_score,role_score_column,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,ranged_damage,throw_damage,crafted_melee_template,crafted_melee_item,ranged_item_scored,direct_throw_item,crafted_throw_item,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,roster_count,spectacle_reason,shield_hp,shield_armor,horse_charge,horse_speed,horse_maneuver,horse_extra_health,harness_armor,ammo_stack,ammo_thrust,ranged_base_damage,ranged_speed_rating,ranged_accuracy,ranged_missile_speed,thrown_damage,thrown_stack,thrown_speed_rating,ranged_item_audit,ranged_class,thrown_item_audit
1,S,mounted_kingsguard,Captain of the Kingsguard,crownlands,31.0,5.0,main_or_minor_line,Cavalry,Defensive Troops,71.9017,defensive_role_score,,71.90169999993076,100.0,,65.82471777562958,0.0,100.0,0.0,211.0,65.0,0.0,0.0,TwoHandedSword,vlandia_2hsword_1_t5,,,,True,True,False,False,False,270.0,270.0,270.0,30.0,5.0,220.0,250.0,270.0,1,,370.0,1.0,32.0,64.0,68.0,60.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2,S,mallister_knight,Mallister Eagle Knight,river,31.0,6.0,main_or_minor_line,Cavalry,Defensive Troops,71.3739,defensive_role_score,,71.37391934479213,77.5723332720888,,68.21473629020366,0.0,81.95652173913044,0.0,208.0,64.25,0.0,0.0,TwoHandedPolearm,sturgia_lance_2_t5,,,,True,True,False,False,False,230.0,230.0,240.0,5.0,0.0,10.0,240.0,230.0,1,,400.0,9.0,30.0,58.0,58.0,40.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,S,queensguard_captain,Captain of the Queen's Guard,valyrian,31.0,5.0,main_or_minor_line,Cavalry,Defensive Troops,69.9715,defensive_role_score,,69.97150189983708,70.74681725766236,,66.57463994888012,0.0,81.95652173913044,0.0,204.0,63.15,0.0,0.0,TwoHandedPolearm,khuzait_lance_3_t5,,,,True,True,False,False,False,210.0,200.0,220.0,5.0,0.0,190.0,220.0,220.0,1,,400.0,7.0,30.0,58.0,58.0,40.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,S,stark_cavalry,Stark Cavalry,battania,26.0,5.0,main_or_minor_line,Cavalry,Defensive Troops,69.922,defensive_role_score,,69.9220460199101,44.26980879628407,,66.00068815231104,0.0,81.95652173913044,0.0,186.0,61.6,0.0,0.0,TwoHandedPolearm,vlandia_lance_2_t4,,,,True,True,False,False,False,130.0,50.0,140.0,40.0,5.0,20.0,130.0,130.0,2,,420.0,9.0,22.0,55.0,66.0,70.0,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
5,S,targaryen_dragonknight,Valyrian Cavalry,valyrian,26.0,5.0,main_or_minor_line,Cavalry,Skirmishers,69.8739,defensive_role_score,,69.87394373739406,47.35665664189208,72.10979595005175,64.7682401323874,0.0,81.95652173913044,30.46153846153846,184.0,60.00000000000001,0.0,0.0,TwoHandedPolearm,khuzait_lance_3_t5,,,western_javelin_2_t3,True,True,False,False,True,140.0,10.0,150.0,5.0,0.0,140.0,150.0,140.0,1,,400.0,7.0,30.0,58.0,58.0,40.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
6,S,targ_queensguard,Targaryen Queen's Guard,valyrian,26.0,4.0,main_or_minor_line,Cavalry,Defensive Troops,69.6773,defensive_role_score,,69.6772884498465,44.233490300888,,66.23056379335769,0.0,81.95652173913044,0.0,198.0,62.550000000000004,0.0,0.0,TwoHandedPolearm,khuzait_lance_3_t5,,,,True,True,False,False,False,140.0,130.0,140.0,5.0,0.0,100.0,140.0,160.0,1,,400.0,7.0,30.0,58.0,58.0,40.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
7,S,arryn_moonknight,Arryn Winged Knight,vale,31.0,6.0,main_or_minor_line,Cavalry,Defensive Troops,68.7624,defensive_role_score,,68.76242472201868,80.49353385306262,,65.1606507954713,0.0,81.95652173913044,0.0,221.0,66.65,0.0,0.0,TwoHandedPolearm,vlandia_lance_3_t5,,,,True,True,False,False,False,230.0,220.0,250.0,5.0,0.0,10.0,250.0,220.0,2,,370.0,1.0,28.0,61.0,66.0,20.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
8,S,dondarion_boltknight,Dondarrion Boltknight,stormlands,31.0,6.0,main_or_minor_line,Cavalry,Defensive Troops,68.4084,defensive_role_score,,68.40838787053002,77.13229114727552,,64.74661248832597,0.0,81.95652173913044,0.0,195.0,59.6,0.0,0.0,TwoHandedPolearm,vlandia_lance_3_t5,,,,True,True,False,False,False,240.0,220.0,230.0,5.0,0.0,220.0,230.0,220.0,1,,300.0,10.0,27.0,62.0,71.0,40.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
9,S,magister_guard,Magister Guard Elite,pentoshi,31.0,5.0,main_or_minor_line,Cavalry,Skirmishers,68.2116,defensive_role_score,,68.21163774494734,70.27095557499707,89.58804931468201,62.82420985368571,0.0,81.95652173913044,30.46153846153846,197.0,60.25,0.0,0.0,TwoHandedPolearm,pentoshi_spear,,,western_javelin_3_t4,True,True,False,False,True,210.0,45.0,220.0,45.0,15.0,210.0,220.0,220.0,1,,400.0,9.0,19.0,59.0,69.0,40.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,S,lannister_prideknight,Lannister Prideknight,vlandia,31.0,6.0,main_or_minor_line,Cavalry,Defensive Troops,68.0042,defensive_role_score,,68.00419463090012,77.07231469666438,,64.2739173889535,0.0,81.95652173913044,0.0,178.0,57.25,0.0,0.0,TwoHandedPolearm,vlandia_lance_3_t5,,,,True,True,False,False,False,230.0,220.0,240.0,15.0,5.0,200.0,240.0,230.0,1,,400.0,8.0,32.0,64.0,68.0,60.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
