rank,tier,troop_id,troop_name,culture,level,tree_tier,line_status,default_group,primary_category,role_score,role_score_column,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,ranged_damage,throw_damage,crafted_melee_template,crafted_melee_item,ranged_item_scored,direct_throw_item,crafted_throw_item,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,roster_count,spectacle_reason,shield_hp,shield_armor,horse_charge,horse_speed,horse_maneuver,horse_extra_health,harness_armor,ammo_stack,ammo_thrust,ranged_base_damage,ranged_speed_rating,ranged_accuracy,ranged_missile_speed,thrown_damage,thrown_stack,thrown_speed_rating,ranged_item_audit,ranged_class,thrown_item_audit
1,S,mountains_man,Mountain's Man,vlandia,31.0,6.0,main_or_minor_line,Infantry,Offensive Melee,88.8542,offensive_melee_role_score,,,88.85417656041525,,27.526092441793782,0.0,100.0,0.0,161.0,48.0,0.0,0.0,TwoHandedSword,western_2hsword_t4,,,,False,False,False,False,False,220.0,250.0,220.0,5.0,0.0,220.0,5.0,240.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2,A,umber_berzerker,Umber Berzerker,battania,31.0,6.0,main_or_minor_line,Infantry,Skirmishers,70.7341,offensive_melee_role_score,,,70.73406602210682,63.09834337711047,28.242917765798822,0.0,81.95652173913044,30.46153846153846,160.0,49.24999999999999,0.0,0.0,TwoHandedPolearm,northern_spear_4_t5,,,northern_javelin_2_t3,False,False,False,False,True,220.0,250.0,220.0,5.0,0.0,220.0,5.0,240.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,B,cerwyn_marauder,Cerwyn Marauder,battania,31.0,6.0,main_or_minor_line,Infantry,Offensive Melee,61.6051,offensive_melee_role_score,,,61.605130971264416,,24.888175249455216,0.0,73.33333333333331,0.0,147.0,43.400000000000006,0.0,0.0,TwoHandedAxe,northern_twoh_axe,,,,False,False,False,False,False,220.0,250.0,220.0,40.0,5.0,240.0,180.0,240.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,B,lyseni_enforcer,Lyseni Enforcer,lyseni,31.0,5.0,main_or_minor_line,Infantry,Offensive Melee,56.779,offensive_melee_role_score,,,56.779039771463104,,33.51875215047597,0.0,73.33333333333331,0.0,190.0,58.45,0.0,0.0,TwoHandedAxe,aserai_2haxe_2_t4,,,,False,False,False,False,False,220.0,230.0,220.0,45.0,15.0,230.0,150.0,230.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
5,B,sadistic_wight,Sadistic Wight,whitewalker,31.0,6.0,main_or_minor_line,Infantry,Offensive Melee,51.8212,offensive_melee_role_score,,,51.821152833455734,,17.77726803532515,0.0,73.33333333333331,0.0,127.0,31.0,0.0,0.0,TwoHandedAxe,northern_axe_t3,,,,False,False,False,False,False,210.0,220.0,210.0,5.0,0.0,220.0,5.0,220.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
6,B,qohorik_falxman,Qohorik Falxman,qohorik,26.0,5.0,main_or_minor_line,Infantry,Offensive Melee,49.0466,offensive_melee_role_score,,,49.04656745054932,,31.97040945062507,0.0,100.0,0.0,180.0,55.75,0.0,0.0,TwoHandedSword,battania_2hsword_4_t4,,,,False,False,False,False,False,130.0,150.0,140.0,45.0,15.0,110.0,60.0,140.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
7,B,yiti_pikeman,Yi Ti Shi,yiti,26.0,5.0,main_or_minor_line,Infantry,Skirmishers,48.781,offensive_melee_role_score,,,48.78098715364898,53.691259510324066,29.877279504530332,0.0,100.0,28.769230769230774,177.0,52.1,0.0,0.0,TwoHandedSword,yiti_sword,,,empire_throwingknife_t5,False,False,False,False,True,140.0,150.0,140.0,20.0,15.0,150.0,5.0,150.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
8,C,tyroshi_renegade,Tyroshi Renegade,tyroshi,26.0,5.0,main_or_minor_line,Infantry,Offensive Melee,32.687,offensive_melee_role_score,,,32.68695345553388,,30.307374698933362,0.0,73.33333333333331,0.0,169.0,52.85,0.0,0.0,TwoHandedAxe,avalanche_2haxe,,,,False,False,False,False,False,140.0,150.0,130.0,45.0,15.0,140.0,60.0,140.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
9,C,reach_axeman,Reach Axeman,reach,26.0,5.0,main_or_minor_line,Infantry,Offensive Melee,30.7785,offensive_melee_role_score,,,30.77853318774091,,26.2644798715449,0.0,81.95652173913044,0.0,156.0,45.8,0.0,0.0,TwoHandedPolearm,western_spear_1_t2,,,,False,False,False,False,False,110.0,130.0,110.0,5.0,0.0,100.0,5.0,130.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,C,lyseni_executioner,Lyseni Executioner,lyseni,26.0,4.0,main_or_minor_line,Infantry,Offensive Melee,29.9374,offensive_melee_role_score,,,29.937384876684163,,31.97040945062507,0.0,73.33333333333331,0.0,176.0,55.75,0.0,0.0,TwoHandedAxe,aserai_2haxe_2_t4,,,,False,False,False,False,False,130.0,140.0,130.0,45.0,50.0,140.0,100.0,140.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
