rank,tier,troop_id,troop_name,culture,level,tree_tier,line_status,default_group,primary_category,role_score,role_score_column,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,ranged_damage,throw_damage,crafted_melee_template,crafted_melee_item,ranged_item_scored,direct_throw_item,crafted_throw_item,has_shield,has_horse,has_bow,has_crossbow,has_throwing,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,roster_count,spectacle_reason,shield_hp,shield_armor,horse_charge,horse_speed,horse_maneuver,horse_extra_health,harness_armor,ammo_stack,ammo_thrust,ranged_base_damage,ranged_speed_rating,ranged_accuracy,ranged_missile_speed,thrown_damage,thrown_stack,thrown_speed_rating,ranged_item_audit,ranged_class,thrown_item_audit
1,S,ghiscari_unsullied_unbroken,Ghiscari Lockstep Legionnaire,ghiscari,31.0,5.0,main_or_minor_line,Infantry,Skirmishers,71.0058,skirmisher_role_score,,35.08646673058114,85.05620349760841,71.00577887589115,29.411138236691627,0.0,100.0,30.46153846153846,144.0,43.550000000000004,0.0,0.0,TwoHandedSword,ghiscari_sword,,,eastern_javelin_2_t3,True,False,False,False,True,220.0,240.0,230.0,30.0,5.0,220.0,50.0,230.0,1,,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2,S,tarly_vanguard,Tarly Vanguard,reach,31.0,6.0,main_or_minor_line,Infantry,Skirmishers,68.4311,skirmisher_role_score,,47.79731061351824,69.84125444845719,68.43108666868059,47.28343682925631,0.0,81.95652173913044,30.46153846153846,176.0,56.75000000000001,0.0,0.0,TwoHandedPolearm,ranseur,,,western_javelin_3_t4,True,False,False,False,True,240.0,220.0,230.0,5.0,0.0,230.0,150.0,240.0,1,,470.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
3,S,celtigar_banneret,Celtigar Banneret,dragonstone,31.0,6.0,main_or_minor_line,Infantry,Skirmishers,67.5665,skirmisher_role_score,,45.157795662174244,69.44958847635525,67.56654072931926,44.19658217685514,0.0,81.95652173913044,30.46153846153846,198.0,61.949999999999996,0.0,0.0,TwoHandedPolearm,crownlands_halberd,,,northern_javelin_3_t4,True,False,False,False,True,230.0,210.0,240.0,5.0,0.0,230.0,5.0,240.0,1,,315.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
4,S,ibbenese_navigator,Ibbenese Navigator,ibbenese,31.0,5.0,main_or_minor_line,Infantry,Skirmishers,66.6981,skirmisher_role_score,,42.5063720711878,72.36486417399313,66.69809423768372,41.09580063244474,0.0,81.95652173913044,30.46153846153846,187.0,54.599999999999994,0.0,0.0,TwoHandedPolearm,ibb_glaive,,,northern_javelin_1_t2,True,False,False,False,True,240.0,210.0,250.0,80.0,5.0,230.0,50.0,250.0,1,,400.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
5,S,glover_bushranger,Glover Bushranger,battania,31.0,6.0,main_or_minor_line,Infantry,Skirmishers,66.1752,skirmisher_role_score,,40.90991385088182,68.81926404566887,66.17519078869103,39.22877787426474,0.0,81.95652173913044,30.46153846153846,165.0,52.75000000000001,0.0,0.0,TwoHandedPolearm,highland_spear_4_t4,,,northern_javelin_3_t4,True,False,False,False,True,240.0,220.0,220.0,40.0,5.0,240.0,180.0,240.0,1,,300.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
6,S,unsullied,Unsullied,ghiscari,31.0,0.0,special_or_unlinked,Infantry,Skirmishers,64.9789,skirmisher_role_score,,37.257464021713155,72.5786145006841,64.97886846177224,34.95731817213638,0.0,81.95652173913044,30.46153846153846,162.0,48.650000000000006,0.0,0.0,TwoHandedPolearm,unsullied_spear,,,eastern_javelin_2_t3,True,False,False,False,True,270.0,50.0,270.0,30.0,5.0,270.0,50.0,270.0,1,,500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
7,A,bolton_flayer,Bolton Flayer,battania,31.0,6.0,main_or_minor_line,Infantry,Skirmishers,63.1266,skirmisher_role_score,,42.80915770605605,69.11301352474533,63.126631099979896,41.214179214523284,0.0,81.95652173913044,28.769230769230774,207.0,62.075,0.0,0.0,TwoHandedPolearm,bolton_spear,,,celtic_throwing_dagger,True,False,False,False,True,240.0,210.0,230.0,30.0,5.0,230.0,220.0,230.0,2,,390.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
8,A,umber_berzerker,Umber Berzerker,battania,31.0,6.0,main_or_minor_line,Infantry,Skirmishers,63.0983,skirmisher_role_score,,,70.73406602210682,63.09834337711047,28.242917765798822,0.0,81.95652173913044,30.46153846153846,160.0,49.24999999999999,0.0,0.0,TwoHandedPolearm,northern_spear_4_t5,,,northern_javelin_2_t3,False,False,False,False,True,220.0,250.0,220.0,5.0,0.0,220.0,5.0,240.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
9,A,tyroshi_corsair,Tyroshi Corsair,tyroshi,31.0,5.0,main_or_minor_line,Infantry,Skirmishers,62.0158,skirmisher_role_score,,38.042502426827646,57.260410556177575,62.01583188319145,37.31260137958153,0.0,73.33333333333331,30.46153846153846,179.0,55.5,0.0,0.0,OneHandedAxe,tyroshi_axe3,,,generic_javelin_1_t3,True,False,False,False,True,230.0,220.0,220.0,45.0,15.0,230.0,150.0,230.0,1,,380.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,A,casterly_guardian,Guardian of the Rock,vlandia,31.0,5.0,main_or_minor_line,Infantry,Skirmishers,60.936,skirmisher_role_score,,44.71729139313265,66.53495365161244,60.93598769864692,44.720069470614256,0.0,75.72463768115942,30.46153846153846,209.0,61.8,0.0,0.0,OneHandedSword,vlandia_sword_4_t4,,,western_javelin_2_t3,True,False,False,False,True,240.0,240.0,250.0,15.0,45.0,180.0,150.0,240.0,1,,400.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
11,A,yiti_pikeman,Yi Ti Shi,yiti,26.0,5.0,main_or_minor_line,Infantry,Skirmishers,53.6913,skirmisher_role_score,,,48.78098715364898,53.691259510324066,29.877279504530332,0.0,100.0,28.769230769230774,177.0,52.1,0.0,0.0,TwoHandedSword,yiti_sword,,,empire_throwingknife_t5,False,False,False,False,True,140.0,150.0,140.0,20.0,15.0,150.0,5.0,150.0,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
12,B,ghiscari_unsullied_unbent,Ghiscari Elite Legionnaire,ghiscari,26.0,4.0,main_or_minor_line,Infantry,Skirmishers,49.5171,skirmisher_role_score,,35.08646673058114,44.68469101761161,49.517145730854295,29.411138236691627,0.0,100.0,30.46153846153846,144.0,43.550000000000004,0.0,0.0,TwoHandedSword,ghiscari_sword,,,eastern_javelin_1_t2,True,False,False,False,True,130.0,130.0,140.0,30.0,5.0,130.0,50.0,130.0,1,,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
13,B,qohorik_goat_devout,Black Goat Devout,qohorik,26.0,4.0,main_or_minor_line,Infantry,Skirmishers,48.5687,skirmisher_role_score,,42.18063575155539,35.92073345711771,48.5686780875154,40.71485917454493,0.0,81.95652173913044,30.46153846153846,183.0,53.25000000000001,0.0,0.0,TwoHandedPolearm,qohorik_spear,,,eastern_javelin_1_t2,True,False,False,False,True,140.0,30.0,140.0,40.0,10.0,140.0,120.0,140.0,1,,430.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
14,B,glover_warrior,Glover Warrior,battania,26.0,5.0,main_or_minor_line,Infantry,Skirmishers,48.1525,skirmisher_role_score,,40.90991385088182,32.42346790337611,48.15246621543431,39.22877787426474,0.0,81.95652173913044,30.46153846153846,165.0,52.75000000000001,0.0,0.0,TwoHandedPolearm,highland_spear_3_t3,,,northern_javelin_3_t4,True,False,False,False,True,130.0,120.0,130.0,40.0,5.0,140.0,20.0,140.0,1,,300.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
15,B,martell_houseguard,Martell House Guard,aserai,26.0,5.0,main_or_minor_line,Infantry,Skirmishers,44.9754,skirmisher_role_score,,41.79185369263927,35.86304380358358,44.97542795619558,40.26018711189029,0.0,81.95652173913044,30.46153846153846,170.0,53.6,0.0,0.0,TwoHandedPolearm,southern_spear_3_t3,,,eastern_javelin_2_t3,True,False,False,False,True,140.0,60.0,130.0,100.0,20.0,130.0,110.0,130.0,1,,380.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
