troop_id,troop_name,culture,level,tree_tier,line_status,default_group,has_bow,has_crossbow,ranged_score_base,ranged_damage,ranged_item_scored,ranged_base_damage,ranged_accuracy,ranged_missile_speed,ranged_speed_rating,ammo_stack,armor_total,effective_armor,unscorable_reason
crownlands_militia_veteran_archer,City Watch Veteran Crossbowman,crownlands,21.0,0.0,special_or_unlinked,Ranged,False,True,75.30795072788354,79.0,crossbow_e,77.0,85.0,65.0,75.0,40.0,119.0,36.45,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
crownlands_militia_archer,City Watch Crossbowman,crownlands,11.0,0.0,special_or_unlinked,Ranged,False,True,68.02911534154535,69.0,crossbow_a,67.0,80.0,60.0,70.0,40.0,89.0,30.450000000000003,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
qartheen_militia_archer,Qartheen Militia Archer,qartheen,11.0,0.0,special_or_unlinked,Ranged,True,False,65.95744680851064,51.0,composite_bow,51.0,94.0,77.0,90.0,54.0,12.0,3.125,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
qartheen_militia_veteran_archer,Qartheen Militia Veteran Archer,qartheen,16.0,0.0,special_or_unlinked,Ranged,True,False,65.95744680851064,51.0,composite_bow,51.0,94.0,77.0,90.0,54.0,43.5,13.5375,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
ghiscari_militia_veteran_archer,Ghiscari Militia Veteran Archer,ghiscari,16.0,0.0,special_or_unlinked,Ranged,True,False,65.62150055991042,52.0,steppe_heavy_bow,52.0,91.0,76.0,87.0,54.0,61.0,21.8,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
lyseni_militia_veteran_archer,Lyseni Militia Veteran Archer,lyseni,16.0,0.0,special_or_unlinked,Ranged,True,False,65.62150055991042,52.0,steppe_heavy_bow,52.0,91.0,76.0,87.0,54.0,61.0,21.8,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
myrish_militia_veteran_archer,Myrish Militia Veteran Archer,myrish,16.0,0.0,special_or_unlinked,Ranged,True,False,65.62150055991042,52.0,steppe_heavy_bow,52.0,91.0,76.0,87.0,54.0,61.0,21.8,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
norvos_militia_veteran_archer,Norvoshi Militia Veteran Archer,norvos,16.0,0.0,special_or_unlinked,Ranged,True,False,65.62150055991042,52.0,steppe_heavy_bow,52.0,91.0,76.0,87.0,54.0,69.0,22.2,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
pentoshi_militia_veteran_archer,Pentoshi Militia Veteran Archer,pentoshi,16.0,0.0,special_or_unlinked,Ranged,True,False,65.62150055991042,52.0,steppe_heavy_bow,52.0,91.0,76.0,87.0,54.0,69.0,22.2,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
qohorik_militia_veteran_archer,Qohorik Militia Veteran Archer,qohorik,16.0,0.0,special_or_unlinked,Ranged,True,False,65.62150055991042,52.0,steppe_heavy_bow,52.0,91.0,76.0,87.0,54.0,67.0,21.95,blank troop skills (skill_template unmapped) -> NaN ranged_skill_factor
