troop_id,troop_name,level,upgrade_depth,line_status,culture,default_group,has_bow,has_crossbow,has_ranged,has_shield,has_horse,has_throwing,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,ranged_damage,throw_damage,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item,primary_category,score_status,evidence_basis,empirical
golden_elite_pikeman,Golden Company Mahout,31.0,5.0,main_or_minor_line,volantine,Cavalry,False,False,False,True,True,True,,100.0,85.90662917034273,100.0,100.0,0.0,81.95652173913044,30.46153846153846,149.0,49.10000000000001,0.0,0.0,,golden_company_spear,TwoHandedPolearm,,eastern_javelin_3_t4,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
yiti_samurai,Yi Ti Mounted Shi,31.0,6.0,main_or_minor_line,yiti,Cavalry,False,False,False,False,True,True,,48.184478554170276,98.39261033455675,90.76361066781007,53.15632526665902,0.0,100.0,28.769230769230774,198.0,59.95000000000001,0.0,0.0,,yiti_sword,TwoHandedSword,,empire_throwingknife_t5,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
magister_guard,Magister Guard Elite,31.0,5.0,main_or_minor_line,pentoshi,Cavalry,False,False,False,True,True,True,,68.21163774494734,70.27095557499707,89.58804931468201,62.82420985368571,0.0,81.95652173913044,30.46153846153846,197.0,60.25,0.0,0.0,,pentoshi_spear,TwoHandedPolearm,,western_javelin_3_t4,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
dayne_starfall_knights,Knights of Starfall,31.0,6.0,main_or_minor_line,aserai,Cavalry,False,False,False,True,True,True,,66.36593870200647,76.6144979218433,88.98350960103306,60.66570543804172,0.0,81.95652173913044,30.46153846153846,197.0,59.95000000000001,0.0,0.0,,vlandia_lance_2_t4,TwoHandedPolearm,,western_javelin_2_t3,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
realm_paladin,Realm Paladin,31.0,5.0,main_or_minor_line,crownlands,Cavalry,False,False,False,True,True,True,,65.70802138717042,73.20816373551008,88.76801556009671,59.896285615978236,0.0,81.95652173913044,30.46153846153846,194.0,58.55,0.0,0.0,,baratheon_spear,TwoHandedPolearm,,western_javelin_3_t4,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
qohorik_goat_sacrificer,Black Goat Sacrificer,31.0,5.0,main_or_minor_line,qohorik,Cavalry,False,False,False,True,True,True,,65.1153914379037,69.81151725315773,88.57390572339297,59.20321793128309,0.0,81.95652173913044,30.46153846153846,183.0,53.25000000000001,0.0,0.0,,qohorik_spear,TwoHandedPolearm,,eastern_javelin_2_t3,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
dragonstone_steel_curtain,Queen's Man,31.0,5.0,main_or_minor_line,dragonstone,Cavalry,False,False,False,True,True,True,,64.54587825970766,73.0357184468378,88.38736754698617,58.537184801664665,0.0,81.95652173913044,30.46153846153846,177.0,55.1,0.0,0.0,,baratheon_spear,TwoHandedPolearm,,western_javelin_3_t4,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
garden_sentinel,Water Gardens Sentinel,31.0,6.0,main_or_minor_line,aserai,Cavalry,False,False,False,True,True,True,,61.56871834908879,75.90265956989302,87.41222947843902,55.05546179935445,0.0,81.95652173913044,30.46153846153846,170.0,53.6,0.0,0.0,,southern_spear_3_t3,TwoHandedPolearm,,eastern_javelin_3_t4,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
skagosi_stoneborn_champion,Skagosi Stoneborn Champion,31.0,6.0,main_or_minor_line,skagosi,Cavalry,False,False,False,True,True,True,,61.14421037124523,69.2222512245362,87.27318626207676,54.55900906067209,0.0,81.95652173913044,30.46153846153846,184.0,54.49999999999999,0.0,0.0,,skagosi_spear,TwoHandedPolearm,,generic_javelin_1_t3,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
boneway_guardian,Boneway Guardian,31.0,6.0,main_or_minor_line,aserai,Cavalry,False,False,False,True,True,True,,61.04908135574828,75.82555293026849,87.24202773273355,54.447757770386495,0.0,81.95652173913044,30.46153846153846,168.0,51.849999999999994,0.0,0.0,,vlandia_lance_2_t4,TwoHandedPolearm,,western_javelin_2_t3,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
