operator_tier_label,level,body_zone_rank,body_zone_percentile,body_zone_band_median,body_zone_band_size,troop_id,troop_name,culture,default_group,tree_tier,roster_count,body_slot_armor,body_zone_armor,arm_zone_armor,head_zone_armor,leg_zone_armor,shield_hp,shield_armor,body_item_ids,evidence_basis,empirical
T2,11,1,100,22.50,114,lannister_levy,Lannister Levy,vlandia,Infantry,2,1,42,42,6,32,20,305,1,lannister_light_armor,xml_structural,false
T2,11,2,99.12,22.50,114,grafton_levy,Grafton Levy,vale,Infantry,2,1,36,36,10,36,22,280,8,grafton_armor,xml_structural,false
T2,11,2,99.12,22.50,114,westerling_levy,Westerling Levy,vlandia,Infantry,2,1,36,36,10,36,22,280,8,westerling_armor,xml_structural,false
T2,11,2,99.12,22.50,114,celtigar_levy,Celtigar Levy,dragonstone,Infantry,2,1,36,36,8,36,29,0,0,celtigar_armor,xml_structural,false
T2,11,2,99.12,22.50,114,dayne_levy,Dayne Levy,aserai,Infantry,2,1,36,36,8,34,20,305,1,dayne_armor3,xml_structural,false
T2,11,6,95.61,22.50,114,tarth_militia,Tarth Militia,stormlands,Infantry,2,1,34,34,9,27,18,220,1,tarth_armor,xml_structural,false
T2,11,7,94.74,22.50,114,golden_recruit,Golden Company Recruit,volantine,Infantry,1,2,32,32,8,37,29,0,0,golden_company_armor3,xml_structural,false
T2,11,7,94.74,22.50,114,tarly_footman,Tarly Footman,reach,Infantry,2,1,32,32,8,19,14,0,0,tarly_light_armor,xml_structural,false
T2,11,9,92.98,22.50,114,stark_levy,Stark Levy,battania,Infantry,2,1,29,29,8,19,24,215,1,north_leather,xml_structural,false
T2,11,10,92.11,22.50,114,freehouses_levy,Karstark Levy,battania,Infantry,2,1,28,28,20,0,20,205,10,dragonstone_gambeson,xml_structural,false
T2,11,10,92.11,22.50,114,umber_levy,Umber Levy,battania,Infantry,2,1,28,28,20,0,20,305,1,west_gambeson,xml_structural,false
