troop_id,troop_name,level,upgrade_depth,line_status,culture,default_group,has_bow,has_crossbow,has_ranged,has_shield,has_horse,has_throwing,ranged_role_score,defensive_role_score,offensive_melee_role_score,skirmisher_role_score,defense_score_base,ranged_score_base,crafted_melee_score_base,throw_score_base,armor_total,effective_armor,ranged_damage,throw_damage,ranged_item,crafted_melee_item,crafted_melee_template,direct_throw_item,crafted_throw_item,primary_category,score_status,evidence_basis,empirical
anti_imperial_conspiracy_boss,Conspiracy Commander,31.0,,special_or_unlinked,sturgia,Infantry,False,False,False,True,False,False,,52.785228447628434,71.71407344698468,,31.24429199213504,0.0,73.33333333333331,0.0,71.5,22.525000000000002,0.0,0.0,,sturgia_axe_4_t4,OneHandedAxe,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
aserai_faris,Aserai Faris,21.0,3.0,noble_line,aserai,Cavalry,False,False,False,True,True,True,,62.78935038234022,37.510737448767905,76.80562585723378,48.99771858760158,0.0,81.95652173913044,30.46153846153846,96.66666666666667,32.93333333333334,0.0,0.0,,southern_spear_3_t4,TwoHandedPolearm,,eastern_javelin_3_t4,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
aserai_footman,Aserai Footman,16.0,3.0,main_or_minor_line,aserai,Infantry,False,False,False,True,False,False,,40.25397316926059,13.33973528973162,,29.37184156898139,0.0,81.95652173913044,0.0,76.66666666666667,20.533333333333335,0.0,0.0,,southern_spear_3_t3|southern_spear_4_t3,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
aserai_infantry,Aserai Infantry,21.0,4.0,main_or_minor_line,aserai,Infantry,False,False,False,True,False,True,,49.17847704437088,26.362200447111498,47.05752243278779,40.40732344124378,0.0,81.95652173913044,30.46153846153846,114.0,34.1,0.0,0.0,,southern_spear_3_t3|southern_spear_4_t3,TwoHandedPolearm,,eastern_javelin_2_t3,Skirmishers,role_scores_v1_conservative_not_final,xml_structural,false
aserai_mameluke_axeman,Aserai Mamluke Axeman,16.0,3.0,main_or_minor_line,aserai,Infantry,False,False,False,False,False,False,,,12.462347208096379,,19.460949167839612,0.0,73.33333333333331,0.0,69.33333333333333,20.7,0.0,0.0,,aserai_2haxe_1_t3,TwoHandedAxe,,,Offensive Melee,role_scores_v1_conservative_not_final,xml_structural,false
aserai_mameluke_cavalry,Aserai Mamluke Cavalry,21.0,4.0,main_or_minor_line,aserai,HorseArcher,True,False,True,True,True,False,43.9067366279246,73.92001087181417,33.27644550968099,,67.04961803354429,68.52914527333132,75.72463768115942,0.0,139.0,34.050000000000004,56.0,0.0,steppe_heavy_bow,aserai_sword_3_t3,OneHandedSword,,,Ranged Troops,role_scores_v1_conservative_not_final,xml_structural,false
aserai_mameluke_guard,Aserai Mamluke Guard,21.0,4.0,main_or_minor_line,aserai,Infantry,False,False,False,False,False,False,,,24.59241902697885,,32.52892952692031,0.0,73.33333333333331,0.0,139.0,34.6,0.0,0.0,,aserai_2haxe_2_t4|southern_throwing_axe_1_t4,ThrowingAxe|TwoHandedAxe,,,Offensive Melee,role_scores_v1_conservative_not_final,xml_structural,false
aserai_mameluke_heavy_cavalry,Aserai Mamluke Heavy Cavalry,26.0,5.0,main_or_minor_line,aserai,HorseArcher,True,False,True,True,True,False,56.18177995300651,74.87511407627046,44.136248324303544,,68.29436666630852,69.34460887949261,75.72463768115942,0.0,161.0,36.949999999999996,56.0,0.0,composite_steppe_bow,aserai_sword_4_t4,OneHandedSword,,,Ranged Troops,role_scores_v1_conservative_not_final,xml_structural,false
aserai_mameluke_regular,Aserai Mamluke Regular,16.0,3.0,main_or_minor_line,aserai,Cavalry,False,False,False,True,True,False,,47.807546534039155,19.470795548314978,,31.039475239333417,0.0,81.95652173913044,0.0,59.333333333333336,15.049999999999999,0.0,0.0,,southern_spear_3_t3,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
aserai_mameluke_soldier,Aserai Mamluke Soldier,11.0,2.0,main_or_minor_line,aserai,Infantry,False,False,False,True,False,False,,33.292684707777795,6.222492656273085,,21.39629959923069,0.0,81.95652173913044,0.0,49.0,12.050000000000002,0.0,0.0,,eastern_spear_1_t2,TwoHandedPolearm,,,Defensive Troops,role_scores_v1_conservative_not_final,xml_structural,false
