rank,tier,troop_name,troop_id,ranged_role_score,ranged_score_base,ranged_damage,ranged_item,Crossbow,ranged_skill_factor,armor_total,has_shield,culture,level,n_rosters,line_status
1,S,[Iron Hills] Veteran Sharpshooter,iron_hills_noble_veteran_sharpshooter,57.88,100.0,138.0,sm_dwarf_iron_crossbow_heavy_b,45.0,0.93,210.0,False,erebor,31.0,1,main_or_minor_line
2,S,[Ironpass] Sharpshooter,ironpass_sharpshooter,57.64,80.0,110.4,sm_dwarf_iron_crossbow_heavy_b,40.0,0.93,204.6,False,erebor,31.0,5,main_or_minor_line
3,S,[Gondor] Tolfalas Sharpshooter,gondor_tol_sharpshooter,57.59,82.36,103.0,crossbow_f,50.0,1.11,157.0,False,gondor,36.0,1,main_or_minor_line
4,A,[Rhûn] Sagarûn Storm Marked Arbalest,sagarun_storm_marked_arbalest,51.52,76.42,96.0,crossbow_d,235.0,1.07,203.0,False,khuzait,36.0,2,main_or_minor_line
5,A,[Dale] Dalian Royal Crossbowman,dale_master_crossbowman,50.66,77.79,102.0,crossbow_f,217.0,0.99,203.0,True,sturgia,31.0,2,main_or_minor_line
6,A,[Isengard] Uruk-Hai Veteran Crossbowman,urukhai_veterancrossbowman,45.71,79.95,105.0,wm_isengard_crossbow_a01,205.0,0.93,192.0,False,isengard,31.0,1,main_or_minor_line
7,A,[Ironpass] Veteran Arbalest,ironpass_veteran_arbalest,45.22,77.87,106.4,sm_dwarf_iron_crossbow_heavy_a|sm_dwarf_iron_crossbow_heavy_b,170.0,0.77,202.4,False,erebor,26.0,5,main_or_minor_line
8,A,[Dunland] Draig-lûth Sharpshooter,dunland_dragon_sniper,44.41,74.14,96.0,crossbow_d,40.0,0.93,160.0,True,empire,31.0,1,main_or_minor_line
9,A,[Iron Hills] Sharpshooter,iron_hills_noble_sharpshooter,43.58,94.67,128.0,sm_dwarf_iron_crossbow_heavy_a,40.0,0.77,191.0,False,erebor,26.0,1,main_or_minor_line
10,B,[Rhûn] Sagarûn Arbalest,sagarun_arbalest,39.91,74.82,94.0,crossbow_c,195.0,0.89,160.5,False,khuzait,31.0,2,main_or_minor_line
11,B,[Gondor] Lond-Galen Pavise Crossbowman,gondor_lg_pavise_crossbowman,39.67,71.07,82.0,crossbow_e,205.0,0.93,157.0,False,gondor,31.0,1,main_or_minor_line
12,B,[Gondor] Tolfalas Marksman,gondor_tol_marksman,39.67,71.07,82.0,crossbow_e,40.0,0.93,157.0,False,gondor,31.0,1,main_or_minor_line
13,B,[Mordor] Black Uruk Heavy Crossbow,mordor_uruk_heavy_crossbow,38.86,72.03,93.0,crossbow_c,205.0,0.93,180.0,False,mordor,31.0,1,main_or_minor_line
14,B,[Dunland] Draig-lûth Firebolt,dunland_dragon_firebolt,38.39,79.31,105.0,crossbow_f,35.0,0.77,121.0,True,empire,26.0,1,main_or_minor_line
15,B,[Umbar] Beruthiel's Rangers,umbar_elite_root101,36.58,66.9,86.4,crossbow_f,35.0,0.77,91.2,False,umbar,26.0,5,main_or_minor_line
16,B,[Isengard] Uruk-Hai Crossbowman,urukhai_crossbowman,36.31,79.95,105.0,wm_isengard_crossbow_a01,170.0,0.77,167.0,False,isengard,26.0,1,main_or_minor_line
17,B,[Gondor] Lond-Galen Crossbowman,gondor_lg_crossbowman,35.86,79.21,98.0,crossbow_d,170.0,0.77,144.0,False,gondor,26.0,1,main_or_minor_line
18,B,[Gondor] Tolfalas Veteran Crossbowman,gondor_tol_vet_crossbowman,35.86,79.21,98.0,crossbow_d,170.0,0.77,144.0,False,gondor,26.0,1,main_or_minor_line
19,B,[Dale] Dalian Master Crossbowman,dale_royal_crossbowman,35.59,66.5,81.0,crossbow_e,182.0,0.83,197.0,True,sturgia,26.0,2,main_or_minor_line
20,B,[Ironpass] Arbalest,ironpass_arbalest,32.08,75.74,102.4,sm_dwarf_iron_crossbow_heavy_a,130.0,0.59,189.2,False,erebor,21.0,5,main_or_minor_line
21,B,[Iron Hills] Scout,iron_hills_noble_scout,31.89,94.67,128.0,sm_dwarf_iron_crossbow_heavy_a,35.0,0.59,198.0,False,erebor,21.0,1,main_or_minor_line
22,C,[Dale] Dalian Veteran Crossbowman,dale_veteran_crossbowman,30.26,74.64,97.0,crossbow_d,142.0,0.65,162.0,True,sturgia,21.0,2,main_or_minor_line
23,C,[Mordor] Black Uruk Crossbow,mordor_uruk_crossbow,28.66,67.39,84.0,crossbow_b,170.0,0.77,165.0,False,mordor,26.0,1,main_or_minor_line
24,C,[Isengard] Uruk-Hai Arbalest,urukhai_arbalest,25.9,79.95,105.0,wm_isengard_crossbow_a01,130.0,0.59,158.0,False,isengard,21.0,1,main_or_minor_line
25,C,[Gondor] Tolfalas Crossbowman,gondor_tol_crossbowman,23.98,76.09,93.0,crossbow_c,130.0,0.59,124.0,False,gondor,21.0,1,main_or_minor_line
26,C,[Rhûn] Sagarûn Crossbowman,sagarun_crossbowman,23.7,61.68,69.0,crossbow_a,160.0,0.73,93.5,False,khuzait,26.0,2,main_or_minor_line
27,C,[Dunland] Draig-lûth Crossbowman,dunland_dragon_crossbowman,22.28,64.97,78.0,crossbow_e,130.0,0.59,109.0,True,empire,21.0,1,main_or_minor_line
28,D,[Isengard] Militia Veteran Archer,isengard_militia_veteran_archer,20.0,34.07,43.0,crossbow_b,40.0,0.59,82.5,False,isengard,16.0,2,main_or_minor_line
29,D,[Isengard] Militia Archer,isengard_militia_archer,16.05,47.31,55.2,crossbow_a,40.0,0.59,77.6,False,isengard,11.0,5,main_or_minor_line
30,D,[Dale] Dalian Crossbowman,dale_crossbowman,15.02,71.27,91.0,crossbow_c,97.0,0.44,158.0,False,sturgia,16.0,2,main_or_minor_line
31,D,[Isengard] Uruk-Hai Skirmisher,urukhai_skirmisher,14.45,79.95,105.0,wm_isengard_crossbow_a01,35.0,0.39,143.0,False,isengard,16.0,1,main_or_minor_line
32,D,[Gondor] Tolfalas Arbalest,gondor_tol_arbalest,12.16,72.21,86.0,crossbow_b,85.0,0.39,102.0,False,gondor,16.0,1,main_or_minor_line
