rank,tier,troop_name,troop_id,defensive_role_score,defense_score_base,armor_total,effective_armor,armor_audit_sum,shield_armor,shield_hp,OneHanded,Athletics,culture,level,n_rosters,line_status
1,S,[Rivendell] Battlemaster of the First Age,battlemaster_of_the_first_age,69.22,69.26,350.6,81.26,248.0,9.0,600.0,345.0,195.0,rivendell,41.0,10,main_or_minor_line
2,S,[Rivendell] Imladris Warden,imladris_warden,68.3,67.02,354.5,77.93,249.5,9.0,600.0,345.0,195.0,rivendell,41.0,6,main_or_minor_line
3,S,[Rivendell] Imladris Nobleman,imladris_nobleman,66.62,65.88,337.63,76.23,238.8,9.0,600.0,305.0,175.0,rivendell,36.0,19,main_or_minor_line
4,S,[Erebor] Royal Warden,erebor_noble_royal_warden,63.07,60.21,273.25,78.28,225.3,1.0,450.0,340.0,185.0,erebor,46.0,4,main_or_minor_line
5,S,[Rhûn] Darkhûn Ironbound,darkhun_ironbound,62.8,59.85,229.0,62.0,166.0,15.0,600.0,270.0,145.0,khuzait,36.0,1,main_or_minor_line
6,S,[Erebor] Gate Warden,erebor_noble_gate_warden,62.56,59.54,271.75,78.43,226.3,1.0,400.0,320.0,170.0,erebor,41.0,4,main_or_minor_line
7,A,[Rivendell] Imladris Swordguard,imladris_swordguard,61.95,59.78,304.17,67.17,209.7,9.0,600.0,280.0,155.0,rivendell,31.0,23,main_or_minor_line
8,A,[Dol Guldur] Khamûl's Shadow-Guard,dg_khamul_shadow_guard,61.91,60.67,253.67,67.52,182.0,14.0,450.0,345.0,187.0,dolguldur,46.0,3,main_or_minor_line
9,A,[Rivendell] Imladris Guardsman,imladris_guardsman,61.59,58.28,275.25,64.94,228.3,9.0,600.0,305.0,175.0,rivendell,36.0,8,main_or_minor_line
10,A,[Rhûn] Dragon-Wrath Obsidian Shieldmaster,dragon_wrath_obsidian_shieldmaster,60.9,57.38,232.0,60.55,167.7,13.3,566.7,345.0,180.0,khuzait,46.0,3,main_or_minor_line
11,A,[Erebor] Royal Legionary,erebor_oathsworn_royal_legionary,60.32,56.62,253.5,72.95,212.8,1.0,450.0,340.0,185.0,erebor,46.0,4,main_or_minor_line
12,A,[Rhûn] Loke-Rim Gilded Shieldguard,loke_rim_gilded_shieldguard,59.96,56.16,234.33,60.82,170.0,14.0,450.0,285.0,145.0,khuzait,36.0,3,main_or_minor_line
13,A,[Iron Hills] Gate Warden,iron_hills_noble_gate_warden,59.85,56.0,254.0,67.0,173.0,1.0,670.0,325.0,170.0,erebor,41.0,1,main_or_minor_line
14,A,[Erebor] Legionary,erebor_oathsworn_legionary,59.68,55.78,257.5,72.27,210.5,1.0,425.0,320.0,170.0,erebor,41.0,4,main_or_minor_line
15,A,[Iron Hills] Shield-Guard,iron_hills_noble_shield_guard,59.64,55.73,263.0,70.25,171.0,1.0,510.0,300.0,150.0,erebor,36.0,1,main_or_minor_line
16,A,[Ironpass] Veteran Axeman,ironpass_veteran_axeman,59.28,44.8,211.6,54.7,140.4,0.8,488.0,225.0,130.0,erebor,31.0,5,main_or_minor_line
17,A,[Ironpass] Mountain Guard,ironpass_mountain_guard,59.26,44.79,211.0,54.72,140.8,0.8,486.0,280.0,150.0,erebor,36.0,5,main_or_minor_line
18,A,[Erebor] Shield-Guard,erebor_noble_shield_guard,59.13,55.07,252.5,70.65,205.0,1.0,450.0,295.0,150.0,erebor,36.0,4,main_or_minor_line
19,A,[Dale] Dalian Royal Swordsman,dale_running_river_warden,58.77,47.32,198.0,59.0,170.0,7.0,225.0,250.0,125.0,sturgia,31.0,2,main_or_minor_line
20,A,[Erebor] Oathsworn,erebor_oathsworn,58.69,54.49,256.25,70.92,205.8,1.0,400.0,280.0,150.0,erebor,36.0,4,main_or_minor_line
21,A,[Iron Hills] Guard,iron_hills_noble_guard,58.29,53.98,253.0,67.65,166.0,1.0,510.0,245.0,130.0,erebor,31.0,1,main_or_minor_line
22,A,[Ironpass] Axeman,ironpass_axeman,58.08,43.55,205.6,52.88,137.4,0.8,486.0,170.0,110.0,erebor,26.0,5,main_or_minor_line
23,A,[Dol Guldur] Khamûl's Veiled Guard,dg_khamul_veiled_guard,56.99,54.25,217.0,57.98,152.0,14.0,450.0,325.0,172.0,dolguldur,41.0,3,main_or_minor_line
24,A,[Rhûn] Dragon-Wrath Infantry,dragon_wrath_infantry,56.95,52.22,206.5,54.98,148.0,14.0,450.0,270.0,145.0,khuzait,36.0,2,main_or_minor_line
