rank,tier,troop_name,troop_id,shock_cav_index,horse_charge,horse_speed,horse_maneuver,horse_hp,mount,has_lance,Polearm,Riding,armor_total,effective_armor,defensive_role_score,offensive_melee_role_score,culture,level,n_rosters,line_status
1,S,[Rohan] West Emnet Heavy Shock Cavalry,rohan_westemnet_kings_own_rider,88.84,32.0,68.0,78.0,60.0,noble_horse_southern|t3_vlandia_horse,True,310.0,290.0,173.0,55.15,77.07,82.2,vlandia,36.0,1,main_or_minor_line
2,S,[Gondor] Swan Knight,gondor_da_swan_knight,85.41,31.0,62.0,71.0,30.0,noble_horse_imperial,True,375.0,365.0,157.0,48.85,65.96,80.58,gondor,46.0,2,main_or_minor_line
3,S,[Rivendell] Imladris Outrider,imladris_outrider,85.18,32.0,49.0,68.0,60.0,t3_vlandia_horse,True,380.0,350.0,259.0,62.5,81.3,83.12,rivendell,41.0,8,main_or_minor_line
4,S,[Gondor] Dol Amroth Veteran Knight,gondor_da_vet_knight,84.04,31.0,62.0,71.0,30.0,noble_horse_imperial,True,345.0,325.0,157.0,48.85,65.41,80.48,gondor,41.0,1,main_or_minor_line
5,S,[Rivendell] High Captain,rivendell_high_captain,82.25,24.0,68.0,78.0,30.0,noble_horse_southern,True,440.0,430.0,337.29,78.73,89.49,84.48,rivendell,51.0,7,main_or_minor_line
6,S,[Rivendell] Rochannon Elenath,rivendell_glorfindel_guard,82.25,24.0,68.0,78.0,30.0,noble_horse_southern,True,440.0,430.0,205.0,51.2,80.48,82.98,rivendell,51.0,32,main_or_minor_line
7,S,[Gondor] Dol Amroth Knight,gondor_da_knight,82.23,31.0,62.0,71.0,30.0,noble_horse_imperial,True,305.0,275.0,157.0,48.85,65.03,80.42,gondor,36.0,1,main_or_minor_line
8,S,[Rivendell] Nõldorin Lancer,noldorin_lancer,81.57,24.0,68.0,78.0,30.0,noble_horse_southern,True,425.0,390.0,338.58,77.27,93.94,85.22,rivendell,46.0,12,main_or_minor_line
9,S,[Rivendell] Royal Knight,rivendell_royal_knight,80.89,24.0,68.0,78.0,30.0,noble_horse_southern,True,410.0,390.0,338.67,72.38,86.21,83.94,rivendell,46.0,6,main_or_minor_line
10,S,[Mirkwood] Mirkwood Béleglas,mirkwood_beleglas,80.43,24.0,68.0,78.0,30.0,noble_horse_southern,True,400.0,365.0,246.0,66.85,83.15,83.43,mirkwood,46.0,1,main_or_minor_line
