rank,tier,troop_name,troop_id,offensive_melee_role_score,crafted_melee_score_base,melee_skill_factor,crafted_melee_template,armor_total,effective_armor,armor_audit_sum,TwoHanded,OneHanded,Polearm,Athletics,culture,level,n_rosters,line_status
1,S,[Rivendell] Imladris Blademaster,imladris_blademaster,93.09,100.0,1.15,TwoHandedSword,325.82,72.3,235.6,330.0,360.0,335.0,195.0,rivendell,41.0,11,main_or_minor_line
2,S,[Isengard] Uruk-Hai Nazg-hai,urukhai_nazg_hai,92.4,100.0,1.15,TwoHandedSword,225.0,64.2,189.0,265.0,280.0,290.0,150.0,isengard,36.0,1,main_or_minor_line
3,S,[Gondor] Calembel Heavy Swordsman,gondor_cal_heavy_swordsman,91.08,100.0,1.15,TwoHandedSword,157.0,48.85,131.0,215.0,255.0,225.0,125.0,gondor,31.0,1,main_or_minor_line
4,S,[Gondor] Calembel Sergeant,gondor_cal_sergeant,91.08,100.0,1.15,TwoHandedSword,157.0,48.85,131.0,255.0,280.0,280.0,145.0,gondor,36.0,1,main_or_minor_line
5,S,[Gondor] Calembel Vale-Knight,gondor_cal_vale_knight,91.08,100.0,1.15,TwoHandedSword,157.0,48.85,131.0,295.0,320.0,315.0,165.0,gondor,41.0,1,main_or_minor_line
6,S,[Isengard] Uruk-Hai Berserker,urukhai_berserker,88.69,100.0,1.14,TwoHandedSword,176.0,35.1,136.0,225.0,240.0,250.0,130.0,isengard,31.0,1,main_or_minor_line
7,S,[Gondor] Lamedon Hill-Warden,gondor_lam_hill_warden,85.95,100.0,1.09,TwoHandedSword,165.0,50.45,139.0,215.0,240.0,240.0,125.0,gondor,31.0,1,main_or_minor_line
8,A,[Dale] Lake-Town Hearthguard,dale_lake_town_hearthguard,73.43,81.96,1.15,TwoHandedPolearm,201.0,58.75,169.0,222.0,235.0,260.0,125.0,sturgia,31.0,2,main_or_minor_line
9,A,[Mirkwood] Glaivesman of Amon,mirkwood_glaivesman,72.51,81.96,1.15,TwoHandedPolearm,196.0,47.95,146.0,340.0,355.0,375.0,220.0,mirkwood,46.0,1,main_or_minor_line
10,A,[Mirkwood] Greenwood Woodsman,mirkwood_woodsman,72.51,81.96,1.15,TwoHandedPolearm,196.0,47.95,146.0,320.0,350.0,340.0,205.0,mirkwood,41.0,1,main_or_minor_line
11,B,[Gondor] Lamedon Veteran Swordman,gondor_lam_vet_swordman,69.57,100.0,0.91,TwoHandedSword,149.0,48.45,123.0,160.0,200.0,160.0,105.0,gondor,26.0,1,main_or_minor_line
12,B,[Isengard] Uruk-Hai Veteran Pikeman,urukhai_veteranpikeman,67.41,75.72,1.15,OneHandedSword,220.0,63.0,184.0,225.0,225.0,265.0,130.0,isengard,31.0,1,main_or_minor_line
