rank,tier,troop_name,troop_id,skirmisher_role_score,throw_score_base,throw_damage,direct_throw_item,crafted_throw_item,Throwing,throw_skill_factor,armor_total,culture,level,n_rosters,line_status
1,S,[Rohan] Riders of Rohan,rohan_edoras_golden_hall_supreme_rider,67.98,30.46,0.0,,eastern_javelin_3_t4,72.0,0.45,201.4,vlandia,41.0,5,main_or_minor_line
2,S,[Rohan] West Emnet Heavy Shock Cavalry,rohan_westemnet_kings_own_rider,63.4,30.46,0.0,,northern_javelin_3_t4,62.0,0.39,173.0,vlandia,36.0,1,main_or_minor_line
3,S,[Dunland] Caru-lûth Noble Lancer,dunland_stag_noble_lancer,63.25,30.46,0.0,,northern_javelin_3_t4,65.0,0.41,173.0,empire,31.0,1,main_or_minor_line
4,A,[Rohan] King's Royal Guard,rohan_edoras_golden_hall_kings_own_rider,61.1,30.46,0.0,,eastern_javelin_3_t4,62.0,0.39,193.8,vlandia,36.0,5,main_or_minor_line
5,A,[Dunland] Avanc-lûth Noble Cavalry,dunland_lizard_noble_cavalry,58.08,30.46,0.0,,northern_javelin_3_t4,65.0,0.41,173.0,empire,31.0,1,main_or_minor_line
6,A,[Dunland] Caru-lûth Rider,dunland_stag_rider,57.36,30.46,0.0,,northern_javelin_3_t4,55.0,0.34,147.0,empire,26.0,1,main_or_minor_line
7,A,[Rohan] King's Knight,rohan_edoras_golden_hall_eorlingas_rider,55.57,30.46,0.0,,eastern_javelin_3_t4,52.0,0.33,175.4,vlandia,31.0,5,main_or_minor_line
8,A,[Rohan] West Emnet Shock Cavalry,rohan_westemnet_royal_rider,54.98,30.46,0.0,,northern_javelin_3_t4,52.0,0.33,169.0,vlandia,31.0,1,main_or_minor_line
9,A,[Umbar] Naru n'Aru Royal Guard,umbar_elite_root0000,52.2,11.51,2.0,throwing_stone,,80.0,0.5,156.0,umbar,31.0,5,main_or_minor_line
10,B,[Dunland] Avanc-lûth Outrider,dunland_lizard_outrider,50.82,30.46,0.0,,northern_javelin_3_t4,55.0,0.34,152.0,empire,26.0,1,main_or_minor_line
11,B,[Harad] Fang of the King,harad_fangking,50.56,30.46,0.0,,eastern_javelin_3_t4,50.0,0.31,169.0,aserai,31.0,1,main_or_minor_line
12,B,[Dunland] Caru-lûth Lancer,dunland_stag_lancer,46.76,30.46,0.0,,northern_javelin_3_t4,45.0,0.28,129.0,empire,21.0,1,main_or_minor_line
13,B,[Harad] Serpent Guard,harad_serpentguard,46.68,30.46,0.0,,eastern_javelin_3_t4,40.0,0.25,183.0,aserai,26.0,1,main_or_minor_line
14,B,[Rohan] West Emnet Medium Cavalry,rohan_westemnet_eorlingas_rider,46.22,30.46,0.0,,northern_javelin_3_t4,42.0,0.26,122.0,vlandia,26.0,1,main_or_minor_line
15,B,[Gondor] Pinnath Gelin Veteran Horseman,gondor_pg_vet_cavalry,46.06,30.46,0.0,,western_javelin_3_t4,40.0,0.25,152.0,gondor,31.0,1,main_or_minor_line
16,B,[Harad] Initiate of the Sand Blades,harad_sandblade,45.78,30.46,0.0,,eastern_javelin_3_t4,30.0,0.25,169.0,aserai,16.0,1,main_or_minor_line
17,B,[Harad] Warrior of the Gilded Fang,harad_gildedfang,45.78,30.46,0.0,,eastern_javelin_3_t4,30.0,0.25,169.0,aserai,21.0,1,main_or_minor_line
