rank,tier,troop_id,troop_name,culture,tree_tier,level,line_status_corrected,n_rosters,defensive_role_score,defense_score_base,effective_armor,armor_total,shield_hp,shield_armor,melee_template,OneHanded,Polearm
1,S,vlandian_sergeant,Vlandian Sergeant,vlandia,5.0,26.0,main_or_minor_line,3,62.15783361952738,67.79375060746268,47.70000000000001,173.0,500.0,15.666666666666666,TwoHandedPolearm,130.0,130.0
2,S,sturgian_shock_troop,Sturgian Heavy Spearman,sturgia,,26.0,special_or_unlinked,3,61.01478943307608,65.68207283683692,52.06666666666666,195.33333333333337,546.6666666666666,7.0,TwoHandedPolearm,140.0,140.0
3,S,nord_huscarl,Nord Huscarl,nord,5.0,31.0,main_or_minor_line,3,58.45982589358782,63.07067106057023,49.13333333333335,143.33333333333334,633.3333333333334,5.0,TwoHandedPolearm,200.0,200.0
4,S,aserai_veteran_infantry,Aserai Veteran Infantry,aserai,5.0,26.0,main_or_minor_line,3,56.85102077642676,60.566549483679665,56.3,181.0,360.0,1.0,TwoHandedPolearm,160.0,130.0
5,A,nord_berserkr,Nord Berserkir,nord,5.0,26.0,main_or_minor_line,3,55.1205759683147,65.06727477118143,53.95000000000001,167.33333333333334,513.3333333333334,5.0,TwoHandedAxe,140.0,40.0
6,A,imperial_conspiracy_boss,Conspiracy Commander,vlandia,,31.0,special_or_unlinked,2,54.538404985750915,31.758377483261537,30.475,110.0,200.0,0.5,OneHandedSword|TwoHandedPolearm,240.0,240.0
7,A,imperial_legionary,Imperial Legionary,empire,,26.0,special_or_unlinked,3,54.05780686190207,59.68630169392684,51.5,194.0,530.0,1.0,TwoHandedPolearm,130.0,130.0
8,A,battanian_oathsworn,Battanian Oathsworn,battania,5.0,26.0,main_or_minor_line,3,53.88894806163087,58.22380666824379,52.26666666666667,175.33333333333334,430.0,1.0,TwoHandedPolearm,130.0,130.0
9,A,sturgian_veteran_warrior,Sturgian Heavy Axeman,sturgia,,26.0,special_or_unlinked,3,53.31768354695744,63.49291492221729,49.18333333333334,181.66666666666663,573.3333333333334,7.0,OneHandedAxe,130.0,80.0
10,A,khuzait_darkhan,Khuzait Darkhan,khuzait,5.0,26.0,main_or_minor_line,3,52.47313196704915,57.976236977375805,54.06666666666667,180.66666666666663,340.0,1.0,TwoHandedPolearm,130.0,130.0
11,A,nord_jarlsmann,Nord Hearthguard,nord,3.0,21.0,main_or_minor_line,3,50.73778306580038,54.63496307543907,44.866666666666674,146.66666666666666,436.6666666666667,5.0,TwoHandedPolearm,110.0,110.0
12,A,nord_hirdmann,Nord Shield-Companion,nord,4.0,26.0,main_or_minor_line,3,48.113977092355384,53.09682175532413,41.516666666666666,122.0,513.3333333333334,5.0,TwoHandedPolearm,140.0,140.0
13,A,conspiracy_veteran_fighter,Conspiracy Veteran Fighter,empire,,26.0,special_or_unlinked,3,47.94381937823593,49.94076665914789,42.650000000000006,174.0,371.6666666666667,3.6666666666666665,TwoHandedPolearm,130.0,130.0
14,A,guard_battania,Guard,battania,,4.0,special_or_unlinked,2,46.93975897354631,37.194595278570915,34.75,99.0,260.0,0.5,TwoHandedPolearm,50.0,50.0
15,A,conspiracy_guardian,Conspiracy Guardian,aserai,,26.0,special_or_unlinked,1,45.47848089427622,50.60186942624349,45.95,171.0,360.0,1.0,TwoHandedPolearm,70.0,150.0
16,B,nord_boandi,Nord Shield Biters,nord,4.0,21.0,main_or_minor_line,3,43.46931874960099,52.97074459793765,43.1,146.66666666666666,438.3333333333333,5.0,OneHandedAxe,110.0,75.0
17,B,huskarl_swordsman,Huscarl Swordsman,sturgia,,26.0,special_or_unlinked,2,42.65859747473103,40.21907166867473,30.800000000000004,98.5,320.0,7.0,OneHandedSword,,
18,B,legion_of_the_betrayed_tier_3,Triarii,empire,3.0,21.0,main_or_minor_line,2,42.60138672042438,47.55538684139585,38.9,159.0,530.0,1.0,TwoHandedPolearm,100.0,100.0
19,B,nord_thegn,Nord War-Proven,nord,2.0,16.0,main_or_minor_line,3,41.0011248593926,45.42537057515025,39.0,130.66666666666666,313.3333333333333,4.0,TwoHandedPolearm,60.0,60.0
20,B,khuzait_spear_infantry,Khuzait Spear Infantry,khuzait,4.0,21.0,main_or_minor_line,3,39.32162925361813,39.75006464319706,31.25,107.0,510.0,1.0,TwoHandedPolearm,100.0,100.0
21,B,anti_imperial_conspiracy_boss,Conspiracy Commander,sturgia,,31.0,special_or_unlinked,2,37.52808680775075,29.589391913823743,22.525,71.5,430.0,1.0,OneHandedAxe,240.0,240.0
22,B,confident_contender_easy,Confident Contender,aserai,,16.0,special_or_unlinked,2,36.886165788167936,35.89141593358531,34.425,86.5,215.0,0.5,OneHandedAxe|TwoHandedPolearm,,
23,B,confident_contender,Confident Contender,aserai,,16.0,special_or_unlinked,2,36.886165788167936,35.89141593358531,34.425,86.5,215.0,0.5,OneHandedAxe|TwoHandedPolearm,90.0,90.0
24,B,confident_contender_normal,Confident Contender,aserai,,16.0,special_or_unlinked,2,36.886165788167936,35.89141593358531,34.425,86.5,215.0,0.5,OneHandedAxe|TwoHandedPolearm,,
25,B,confident_contender_hard,Confident Contender,aserai,,16.0,special_or_unlinked,2,36.886165788167936,35.89141593358531,34.425,86.5,215.0,0.5,OneHandedAxe|TwoHandedPolearm,,
26,B,confident_contender_very_hard,Confident Contender,aserai,,16.0,special_or_unlinked,2,36.886165788167936,35.89141593358531,34.425,86.5,215.0,0.5,OneHandedAxe|TwoHandedPolearm,,
27,B,battanian_picked_warrior,Battanian Picked Warrior,battania,4.0,21.0,main_or_minor_line,3,36.425051372042695,39.619402861905634,33.400000000000006,118.0,410.0,1.0,TwoHandedPolearm,110.0,110.0
28,B,aserai_infantry,Aserai Infantry,aserai,4.0,21.0,main_or_minor_line,3,36.094377481549934,38.972970891305906,34.1,114.0,350.0,1.0,TwoHandedPolearm,100.0,100.0
29,B,sturgia_marine_t5,Sturgian Reaver,sturgia,3.0,26.0,main_or_minor_line,3,36.07330329772183,42.12948444987264,35.550000000000004,126.0,430.0,1.0,ThrowingAxe,60.0,60.0
30,B,conspiracy_fighter,Conspiracy Fighter,empire,,16.0,special_or_unlinked,3,35.56987546407633,42.44719888648655,34.86666666666667,103.66666666666669,371.6666666666667,3.6666666666666665,OneHandedSword,90.0,40.0
31,B,varyag,Varyag,sturgia,2.0,16.0,noble_line,3,34.01062810671656,37.00020722500051,31.75,114.66666666666669,273.3333333333333,3.3333333333333335,OneHandedAxe,100.0,30.0
32,B,nord_spear_warrior,Nord Spear Warrior,nord,3.0,16.0,main_or_minor_line,3,32.182048970650754,30.644543105550884,23.8,82.0,306.6666666666667,4.0,TwoHandedPolearm,50.0,70.0
33,B,hardy_contender,Hardy Contender,empire,,16.0,special_or_unlinked,2,31.59958642583072,27.74912387837176,24.825000000000003,86.5,265.0,0.5,OneHandedSword|TwoHandedPolearm,90.0,90.0
34,B,hardy_contender_very_hard,Hardy Contender,empire,,16.0,special_or_unlinked,2,31.59958642583072,27.74912387837176,24.825000000000003,86.5,265.0,0.5,OneHandedSword|TwoHandedPolearm,,
35,B,hardy_contender_normal,Hardy Contender,empire,,16.0,special_or_unlinked,2,31.59958642583072,27.74912387837176,24.825000000000003,86.5,265.0,0.5,OneHandedSword|TwoHandedPolearm,,
36,B,hardy_contender_hard,Hardy Contender,empire,,16.0,special_or_unlinked,2,31.59958642583072,27.74912387837176,24.825000000000003,86.5,265.0,0.5,OneHandedSword|TwoHandedPolearm,,
37,B,hardy_contender_easy,Hardy Contender,empire,,16.0,special_or_unlinked,2,31.59958642583072,27.74912387837176,24.825000000000003,86.5,265.0,0.5,OneHandedSword|TwoHandedPolearm,,
38,B,vlandian_militia_veteran_spearman,Vlandian Militia Veteran Spearman,vlandia,,16.0,special_or_unlinked,4,31.33460800078975,23.07383903568855,13.0375,44.75,395.0,5.0,TwoHandedPolearm,,
39,B,nord_militia_veteran_spearman,Nord Militia Veteran Spearman,nord,,16.0,special_or_unlinked,4,31.090412197320596,28.675447138369453,19.85,69.75,390.0,4.0,TwoHandedPolearm,,
