rank,tier,troop_id,troop_name,culture,tree_tier,level,line_status_corrected,n_rosters,shock_cav_index,horse_charge,horse_speed,horse_maneuver,mounted_armor,effective_armor,harness_armor,melee_template,rider_skill,Polearm,Riding,defensive_role_score,offensive_melee_role_score
1,S,imperial_elite_cataphract,Imperial Elite Cataphract,empire,5.0,31.0,noble_line,3,73.50140056022408,28.0,59.0,66.0,92.54999999999998,58.79999999999999,75.0,TwoHandedPolearm,260.0,260.0,200.0,100.0,61.17244782851282
2,S,vlandian_banner_knight,Vlandian Banner Knight,vlandia,5.0,31.0,noble_line,3,73.49213400143677,32.0,49.0,68.0,80.4,51.6,64.0,TwoHandedPolearm,260.0,260.0,200.0,95.27299272348463,60.50435852866278
3,S,vlandian_champion,Vlandian Champion,vlandia,4.0,26.0,noble_line,3,66.73539234054175,32.0,49.0,68.0,76.15,47.35,64.0,TwoHandedPolearm,160.0,160.0,130.0,91.36326204028192,44.296682631954006
4,A,imperial_cataphract,Imperial Cataphract,empire,4.0,26.0,noble_line,1,64.97875706952948,28.0,59.0,66.0,80.7,46.95,75.0,TwoHandedPolearm,160.0,160.0,130.0,88.18637855025628,43.84767933189541
5,A,tutorial_npc_advanced_melee_easy,Training Master,battania,,15.0,special_or_unlinked,2,63.85564914318908,35.0,65.0,65.0,25.025,9.95,33.5,TwoHandedSword,,,,35.1908815303189,
6,A,aserai_vanguard_faris,Aserai Vanguard Faris,aserai,5.0,31.0,noble_line,3,61.1306190520624,20.0,65.0,73.0,85.60000000000001,59.50000000000001,58.0,TwoHandedPolearm,200.0,200.0,170.0,94.84957638422752,51.29691112247811
7,A,vlandian_knight,Vlandian Knight,vlandia,3.0,21.0,noble_line,3,60.18730517743861,32.0,49.0,68.0,60.38333333333333,31.583333333333332,64.0,TwoHandedPolearm,110.0,110.0,100.0,77.27654135611802,33.889024464653374
8,A,druzhinnik_champion,Sturgian Druzhinnik Champion,sturgia,5.0,31.0,noble_line,3,55.88632305696769,22.333333333333332,55.666666666666664,65.66666666666667,79.76666666666668,55.01666666666667,55.0,TwoHandedPolearm,200.0,170.0,170.0,97.58324089396449,51.90915497140092
9,A,tutorial_npc_basic_melee,Training Master,battania,,10.0,special_or_unlinked,2,54.82042889767003,35.0,65.0,65.0,26.525,11.45,33.5,OneHandedSword,,,,51.7321305863431,
10,A,tutorial_npc_mounted_ai,Training Master,battania,,4.0,special_or_unlinked,2,53.50762030051638,35.0,65.0,65.0,20.875,5.800000000000001,33.5,OneHandedSword,,,100.0,46.59492631655348,
