troop_id,troop_name,roster_index,slot,item_id,item_name,family,item_kind,crafting_template,mount_state,source_row,source_reference,swing_damage,swing_speed,thrust_damage,thrust_speed,raw_speed_rating,stack_amount,evidence_grade,eligible_usage_pairs
angry_wight,Angry Wight,0,Item0,sturgia_axe_2_t2,Galloglaich Axe,melee,CraftedItem,OneHandedAxe,dismounted,52231,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=52231,,,,,,,crafted_unvalidated,0
arryn_archer,Arryn Archer,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,49451,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49451,,,,,,,crafted_unvalidated,0
arryn_footman,Arryn Footman,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,49431,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49431,,,,,,,crafted_unvalidated,0
arryn_footman,Arryn Footman,0,Item1,western_spear_1_t2,Simple Commoner Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,49432,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49432,,,,,,,crafted_unvalidated,0
arryn_horseman,Arryn Horseman,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,mounted,49474,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49474,,,,,,,crafted_unvalidated,0
arryn_horseman,Arryn Horseman,0,Item1,vlandia_lance_3_t5,Heavy Knight Lance,melee,CraftedItem,TwoHandedPolearm,mounted,49475,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49475,,,,,,,crafted_unvalidated,0
arryn_houseguard,Arryn House Guard,0,Item0,vlandia_sword_4_t4,Ridged Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,49443,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49443,,,,,,,crafted_unvalidated,0
arryn_houseguard,Arryn House Guard,0,Item1,vlandia_lance_3_t5,Heavy Knight Lance,melee,CraftedItem,TwoHandedPolearm,dismounted,49444,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49444,,,,,,,crafted_unvalidated,0
arryn_knight,Arryn Knight,0,Item0,vlandia_sword_4_t4,Ridged Arming Sword,melee,CraftedItem,OneHandedSword,mounted,49482,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49482,,,,,,,crafted_unvalidated,0
arryn_knight,Arryn Knight,0,Item1,vlandia_lance_3_t5,Heavy Knight Lance,melee,CraftedItem,TwoHandedPolearm,mounted,49483,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49483,,,,,,,crafted_unvalidated,0
arryn_levy,Arryn Levy,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,49426,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49426,,,,,,,crafted_unvalidated,0
arryn_levy,Arryn Levy,0,Item1,western_spear_1_t2,Simple Commoner Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,49427,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49427,,,,,,,crafted_unvalidated,0
arryn_man_at_arms,Arryn Man at Arms,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,49437,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49437,,,,,,,crafted_unvalidated,0
arryn_man_at_arms,Arryn Man at Arms,0,Item1,western_spear_3_t3,Tall Tipped Long Spear,melee,CraftedItem,TwoHandedPolearm,dismounted,49438,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49438,,,,,,,crafted_unvalidated,0
arryn_master_archer,Arryn Master Archer,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,49458,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49458,,,,,,,crafted_unvalidated,0
arryn_moonknight,Arryn Winged Knight,0,Item0,vlandia_sword_4_t4,Ridged Arming Sword,melee,CraftedItem,OneHandedSword,mounted,49491,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49491,,,,,,,crafted_unvalidated,0
arryn_moonknight,Arryn Winged Knight,0,Item1,vlandia_lance_3_t5,Heavy Knight Lance,melee,CraftedItem,TwoHandedPolearm,mounted,49492,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49492,,,,,,,crafted_unvalidated,0
arryn_moonknight,Arryn Winged Knight,1,Item0,vlandia_sword_4_t4,Ridged Arming Sword,melee,CraftedItem,OneHandedSword,mounted,49501,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49501,,,,,,,crafted_unvalidated,0
arryn_moonknight,Arryn Winged Knight,1,Item1,vlandia_lance_3_t5,Heavy Knight Lance,melee,CraftedItem,TwoHandedPolearm,mounted,49502,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49502,,,,,,,crafted_unvalidated,0
arryn_recruit,Arryn Recruit,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,dismounted,49422,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49422,,,,,,,crafted_unvalidated,0
arryn_rider,Arryn Rider,0,Item0,vlandia_sword_1_t2,Iron Arming Sword,melee,CraftedItem,OneHandedSword,mounted,49466,data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv#row=49466,,,,,,,crafted_unvalidated,0
