troop_id,troop_name,level,tree_depth_not_ui_tier,rosters,melee_or_unresolved_slots,complete_usage_pairs,status
angry_wight,Angry Wight,11.0,2,1,1,0,withheld_missing_weapon_pair
arryn_archer,Arryn Archer,21.0,4,1,1,0,withheld_missing_weapon_pair
arryn_footman,Arryn Footman,16.0,3,1,2,0,withheld_missing_weapon_pair
arryn_horseman,Arryn Horseman,21.0,4,1,2,0,withheld_missing_weapon_pair
arryn_houseguard,Arryn House Guard,26.0,5,1,2,0,withheld_missing_weapon_pair
arryn_knight,Arryn Knight,26.0,5,1,2,0,withheld_missing_weapon_pair
arryn_levy,Arryn Levy,11.0,2,1,2,0,withheld_missing_weapon_pair
arryn_man_at_arms,Arryn Man at Arms,21.0,4,1,2,0,withheld_missing_weapon_pair
arryn_master_archer,Arryn Master Archer,26.0,5,1,1,0,withheld_missing_weapon_pair
arryn_moonknight,Arryn Winged Knight,31.0,6,2,4,0,withheld_missing_weapon_pair
arryn_recruit,Arryn Recruit,6.0,1,1,1,0,withheld_missing_weapon_pair
arryn_rider,Arryn Rider,16.0,3,1,2,0,withheld_missing_weapon_pair
baratheon_archer,Baratheon Archer,21.0,4,1,1,0,withheld_missing_weapon_pair
baratheon_bowman,Baratheon Bowman,16.0,3,1,1,0,withheld_missing_weapon_pair
baratheon_footman,Baratheon Footman,11.0,2,1,1,0,withheld_missing_weapon_pair
baratheon_hammer,Baratheon Hammerman,21.0,4,1,1,0,withheld_missing_weapon_pair
baratheon_horseman,Baratheon Horseman,21.0,4,2,4,0,withheld_missing_weapon_pair
baratheon_houseguard,Baratheon House Guard,26.0,5,2,4,0,withheld_missing_weapon_pair
baratheon_knight,Baratheon Knight,26.0,5,2,4,0,withheld_missing_weapon_pair
baratheon_longbowman,Baratheon Longbowman,26.0,5,1,1,0,withheld_missing_weapon_pair
baratheon_pikeknight,Baratheon Hammerknight,31.0,6,2,4,0,withheld_missing_weapon_pair
baratheon_recruit,Baratheon Recruit,6.0,1,1,1,0,withheld_missing_weapon_pair
baratheon_soldier,Baratheon Soldier,16.0,3,2,4,0,withheld_missing_weapon_pair
beastbound_wight,Beastbound Wight,26.0,5,1,3,0,withheld_missing_weapon_pair
blackwood_archer,Blackwood Archer,21.0,4,1,1,0,withheld_missing_weapon_pair
blackwood_bowman,Blackwood Bowman,16.0,3,1,1,0,withheld_missing_weapon_pair
blackwood_footman,Blackwood Footman,16.0,3,1,2,0,withheld_missing_weapon_pair
blackwood_horseman,Blackwood Horseman,26.0,5,1,2,0,withheld_missing_weapon_pair
blackwood_houseguard,Blackwood House Guard,26.0,5,1,2,0,withheld_missing_weapon_pair
blackwood_levy,Blackwood Levy,11.0,2,1,1,0,withheld_missing_weapon_pair
blackwood_longbowman,Blackwood Longbowman,26.0,5,1,1,0,withheld_missing_weapon_pair
blackwood_man_at_arms,Blackwood Man at Arms,21.0,4,1,2,0,withheld_missing_weapon_pair
blackwood_recruit,Blackwood Recruit,6.0,1,1,1,0,withheld_missing_weapon_pair
blackwood_scout,Blackwood Scout,21.0,4,1,2,0,withheld_missing_weapon_pair
bolton_archer,Bolton Archer,16.0,3,1,1,0,withheld_missing_weapon_pair
bolton_elite_archer,Bolton Veteran Archer,21.0,4,1,1,0,withheld_missing_weapon_pair
bolton_flayer,Bolton Flayer,31.0,6,2,4,0,withheld_missing_weapon_pair
bolton_horseman,Bolton Horseman,21.0,4,1,2,0,withheld_missing_weapon_pair
bolton_knight,Bolton Cavalry,26.0,5,1,2,0,withheld_missing_weapon_pair
bolton_levy,Bolton Levy,11.0,2,1,1,0,withheld_missing_weapon_pair
bolton_master_archer,Bolton Hunter,26.0,5,1,1,0,withheld_missing_weapon_pair
bolton_scout,Bolton Footman,16.0,3,1,1,0,withheld_missing_weapon_pair
bolton_veteran,Bolton Veteran,21.0,4,1,2,0,withheld_missing_weapon_pair
bolton_volunteer,Bolton Recruit,6.0,1,4,4,0,withheld_missing_weapon_pair
boneway_guardian,Boneway Guardian,31.0,6,1,2,0,withheld_missing_weapon_pair
bracken_archer,Bracken Archer,21.0,4,1,1,0,withheld_missing_weapon_pair
bracken_elite_archer,Bracken Elite Archer,26.0,5,1,1,0,withheld_missing_weapon_pair
bracken_footman,Bracken Footman,16.0,3,1,2,0,withheld_missing_weapon_pair
bracken_horseman,Bracken Horseman,26.0,5,1,2,0,withheld_missing_weapon_pair
bracken_houseguard,Bracken House Guard,26.0,5,1,2,0,withheld_missing_weapon_pair
bracken_levy,Bracken Levy,11.0,2,1,1,0,withheld_missing_weapon_pair
bracken_man_at_arms,Bracken Man at Arms,21.0,4,1,2,0,withheld_missing_weapon_pair
bracken_master_pikeman,Bracken Pikemaster,31.0,6,1,2,0,withheld_missing_weapon_pair
bracken_recruit,Bracken Recruit,6.0,1,1,1,0,withheld_missing_weapon_pair
bracken_rider,Bracken Rider,21.0,4,1,2,0,withheld_missing_weapon_pair
casterly_champion,Casterly Rock Champion,26.0,4,1,2,0,withheld_missing_weapon_pair
casterly_crossbowman,Casterly Rock Crossbowman,21.0,3,1,1,0,withheld_missing_weapon_pair
casterly_guard,Casterly Rock Guard,11.0,1,1,2,0,withheld_missing_weapon_pair
casterly_guardian,Guardian of the Rock,31.0,5,1,2,0,withheld_missing_weapon_pair
casterly_knight,Casterly Rock Knight,21.0,3,1,2,0,withheld_missing_weapon_pair
casterly_marshal,Casterly Rock Pikeman,21.0,3,1,2,0,withheld_missing_weapon_pair
casterly_master_crossbowman,Casterly Rock Master Crossbowman,26.0,4,1,1,0,withheld_missing_weapon_pair
casterly_pikeman,Casterly Rock Marshal,26.0,4,1,2,0,withheld_missing_weapon_pair
casterly_soldier,Casterly Rock Soldier,16.0,2,1,2,0,withheld_missing_weapon_pair
casterly_squire,Casterly Rock Squire,16.0,2,1,2,0,withheld_missing_weapon_pair
celtigar_archer,Celtigar Archer,21.0,4,1,1,0,withheld_missing_weapon_pair
celtigar_banneret,Celtigar Banneret,31.0,6,1,2,0,withheld_missing_weapon_pair
celtigar_footman,Celtigar Footman,16.0,3,1,2,0,withheld_missing_weapon_pair
celtigar_halberdier,Celtigar Halberdier,26.0,5,1,2,0,withheld_missing_weapon_pair
celtigar_horseman,Celtigar Horseman,21.0,4,1,2,0,withheld_missing_weapon_pair
celtigar_knight,Celtigar Knight,26.0,5,1,2,0,withheld_missing_weapon_pair
celtigar_levy,Celtigar Levy,11.0,2,1,1,0,withheld_missing_weapon_pair
celtigar_man_at_arms,Celtigar Man at Arms,21.0,4,1,2,0,withheld_missing_weapon_pair
celtigar_recruit,Celtigar Recruit,6.0,1,4,4,0,withheld_missing_weapon_pair
celtigar_veteran_archer,Celtigar Veteran Archer,26.0,5,1,1,0,withheld_missing_weapon_pair
cerwyn_archer,Cerwyn Archer,21.0,4,1,1,0,withheld_missing_weapon_pair
cerwyn_axeman,Cerwyn Axeman,21.0,4,1,2,0,withheld_missing_weapon_pair
cerwyn_horseman,Cerwyn Horseman,26.0,5,1,2,0,withheld_missing_weapon_pair
cerwyn_levy,Cerwyn Levy,11.0,2,1,1,0,withheld_missing_weapon_pair
cerwyn_marauder,Cerwyn Marauder,31.0,6,1,1,0,withheld_missing_weapon_pair
cerwyn_master_axeman,Cerwyn Veteran Axeman,26.0,5,1,3,0,withheld_missing_weapon_pair
cerwyn_scout,Cerwyn Scout,21.0,4,1,2,0,withheld_missing_weapon_pair
cerwyn_soldier,Cerwyn Soldier,16.0,3,1,2,0,withheld_missing_weapon_pair
cerwyn_veteran_archer,Cerwyn Veteran Archer,26.0,5,1,1,0,withheld_missing_weapon_pair
cerwyn_volunteer,Cerwyn Recruit,6.0,1,4,4,0,withheld_missing_weapon_pair
clegane_archer,Clegane Archer,21.0,4,1,1,0,withheld_missing_weapon_pair
clegane_elite_archer,Clegane Elite Archer,26.0,5,1,1,0,withheld_missing_weapon_pair
clegane_footman,Clegane Footman,16.0,3,1,1,0,withheld_missing_weapon_pair
clegane_horseman,Clegane Brigand,26.0,5,1,2,0,withheld_missing_weapon_pair
clegane_houseguard,Clegane House Guard,26.0,5,1,2,0,withheld_missing_weapon_pair
clegane_levy,Clegane Levy,11.0,2,1,1,0,withheld_missing_weapon_pair
clegane_man_at_arms,Clegane Man at Arms,21.0,4,2,4,0,withheld_missing_weapon_pair
clegane_recruit,Clegane Recruit,6.0,1,4,4,0,withheld_missing_weapon_pair
clegane_scout,Clegane Scout,21.0,4,1,2,0,withheld_missing_weapon_pair
crownlands_bowman,Crownlands Bowman,11.0,2,1,1,0,withheld_missing_weapon_pair
