item_id,item_name,crafting_template,affected_troops,affected_slots,active_test_weapon,missing_contract,no_skill_fallback
aserai_2haxe_1_t3,Short Handled Tabar,TwoHandedAxe,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
aserai_2haxe_2_t4,Executioner Axe,TwoHandedAxe,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
aserai_mace_2_t2,Fullered Light Mace,Mace,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
aserai_sword_1_t2,Iron Flyssa,OneHandedSword,19,19,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
aserai_sword_2_t2,Iron Scimitar,OneHandedSword,6,6,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
aserai_sword_3_t3,Slightly Ridged Flyssa,OneHandedSword,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
aserai_sword_5_t4,Long Fine Steel Scimitar,OneHandedSword,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
avalanche_2haxe,Avalanche,TwoHandedAxe,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
bamboo_axe_t4,Bamboo Axe,OneHandedAxe,5,5,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
baratheon_spear,Baratheon Hunting Spear,TwoHandedPolearm,7,8,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
battania_2hsword_3_t3,Northlander Wide Fullered Greatsword,TwoHandedSword,8,8,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
battania_2hsword_4_t4,Long Falx,TwoHandedSword,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
battania_axe_1_t2,Highland Hatchet,OneHandedAxe,21,30,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
battania_axe_2_t4,One Handed Bearded Axe,OneHandedAxe,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
battania_mace_1_t2,Knobbed Club,Mace,14,14,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
battania_mace_2_t2,Highland Spiked Club,Mace,8,8,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
battania_sword_1_t2,Ridged Iron Broadsword,OneHandedSword,9,16,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
battle_axe_t4,Battle Axe,OneHandedAxe,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
bearded_axe_t3,Bearded Axe,TwoHandedAxe,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
bill_hook,Northern Billhook,TwoHandedPolearm,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
billhook_polearm_t2,Billhook,TwoHandedPolearm,22,44,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
bolton_spear,Bolton Spear,TwoHandedPolearm,3,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
broad_arming_sword_t4,Broad Arming Sword,OneHandedSword,15,15,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
bronze_axe,Thenn Bronze Axe,TwoHandedAxe,5,5,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
crownlands_halberd,Crownlander Halberd,TwoHandedPolearm,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
dayne_mace,Dayne Mace,Mace,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
dorne_sword,Essosi Sword,OneHandedSword,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
dragonstone_elite_halberd,Dragonstone Elite Halberd,TwoHandedPolearm,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
dragonstone_halberd,Dragonstone Halberd,TwoHandedPolearm,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
eastern_spear_1_t2,Jagged Spear,TwoHandedPolearm,22,34,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
eastern_spear_2_t3,Narrow Long Headed Spear,TwoHandedPolearm,12,24,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
eastern_spear_3_t3,Weighted Steppe Spear,TwoHandedPolearm,4,5,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
eastern_spear_4_t4,Fine Steel Leaf Spear,TwoHandedPolearm,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
eastern_throwing_spear_1_t3,Jagged Throwing Spear,TwoHandedPolearm,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
empire_lance_1_t3,Light Cavalry Lance,TwoHandedPolearm,16,16,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
empire_mace_1_t2,Spiked Club,Mace,5,5,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
empire_mace_4_t5,Light Royal Mace,Mace,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
empire_sword_1_t2,Footman's Spatha,OneHandedSword,12,15,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
empire_sword_2_t3,Spatha With Narrow Fuller,OneHandedSword,6,6,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
empire_sword_3_t3,Spatha,OneHandedSword,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
empire_sword_4_t4,Fine Steel Spatha,OneHandedSword,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
falchion_sword_t2,Falchion,OneHandedSword,5,6,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
fine_pike_t4,Fine Pike,Pike,6,7,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
ghiscari_sword,Ghiscari Sword,TwoHandedSword,6,6,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
giant_club,Giant Club,TwoHandedAxe,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
golden_company_spear,Golden Company Spear,TwoHandedPolearm,5,10,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
golden_company_sword,Golden Company Scimitar,OneHandedSword,10,20,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
grafton_axe,Grafton Axe,TwoHandedAxe,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
grafton_spear,Grafton Spear,TwoHandedPolearm,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
highland_spear_3_t3,Reinforced Highland Spear,TwoHandedPolearm,7,7,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
highland_spear_4_t4,Steel Tipped Hooked Spear,TwoHandedPolearm,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
highland_spear_t2,Highland War Spear,TwoHandedPolearm,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
hooked_axe_t4,Hooked Cavalry Axe,TwoHandedAxe,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
ibb_glaive,Ibbenese Glaive,TwoHandedPolearm,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
ibb_spear,Ibbenese Spear,TwoHandedPolearm,7,7,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
ibb_sword,Ibbenese Sword,OneHandedSword,10,10,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
imperial_axe_t3,Tzikourion,OneHandedAxe,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
imperial_spear_t2,Short Militia Spear,TwoHandedPolearm,3,11,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
imperial_throwing_spear_1_t4,Pilum,TwoHandedPolearm,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
iron_spatha_sword_t2,Iron Spatha,OneHandedSword,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
khuzait_lance_1_t3,Light Steppe Rider Lance,TwoHandedPolearm,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
khuzait_lance_3_t5,Noble Cavalry Lance,TwoHandedPolearm,9,9,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
khuzait_mace_1_t2,Steppe Light Mace,Mace,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
khuzait_polearm_1_t4,Glaive,TwoHandedPolearm,10,10,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
khuzait_sword_1_t2,Iron Saber,OneHandedSword,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
khuzait_sword_2_t3,Straight Saber,OneHandedSword,12,24,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
khuzait_sword_3_t3,Long Saber,OneHandedSword,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
kopesh_sword,Khopesh,OneHandedSword,12,12,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
lannister_sword,Lannister Sword,OneHandedSword,6,6,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
lyseni_spear,Lyseni Spear,TwoHandedPolearm,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
lyseni_sword,Lyseni Sword,OneHandedSword,5,5,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
mallister_hammer,Mallister Hammer,Mace,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
mallister_sword,Mallister Sword,OneHandedSword,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
manderly_spear,Manderly Spear,TwoHandedPolearm,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
manderly_spear2,Manderly Spear 2,TwoHandedPolearm,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
manderly_sword,Manderly Sword,OneHandedSword,9,9,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
marches_warhammer,Marches Warhammer,Mace,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
martell_sword,Martell Sword,OneHandedSword,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
military_fork_t2,Military Fork,TwoHandedPolearm,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
morningstar_mace_t3,Morningstar,Mace,6,6,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
narrow_sword_t3,Narrow Sword,OneHandedSword,12,12,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
nord_battle_axe_4_t3,Leatherbound Hardened Battle Axe,OneHandedAxe,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
nord_battle_axe_5_t3,Leatherbound Nord Battle Axe,OneHandedAxe,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
nord_battle_axe_6_t2,Drengr Long Axe,OneHandedAxe,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
nord_battle_axe_7_t2,Drengr Axe,OneHandedAxe,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
nord_hatchett_1_t2,Nord Hatchett,OneHandedAxe,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
nord_hatchett_2_t2,Leatherbound Nord Hatchett,OneHandedAxe,3,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
nord_hatchett_3_t1,Nord Work Hatchett,OneHandedAxe,2,3,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
nord_spear_1_t2,Knobbed Short Spear,TwoHandedPolearm,2,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
nord_spear_2_t2,Drilled Leaf Short Spear,TwoHandedPolearm,2,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
nord_twohanded_axe_1_t3,Nord Axe,TwoHandedAxe,1,1,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
northern_axe,Northern Axe,OneHandedAxe,4,4,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
northern_axe_t3,Northlander Broad Axe,TwoHandedAxe,5,5,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
northern_battle_axe_t3,Simple Raider Battle Axe,OneHandedAxe,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
northern_halberd,Northern Halberd,TwoHandedPolearm,2,2,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
northern_spear_1_t2,Short Simple Raider Spear,TwoHandedPolearm,28,75,False,"mode-specific damage, speed, damage type, mounted usability, verified version/source",True
