track,file,rows,bytes,sha256,raw_url
vanilla,vanilla_items_catalog.csv,2316,277380,78362875f40c148cbfac92749d44c7828fc370db40ef30b24b427e08d3a8d0a4,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/vanilla/vanilla_items_catalog.csv
vanilla,vanilla_override_report.csv,1937,108075,421a1a6797d13e6e34ccc1f2e2189bf5c6f678fc5329f45ef38f3656e752a0d9,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/vanilla/vanilla_override_report.csv
vanilla,vanilla_tree_tiers.csv,367,55531,07e367ca6d25d6718d9d964b84eec427fa48f45de5a678f39e190fbb6ef49a87,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/vanilla/vanilla_tree_tiers.csv
vanilla,vanilla_troop_equipment_audit.csv,18153,4539729,9483c1f2f25192709f3886619d0c092a443c760e8871fe687047a913b58ab813,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/vanilla/vanilla_troop_equipment_audit.csv
vanilla,vanilla_troops.csv,1937,252750,edaad2f7c33f3e761b2f2b1d4d924c8b3f43e26f8313e94ff44d4733bba60402,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/vanilla/vanilla_troops.csv
vanilla,vanilla_upgrade_edges.csv,218,8259,64cf210793caa5118cf8c5fbab14739451e7ba8128a5ed7deeb0aa8e9d5f3104,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/vanilla/vanilla_upgrade_edges.csv
nightmare_sails,nightmare_sails_items_catalog.csv,2430,326406,4ac8dde2d4a16141de9d5eb9ddc1f69e6bdeee54d1f458037e2159e13411c6f5,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/nightmare_sails/nightmare_sails_items_catalog.csv
nightmare_sails,nightmare_sails_override_report.csv,1989,176022,6a35611b1c77e73764873af8e5c35689e0f9b4d12c807d3f067e568e1c7bd8a7,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/nightmare_sails/nightmare_sails_override_report.csv
nightmare_sails,nightmare_sails_tree_tiers.csv,371,56217,1ec5cb4744d9ca41a806288b79da140271cb5c12b672bb61d398958e765593ba,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/nightmare_sails/nightmare_sails_tree_tiers.csv
nightmare_sails,nightmare_sails_troop_equipment_audit.csv,18736,4705324,f6f100af43b2756713dd6d373fa8387ce041e8c27f9dbf17969121952817adb4,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/nightmare_sails/nightmare_sails_troop_equipment_audit.csv
nightmare_sails,nightmare_sails_troops.csv,1989,259674,8d73376d0371c61ac917cab6fa9654ebf7240753f1a8326dd5eada3cd0c5ed69,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/nightmare_sails/nightmare_sails_troops.csv
nightmare_sails,nightmare_sails_upgrade_edges.csv,241,9193,874acba9d4eac12bdd6cba87ed120c7bc43bc94157b9f409b935350308e37cf6,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/nightmare_sails/nightmare_sails_upgrade_edges.csv
realm_of_thrones,realm_of_thrones_items_catalog.csv,3795,441937,ce58eb55e5c1d448c4cde15bb362dcd2f600b1e8d4271dbb2d1adfd0b43e83b4,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/realm_of_thrones/realm_of_thrones_items_catalog.csv
realm_of_thrones,realm_of_thrones_override_report.csv,6187,349836,8d69270251ca83c05bcfbd2d1e800ea4c1df2bde6c5203122009474e0fba6a62,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/realm_of_thrones/realm_of_thrones_override_report.csv
realm_of_thrones,realm_of_thrones_tree_tiers.csv,1232,212968,ec46e71b1c877c9ec4ed0fa1b4649496f7e9f0ebc8bd247ec035a476a1a9d3ce,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/realm_of_thrones/realm_of_thrones_tree_tiers.csv
realm_of_thrones,realm_of_thrones_troop_equipment_audit.csv,55436,13115265,e08edca636e27df34fbb00fb7d6fc6f83f974846374fb286740460aa540a678f,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/realm_of_thrones/realm_of_thrones_troop_equipment_audit.csv
realm_of_thrones,realm_of_thrones_troops.csv,6187,847329,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,https://raw.githubusercontent.com/andrerferrer/bannerlord-troop-analysis/aferrer/analysis-pack-20260731/analysis_pack/realm_of_thrones/realm_of_thrones_troops.csv
