troop_id,winner_module,defining_modules,overridden_modules,definition_count,change_type
mp_character,Native,Native,,1,inalterado
dummy_no_armor,Native,Native,,1,inalterado
dummy_light_armor,Native,Native,,1,inalterado
dummy_medium_armor,Native,Native,,1,inalterado
dummy_heavy_armor,Native,Native,,1,inalterado
mp_light_infantry_vlandia_hero,Native,Native,,1,inalterado
mp_shock_infantry_vlandia_hero,Native,Native,,1,inalterado
mp_heavy_infantry_vlandia_hero,Native,Native,,1,inalterado
mp_light_ranged_vlandia_hero,Native,Native,,1,inalterado
mp_heavy_ranged_vlandia_hero,Native,Native,,1,inalterado
mp_light_cavalry_vlandia_hero,Native,Native,,1,inalterado
mp_heavy_cavalry_vlandia_hero,Native,Native,,1,inalterado
mp_skirmisher_empire_hero,Native,Native,,1,inalterado
mp_shock_infantry_empire_hero,Native,Native,,1,inalterado
mp_heavy_infantry_empire_hero,Native,Native,,1,inalterado
mp_light_ranged_empire_hero,Native,Native,,1,inalterado
mp_heavy_ranged_empire_hero,Native,Native,,1,inalterado
mp_light_cavalry_empire_hero,Native,Native,,1,inalterado
mp_heavy_cavalry_empire_hero,Native,Native,,1,inalterado
mp_light_infantry_khuzait_hero,Native,Native,,1,inalterado
mp_heavy_infantry_khuzait_hero,Native,Native,,1,inalterado
mp_light_ranged_khuzait_hero,Native,Native,,1,inalterado
mp_heavy_ranged_khuzait_hero,Native,Native,,1,inalterado
mp_light_cavalry_khuzait_hero,Native,Native,,1,inalterado
mp_heavy_cavalry_khuzait_hero,Native,Native,,1,inalterado
mp_horse_archer_khuzait_hero,Native,Native,,1,inalterado
mp_light_infantry_aserai_hero,Native,Native,,1,inalterado
mp_shock_infantry_aserai_hero,Native,Native,,1,inalterado
mp_skirmisher_aserai_hero,Native,Native,,1,inalterado
mp_light_ranged_aserai_hero,Native,Native,,1,inalterado
mp_heavy_ranged_aserai_hero,Native,Native,,1,inalterado
mp_light_cavalry_aserai_hero,Native,Native,,1,inalterado
mp_heavy_cavalry_aserai_hero,Native,Native,,1,inalterado
mp_light_infantry_sturgia_hero,Native,Native,,1,inalterado
mp_heavy_infantry_sturgia_hero,Native,Native,,1,inalterado
mp_shock_infantry_sturgia_hero,Native,Native,,1,inalterado
mp_skirmisher_sturgia_hero,Native,Native,,1,inalterado
mp_light_ranged_sturgia_hero,Native,Native,,1,inalterado
mp_light_cavalry_sturgia_hero,Native,Native,,1,inalterado
mp_heavy_cavalry_sturgia_hero,Native,Native,,1,inalterado
mp_light_infantry_battania_hero,Native,Native,,1,inalterado
mp_heavy_infantry_battania_hero,Native,Native,,1,inalterado
mp_shock_infantry_battania_hero,Native,Native,,1,inalterado
mp_skirmisher_battania_hero,Native,Native,,1,inalterado
mp_light_ranged_battania_hero,Native,Native,,1,inalterado
mp_heavy_ranged_battania_hero,Native,Native,,1,inalterado
mp_light_cavalry_battania_hero,Native,Native,,1,inalterado
mp_light_infantry_vlandia_troop,Native,Native,,1,inalterado
mp_shock_infantry_vlandia_troop,Native,Native,,1,inalterado
mp_heavy_infantry_vlandia_troop,Native,Native,,1,inalterado
mp_light_ranged_vlandia_troop,Native,Native,,1,inalterado
mp_heavy_ranged_vlandia_troop,Native,Native,,1,inalterado
mp_light_cavalry_vlandia_troop,Native,Native,,1,inalterado
mp_heavy_cavalry_vlandia_troop,Native,Native,,1,inalterado
mp_heavy_infantry_empire_troop,Native,Native,,1,inalterado
mp_shock_infantry_empire_troop,Native,Native,,1,inalterado
mp_skirmisher_empire_troop,Native,Native,,1,inalterado
mp_light_ranged_empire_troop,Native,Native,,1,inalterado
mp_heavy_ranged_empire_troop,Native,Native,,1,inalterado
mp_light_cavalry_empire_troop,Native,Native,,1,inalterado
mp_heavy_cavalry_empire_troop,Native,Native,,1,inalterado
mp_light_infantry_khuzait_troop,Native,Native,,1,inalterado
mp_heavy_infantry_khuzait_troop,Native,Native,,1,inalterado
mp_light_ranged_khuzait_troop,Native,Native,,1,inalterado
mp_heavy_ranged_khuzait_troop,Native,Native,,1,inalterado
mp_light_cavalry_khuzait_troop,Native,Native,,1,inalterado
mp_heavy_cavalry_khuzait_troop,Native,Native,,1,inalterado
mp_horse_archer_khuzait_troop,Native,Native,,1,inalterado
mp_light_infantry_aserai_troop,Native,Native,,1,inalterado
mp_shock_infantry_aserai_troop,Native,Native,,1,inalterado
mp_skirmisher_aserai_troop,Native,Native,,1,inalterado
mp_light_ranged_aserai_troop,Native,Native,,1,inalterado
mp_heavy_ranged_aserai_troop,Native,Native,,1,inalterado
mp_light_cavalry_aserai_troop,Native,Native,,1,inalterado
mp_heavy_cavalry_aserai_troop,Native,Native,,1,inalterado
mp_light_infantry_sturgia_troop,Native,Native,,1,inalterado
mp_heavy_infantry_sturgia_troop,Native,Native,,1,inalterado
mp_shock_infantry_sturgia_troop,Native,Native,,1,inalterado
mp_skirmisher_sturgia_troop,Native,Native,,1,inalterado
mp_light_ranged_sturgia_troop,Native,Native,,1,inalterado
mp_light_cavalry_sturgia_troop,Native,Native,,1,inalterado
mp_heavy_cavalry_sturgia_troop,Native,Native,,1,inalterado
mp_light_infantry_battania_troop,Native,Native,,1,inalterado
mp_heavy_infantry_battania_troop,Native,Native,,1,inalterado
mp_shock_infantry_battania_troop,Native,Native,,1,inalterado
mp_skirmisher_battania_troop,Native,Native,,1,inalterado
mp_light_ranged_battania_troop,Native,Native,,1,inalterado
mp_heavy_ranged_battania_troop,Native,Native,,1,inalterado
mp_light_cavalry_battania_troop,Native,Native,,1,inalterado
looter,Sandbox,Sandbox,,1,inalterado
deserter,Sandbox,Sandbox,,1,inalterado
sea_raiders_bandit,NavalDLC,Sandbox|NavalDLC,Sandbox,2,inalterado
sea_raiders_raider,NavalDLC,Sandbox|NavalDLC,Sandbox,2,inalterado
sea_raiders_chief,NavalDLC,Sandbox|NavalDLC,Sandbox,2,inalterado
mountain_bandits_bandit,Sandbox,Sandbox,,1,inalterado
mountain_bandits_raider,Sandbox,Sandbox,,1,inalterado
mountain_bandits_chief,Sandbox,Sandbox,,1,inalterado
forest_bandits_bandit,Sandbox,Sandbox,,1,inalterado
forest_bandits_raider,Sandbox,Sandbox,,1,inalterado
forest_bandits_chief,Sandbox,Sandbox,,1,inalterado
desert_bandits_bandit,Sandbox,Sandbox,,1,inalterado
desert_bandits_raider,Sandbox,Sandbox,,1,inalterado
desert_bandits_chief,Sandbox,Sandbox,,1,inalterado
steppe_bandits_bandit,Sandbox,Sandbox,,1,inalterado
steppe_bandits_raider,Sandbox,Sandbox,,1,inalterado
steppe_bandits_chief,Sandbox,Sandbox,,1,inalterado
sea_raiders_boss,NavalDLC,Sandbox|NavalDLC,Sandbox,2,inalterado
mountain_bandits_boss,Sandbox,Sandbox,,1,inalterado
forest_bandits_boss,Sandbox,Sandbox,,1,inalterado
desert_bandits_boss,Sandbox,Sandbox,,1,inalterado
steppe_bandits_boss,Sandbox,Sandbox,,1,inalterado
mounted_pillager,Sandbox,Sandbox,,1,inalterado
mounted_ransacker,Sandbox,Sandbox,,1,inalterado
caravan_leader_player_faction,Sandbox,Sandbox,,1,inalterado
caravan_leader_empire,Sandbox,Sandbox,,1,inalterado
caravan_leader_sturgia,Sandbox,Sandbox,,1,inalterado
