troop_id,name_raw,name,level,occupation,culture,default_group,is_basic_troop,is_hero,is_template,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,upgrade_targets,has_upgrade_targets,is_soldier
mp_character,{=eFWJjaBC}Multiplayer Character,Multiplayer Character,36.0,,,,,,,5.0,5.0,5.0,100.0,100.0,100.0,200.0,,,False,False
dummy_no_armor,{=!}Min Armor (0),Min Armor (0),,,khuzait,Infantry,,false,,,,,,,,,,,False,False
dummy_light_armor,{=!}Lower Average Armor (12),Lower Average Armor (12),,,khuzait,Infantry,,false,,,,,,,,,,,False,False
dummy_medium_armor,{=!}Higher Average Armor (37),Higher Average Armor (37),,,khuzait,Infantry,,false,,,,,,,,,,,False,False
dummy_heavy_armor,{=!}Max Armor (55),Max Armor (55),,,khuzait,Infantry,,false,,,,,,,,,,,False,False
mp_light_infantry_vlandia_hero,{=gLlheMwd}Peasant Levy,Peasant Levy,5.0,Soldier,vlandia,Infantry,,,,50.0,50.0,50.0,20.0,20.0,100.0,40.0,,,False,True
mp_shock_infantry_vlandia_hero,{=My0a4Miq}Voulgier,Voulgier,25.0,Soldier,vlandia,Infantry,,,,50.0,50.0,50.0,20.0,20.0,100.0,40.0,,,False,True
mp_heavy_infantry_vlandia_hero,{=g9VIbA9s}Sergeant,Sergeant,25.0,Soldier,vlandia,Infantry,,,,50.0,50.0,50.0,20.0,20.0,100.0,50.0,,,False,True
mp_light_ranged_vlandia_hero,{=Dq1sCO1y}Arbelist,Arbelist,5.0,Soldier,vlandia,Ranged,,,,50.0,50.0,50.0,100.0,100.0,100.0,40.0,,,False,True
mp_heavy_ranged_vlandia_hero,{=eM1qFKNs}Sharpshooter,Sharpshooter,20.0,Soldier,vlandia,Ranged,,,,50.0,50.0,50.0,100.0,100.0,100.0,50.0,,,False,True
mp_light_cavalry_vlandia_hero,{=Cp7dI87a}Vanguard,Vanguard,15.0,Soldier,vlandia,Cavalry,,,,50.0,50.0,150.0,20.0,20.0,100.0,150.0,,,False,True
mp_heavy_cavalry_vlandia_hero,{=WtEoXblx}Knight,Knight,30.0,Soldier,vlandia,Cavalry,,,,50.0,50.0,150.0,20.0,20.0,100.0,150.0,,,False,True
mp_skirmisher_empire_hero,{=recruitTroopType}Recruit,Recruit,10.0,Soldier,empire,Infantry,,,,50.0,50.0,50.0,20.0,20.0,100.0,40.0,,,False,True
mp_shock_infantry_empire_hero,{=XeXJAB6a}Menavlion Infantry,Menavlion Infantry,25.0,Soldier,empire,Infantry,,,,50.0,50.0,50.0,20.0,20.0,100.0,40.0,,,False,True
mp_heavy_infantry_empire_hero,{=CAYZDsAj}Legionary,Legionary,25.0,Soldier,empire,Infantry,,,,50.0,50.0,50.0,20.0,20.0,100.0,50.0,,,False,True
mp_light_ranged_empire_hero,{=TNQaD5p2}Archer Militia,Archer Militia,5.0,Soldier,empire,Ranged,,,,50.0,50.0,50.0,100.0,100.0,100.0,40.0,,,False,True
mp_heavy_ranged_empire_hero,{=NJRUb0C1}Palatine Guard,Palatine Guard,20.0,Soldier,empire,Ranged,,,,50.0,50.0,150.0,100.0,100.0,100.0,50.0,,,False,True
mp_light_cavalry_empire_hero,{=coursercavalryman}Courser,Courser,15.0,Soldier,empire,Cavalry,,,,50.0,50.0,150.0,20.0,20.0,100.0,150.0,,,False,True
mp_heavy_cavalry_empire_hero,{=ft6QaIms}Cataphract,Cataphract,30.0,Soldier,empire,Cavalry,,,,50.0,50.0,150.0,20.0,20.0,100.0,150.0,,,False,True
mp_light_infantry_khuzait_hero,{=naBbiK9v}Rabble,Rabble,5.0,Soldier,khuzait,Infantry,,,,50.0,50.0,50.0,20.0,20.0,100.0,65.0,,,False,True
mp_heavy_infantry_khuzait_hero,{=eIk6jaOG}Spear Infantry,Spear Infantry,25.0,Soldier,khuzait,Infantry,,,,50.0,50.0,50.0,20.0,20.0,100.0,75.0,,,False,True
mp_light_ranged_khuzait_hero,{=steppebowtroop}Steppe Bow,Steppe Bow,5.0,Soldier,khuzait,Ranged,,,,50.0,50.0,50.0,100.0,100.0,100.0,65.0,,,False,True
mp_heavy_ranged_khuzait_hero,{=lar4lfKR}Khan's Guard,Khan's Guard,20.0,Soldier,khuzait,Ranged,,,,50.0,50.0,50.0,100.0,100.0,100.0,75.0,,,False,True
mp_light_cavalry_khuzait_hero,{=afhXdjBU}Nomad,Nomad,15.0,Soldier,khuzait,Cavalry,,,,50.0,50.0,150.0,50.0,50.0,100.0,150.0,,,False,True
mp_heavy_cavalry_khuzait_hero,{=hchDYAKL}Lancer,Lancer,30.0,Soldier,khuzait,Cavalry,,,,50.0,50.0,150.0,50.0,50.0,100.0,150.0,,,False,True
mp_horse_archer_khuzait_hero,{=eU0uANvZ}Mounted Archer,Mounted Archer,15.0,Soldier,khuzait,HorseArcher,,,,50.0,50.0,150.0,75.0,75.0,100.0,150.0,,,False,True
