item_id,item_kind,type,crafting_template,name,culture,source_xml,winner_module,load_order_rank
Broad_Skaen,CraftedItem,CraftedWeapon,Dagger,Broad Skaen,battania,SandboxCore/ModuleData/items/weapons.xml,SandboxCore,2
a_aserai_scale_b_shoulder_a,Item,Cape,,Scale Shoulder Guards,aserai,SandboxCore/ModuleData/items/shoulder_armors.xml,SandboxCore,2
a_aserai_scale_b_shoulder_b,Item,Cape,,Scale Pauldrons,aserai,SandboxCore/ModuleData/items/shoulder_armors.xml,SandboxCore,2
a_aserai_scale_b_shoulder_c,Item,Cape,,Bronze Scale Shoulder Guards,aserai,SandboxCore/ModuleData/items/shoulder_armors.xml,SandboxCore,2
a_aserai_scale_b_shoulder_d,Item,Cape,,Bronze Scale Pauldrons,aserai,SandboxCore/ModuleData/items/shoulder_armors.xml,SandboxCore,2
a_aserai_scale_b_shoulder_e,Item,Cape,,Reinforced Bronze Scale Shoulder Guards,aserai,SandboxCore/ModuleData/items/shoulder_armors.xml,SandboxCore,2
a_battania_cloak_a,Item,Cape,,Simple Cape,battania,SandboxCore/ModuleData/items/shoulder_armors.xml,SandboxCore,2
a_brass_lamellar_shoulder_a,Item,Cape,,Bronze Lamellar Shoulder Guards,khuzait,SandboxCore/ModuleData/items/shoulder_armors.xml,SandboxCore,2
a_brass_lamellar_shoulder_b,Item,Cape,,Reinforced Bronze Lamellar Shoulder Guards,khuzait,SandboxCore/ModuleData/items/shoulder_armors.xml,SandboxCore,2
a_brass_lamellar_shoulder_white_a,Item,Cape,,Lamellar Shoulder Guards,sturgia,SandboxCore/ModuleData/items/shoulder_armors.xml,SandboxCore,2
a_brass_lamellar_shoulder_white_b,Item,Cape,,Reinforced Lamellar Shoulder Guards,sturgia,SandboxCore/ModuleData/items/shoulder_armors.xml,SandboxCore,2
a_empire_plated_shoulder_a,Item,Cape,,Legionary Studded Harness,empire,SandboxCore/ModuleData/items/shoulder_armors.xml,SandboxCore,2
