troop_id,roster_index,slot,item_id,equipment_source,item_found,item_kind,type,item_name,crafting_template,crafted_stats_reconstructed,score_usage_status,weapon_class,stack_amount,speed_rating,missile_speed,accuracy,weapon_length,swing_damage,swing_damage_type,thrust_damage,thrust_damage_type,hit_points,shield_armor,head_armor,body_armor,arm_armor,leg_armor,horse_speed,horse_maneuver,horse_charge_damage,horse_extra_health,troop_name,level,occupation,culture,default_group,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,tree_root_id,upgrade_depth,tree_tier,line_status,line_status_corrected
mp_character,0,Body,mp_layered_leather_tunic,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Multiplayer Character,36.0,,,,5.0,5.0,5.0,100.0,100.0,100.0,200.0,,,,,,
mp_character,0,Leg,mp_leather_cavalier_boots,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Multiplayer Character,36.0,,,,5.0,5.0,5.0,100.0,100.0,100.0,200.0,,,,,,
mp_character,0,Cape,mp_scarf,roster,True,Item,Cape,Scarf,,,direct_stats_available,,,,,,,,,,,,,,2.0,,,,,,,Multiplayer Character,36.0,,,,5.0,5.0,5.0,100.0,100.0,100.0,200.0,,,,,,
dummy_no_armor,0,Body,mp_dummy_armor_min,roster,True,Item,BodyArmor,Dummy Min Armor,,,direct_stats_available,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,Min Armor (0),,,khuzait,Infantry,,,,,,,,,,,,,
dummy_light_armor,0,Body,mp_dummy_armor_lower_average,roster,True,Item,BodyArmor,Dummy Lower Average,,,direct_stats_available,,,,,,,,,,,,,12.0,12.0,12.0,12.0,,,,,Lower Average Armor (12),,,khuzait,Infantry,,,,,,,,,,,,,
dummy_medium_armor,0,Body,mp_dummy_armor_higher_average,roster,True,Item,BodyArmor,Dummy Higher Average,,,direct_stats_available,,,,,,,,,,,,,37.0,37.0,37.0,37.0,,,,,Higher Average Armor (37),,,khuzait,Infantry,,,,,,,,,,,,,
dummy_heavy_armor,0,Body,mp_dummy_armor_max,roster,True,Item,BodyArmor,Dummy Max Armor,,,direct_stats_available,,,,,,,,,,,,,55.0,55.0,55.0,55.0,,,,,Max Armor (55),,,khuzait,Infantry,,,,,,,,,,,,,
mp_light_infantry_vlandia_hero,0,Item0,mp_vlandian_sickle,roster,True,CraftedItem,CraftedWeapon,Sickle,OneHandedSword,False,audit_only_no_aggressive_htk,,,,,,,,,,,,,,,,,,,,,Peasant Levy,5.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_infantry_vlandia_hero,0,Body,mp_bandit_leather_water_flask,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Peasant Levy,5.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_infantry_vlandia_hero,0,Head,mp_leather_cap,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Peasant Levy,5.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_infantry_vlandia_hero,0,Leg,mp_empire_horseman_boots,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Peasant Levy,5.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_shock_infantry_vlandia_hero,0,Item0,mp_vlandian_polearm,roster,True,CraftedItem,CraftedWeapon,Voulge,TwoHandedPolearm,False,audit_only_no_aggressive_htk,,,,,,,,,,,,,,,,,,,,,Voulgier,25.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_shock_infantry_vlandia_hero,0,Head,mp_segmented_skullcap_over_laced_coif,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Voulgier,25.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_shock_infantry_vlandia_hero,0,Body,mp_sleeveless_padded_short_coat,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Voulgier,25.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_shock_infantry_vlandia_hero,0,Leg,mp_leather_cavalier_boots,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Voulgier,25.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_shock_infantry_vlandia_hero,0,Gloves,mp_padded_mitten,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Voulgier,25.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_heavy_infantry_vlandia_hero,0,Item1,mp_vlandian_long_sword,roster,True,CraftedItem,CraftedWeapon,Long Sword,OneHandedSword,False,audit_only_no_aggressive_htk,,,,,,,,,,,,,,,,,,,,,Sergeant,25.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,50.0,,,,,special_or_unlinked,special_or_unlinked
mp_heavy_infantry_vlandia_hero,0,Item2,mp_tall_heater_shield,roster,True,Item,Shield,Tall Heater Shield,,,direct_stats_available,LargeShield,,82.0,,,105.0,,,,Blunt,245.0,20.0,,,,,,,,,Sergeant,25.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,50.0,,,,,special_or_unlinked,special_or_unlinked
mp_heavy_infantry_vlandia_hero,0,Head,mp_full_helm_over_padded_cap,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Sergeant,25.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,50.0,,,,,special_or_unlinked,special_or_unlinked
mp_heavy_infantry_vlandia_hero,0,Body,mp_vlandia_chainmail,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Sergeant,25.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,50.0,,,,,special_or_unlinked,special_or_unlinked
mp_heavy_infantry_vlandia_hero,0,Leg,mp_leather_cavalier_boots,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Sergeant,25.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,50.0,,,,,special_or_unlinked,special_or_unlinked
mp_heavy_infantry_vlandia_hero,0,Gloves,mp_mail_mitten,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Sergeant,25.0,Soldier,vlandia,Infantry,50.0,50.0,50.0,20.0,20.0,100.0,50.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_ranged_vlandia_hero,0,Item0,mp_light_crossbow,roster,True,Item,Crossbow,Light Crossbow,,,direct_stats_available,Crossbow,,77.0,77.0,95.0,95.0,,,67.0,Pierce,,,,,,,,,,,Arbelist,5.0,Soldier,vlandia,Ranged,50.0,50.0,50.0,100.0,100.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_ranged_vlandia_hero,0,Item1,mp_bolts_western,roster,True,Item,Bolts,Bolt,,,direct_stats_available,Bolt,25.0,0.0,10.0,,37.0,,,0.0,Pierce,,,,,,,,,,,Arbelist,5.0,Soldier,vlandia,Ranged,50.0,50.0,50.0,100.0,100.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_ranged_vlandia_hero,0,Item2,mp_vlandian_short_sword,roster,True,CraftedItem,CraftedWeapon,Vlandian Short Sword,OneHandedSword,False,audit_only_no_aggressive_htk,,,,,,,,,,,,,,,,,,,,,Arbelist,5.0,Soldier,vlandia,Ranged,50.0,50.0,50.0,100.0,100.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_ranged_vlandia_hero,0,Head,mp_kettle_helmet_over_padded_cloth,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Arbelist,5.0,Soldier,vlandia,Ranged,50.0,50.0,50.0,100.0,100.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_ranged_vlandia_hero,0,Body,mp_vlandia_bandit_a,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Arbelist,5.0,Soldier,vlandia,Ranged,50.0,50.0,50.0,100.0,100.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_ranged_vlandia_hero,0,Leg,mp_empire_horseman_boots,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Arbelist,5.0,Soldier,vlandia,Ranged,50.0,50.0,50.0,100.0,100.0,100.0,40.0,,,,,special_or_unlinked,special_or_unlinked
mp_heavy_ranged_vlandia_hero,0,Item0,mp_crossbow,roster,True,Item,Crossbow,Crossbow,,,direct_stats_available,Crossbow,,60.0,100.0,98.0,95.0,,,76.0,Pierce,,,,,,,,,,,Sharpshooter,20.0,Soldier,vlandia,Ranged,50.0,50.0,50.0,100.0,100.0,100.0,50.0,,,,,special_or_unlinked,special_or_unlinked
mp_heavy_ranged_vlandia_hero,0,Item1,mp_bolts_western,roster,True,Item,Bolts,Bolt,,,direct_stats_available,Bolt,25.0,0.0,10.0,,37.0,,,0.0,Pierce,,,,,,,,,,,Sharpshooter,20.0,Soldier,vlandia,Ranged,50.0,50.0,50.0,100.0,100.0,100.0,50.0,,,,,special_or_unlinked,special_or_unlinked
mp_heavy_ranged_vlandia_hero,0,Item2,mp_vlandian_long_sword,roster,True,CraftedItem,CraftedWeapon,Long Sword,OneHandedSword,False,audit_only_no_aggressive_htk,,,,,,,,,,,,,,,,,,,,,Sharpshooter,20.0,Soldier,vlandia,Ranged,50.0,50.0,50.0,100.0,100.0,100.0,50.0,,,,,special_or_unlinked,special_or_unlinked
mp_heavy_ranged_vlandia_hero,0,Head,mp_kettle_helmet_over_mail,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Sharpshooter,20.0,Soldier,vlandia,Ranged,50.0,50.0,50.0,100.0,100.0,100.0,50.0,,,,,special_or_unlinked,special_or_unlinked
mp_heavy_ranged_vlandia_hero,0,Body,mp_mail_shirt,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Sharpshooter,20.0,Soldier,vlandia,Ranged,50.0,50.0,50.0,100.0,100.0,100.0,50.0,,,,,special_or_unlinked,special_or_unlinked
mp_heavy_ranged_vlandia_hero,0,Gloves,mp_leather_gloves,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Sharpshooter,20.0,Soldier,vlandia,Ranged,50.0,50.0,50.0,100.0,100.0,100.0,50.0,,,,,special_or_unlinked,special_or_unlinked
mp_heavy_ranged_vlandia_hero,0,Leg,mp_leather_cavalier_boots,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Sharpshooter,20.0,Soldier,vlandia,Ranged,50.0,50.0,50.0,100.0,100.0,100.0,50.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_cavalry_vlandia_hero,0,Item0,mp_western_long_spear,roster,True,CraftedItem,CraftedWeapon,Western Long Spear,TwoHandedPolearm,False,audit_only_no_aggressive_htk,,,,,,,,,,,,,,,,,,,,,Vanguard,15.0,Soldier,vlandia,Cavalry,50.0,50.0,150.0,20.0,20.0,100.0,150.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_cavalry_vlandia_hero,0,Item1,mp_vlandian_cavalry_mace,roster,True,CraftedItem,CraftedWeapon,Vlandian Cavalry Mace,Mace,False,audit_only_no_aggressive_htk,,,,,,,,,,,,,,,,,,,,,Vanguard,15.0,Soldier,vlandia,Cavalry,50.0,50.0,150.0,20.0,20.0,100.0,150.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_cavalry_vlandia_hero,0,Item2,mp_western_riders_kite_shield,roster,True,Item,Shield,Cavalry Kite Shield,,,direct_stats_available,LargeShield,,82.0,,,85.0,,,,Blunt,105.0,5.0,,,,,,,,,Vanguard,15.0,Soldier,vlandia,Cavalry,50.0,50.0,150.0,20.0,20.0,100.0,150.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_cavalry_vlandia_hero,0,Head,mp_nasal_helmet_over_laced_coif,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Vanguard,15.0,Soldier,vlandia,Cavalry,50.0,50.0,150.0,20.0,20.0,100.0,150.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_cavalry_vlandia_hero,0,Body,mp_layered_leather_tunic,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Vanguard,15.0,Soldier,vlandia,Cavalry,50.0,50.0,150.0,20.0,20.0,100.0,150.0,,,,,special_or_unlinked,special_or_unlinked
mp_light_cavalry_vlandia_hero,0,Leg,mp_leather_cavalier_boots,roster,True,Item,,,,,direct_stats_available,,,,,,,,,,,,,,,,,,,,,Vanguard,15.0,Soldier,vlandia,Cavalry,50.0,50.0,150.0,20.0,20.0,100.0,150.0,,,,,special_or_unlinked,special_or_unlinked
