context,rank,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,death_rate,casualty_rate,ci95_low,ci95_high,reliability_status
field,1,Ravens' Teeth [T6],ravens_teeth,ravens_teeth,confirmed_id,4,77,77,258,0,0,0,3.350649,0.000000,0.000000,,,insufficient_evidence
field,2,Guardian of the Rock [T6],guardian_of_the_rock,,unresolved,1,2,2,5,0,0,0,2.500000,0.000000,0.000000,,,insufficient_evidence
field,3,Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,1,3,2,6,1,0,0,2.000000,0.333333,0.333333,,,insufficient_evidence
field,4,Northern Colonel [T5],northern_colonel,,unresolved,1,6,6,9,0,0,0,1.500000,0.000000,0.000000,,,insufficient_evidence
field,5,Northern Hero [T4],northern_hero,,unresolved,1,2,2,3,0,0,0,1.500000,0.000000,0.000000,,,insufficient_evidence
field,6,Northern Mounted Warlord [T6],northern_mounted_warlord,,unresolved,3,15,14,21,0,1,0,1.400000,0.000000,0.066667,,,insufficient_evidence
field,7,Riverlands House Guard [T5],riverlands_house_guard,,unresolved,1,3,3,4,0,0,0,1.333333,0.000000,0.000000,,,insufficient_evidence
field,8,Riverlands Soldier [T3],riverlands_soldier,,unresolved,1,3,3,4,0,0,0,1.333333,0.000000,0.000000,,,insufficient_evidence
field,9,Riverlands Ranger [T5],riverlands_ranger,river_ranger,confirmed_id,4,167,163,179,1,3,0,1.071856,0.005988,0.023952,,,insufficient_evidence
field,10,Riverlands Axeman [T5],riverlands_axeman,river_axeman,confirmed_id,2,19,18,17,1,0,0,0.894737,0.052632,0.052632,,,insufficient_evidence
field,11,Blackwood Horseman [T5],blackwood_horseman,,unresolved,3,16,15,14,0,1,0,0.875000,0.000000,0.062500,,,insufficient_evidence
field,12,Riverlands Cavalry [T5],riverlands_cavalry,,unresolved,3,14,13,12,0,1,0,0.857143,0.000000,0.071429,,,insufficient_evidence
field,13,Westerlands Banner Knight [T6],westerlands_banner_knight,,unresolved,4,31,28,26,1,2,0,0.838710,0.032258,0.096774,,,insufficient_evidence
field,14,Northern Horseman [T5],northern_horseman,,unresolved,2,9,8,7,0,1,0,0.777778,0.000000,0.111111,,,insufficient_evidence
field,15,Mallister Eagle Knight [T6],mallister_eagle_knight,mallister_knight,confirmed_id,4,53,45,40,1,7,0,0.754717,0.018868,0.150943,,,insufficient_evidence
field,16,Blackwood Longbowman [T5],blackwood_longbowman,,unresolved,1,4,4,3,0,0,0,0.750000,0.000000,0.000000,,,insufficient_evidence
field,17,Northern Ranger [T5],northern_ranger,,unresolved,1,3,2,2,0,1,0,0.666667,0.000000,0.333333,,,insufficient_evidence
field,18,Mallister Elite Archer [T5],mallister_elite_archer,mallister_elite_archer,confirmed_id,4,135,132,73,2,1,0,0.540741,0.014815,0.022222,,,insufficient_evidence
