screenshot_id,image_file,image_sha256,captured_at,battle_id,screen_status,included_in_primary,game_version,game_track
screen_26_07_2026_22_28_43,26_07_2026_22_28_43.png,810ac8f1b4fb39d54714c83e4f895d7c2c47e6d35df46c4ccb23af266a8cff6b,2026-07-26T22:28:43-03:00,battle_20260726_222851_banefort,active_scoreboard_excluded,False,1.4.x,realm_of_thrones
screen_26_07_2026_22_28_51,26_07_2026_22_28_51.png,2ac1b23d409148d3dfffe503f07e6b74e602871c15d387081e3b4a45c66b8e01,2026-07-26T22:28:51-03:00,battle_20260726_222851_banefort,final_result,True,1.4.x,realm_of_thrones
screen_26_07_2026_22_29_00,26_07_2026_22_29_00.png,39175f125746a0ccd02cfbd8e2e5f6662739a061cbc8c21cb65508fbe13cfd17,2026-07-26T22:29:00-03:00,battle_20260726_222851_banefort,final_result,True,1.4.x,realm_of_thrones
screen_26_07_2026_23_26_19,26_07_2026_23_26_19.png,dcab209c565b9acb68cb65a9290b9740c4c466bd17eb8b87a540bb391d7f02f1,2026-07-26T23:26:19-03:00,battle_20260726_232619_farman,final_result,True,1.4.x,realm_of_thrones
screen_26_07_2026_23_35_35,26_07_2026_23_35_35.png,2048b683bc08229f4f9cdf907fa5ac7ead2b27692bf14e8a1262203f2af6dc94,2026-07-26T23:35:35-03:00,battle_20260726_233535_lorch_lannister,final_result,True,1.4.x,realm_of_thrones
screen_26_07_2026_23_48_09,26_07_2026_23_48_09.png,558d05aab4f73330dad16550f1372f19a8d1134fc28774f2570dc2d8341a7cbf,2026-07-26T23:48:09-03:00,battle_20260726_234809_the_crag,final_result,True,1.4.x,realm_of_thrones
screen_26_07_2026_23_56_58,26_07_2026_23_56_58.png,5745e967b1d52a062613ebf5035e5640a9bfbf3bb84c08b9b96cde67bb4d1e4f,2026-07-26T23:56:58-03:00,battle_20260726_235658_kenning,final_result,True,1.4.x,realm_of_thrones
screen_27_07_2026_00_11_25,27_07_2026_00_11_25.png,8c4a329c915a89324d2bdb49e2a1c2667aa8a4296f4fd067665e6869fe96a346,2026-07-27T00:11:25-03:00,battle_20260727_001125_faircastle,final_result,True,1.4.x,realm_of_thrones
screen_27_07_2026_00_32_37,27_07_2026_00_32_37.png,d1b7f1afed293394d67259a1b62d675890146103ddad85ae098fd2ab1d2a3215,2026-07-27T00:32:37-03:00,battle_20260727_003346_the_crag_defense,final_result,True,1.4.x,realm_of_thrones
screen_27_07_2026_00_33_46,27_07_2026_00_33_46.png,e39bdbb6f957f83c6376632906f18ed9ee721ab6573503f0f6a16f9203923c76,2026-07-27T00:33:46-03:00,battle_20260727_003346_the_crag_defense,final_result,True,1.4.x,realm_of_thrones
screen_27_07_2026_00_43_50,27_07_2026_00_43_50.png,7b8231cdb117a28e2663a004161538ea6935c2587f9acea376820c62bd5cf1be,2026-07-27T00:43:50-03:00,battle_20260727_004350_westerling,final_result,True,1.4.x,realm_of_thrones
screen_27_07_2026_00_53_22,27_07_2026_00_53_22.png,4f37dc41dcdc7534caf93cae89d9cd9fcfcc58fb343ebe136a3f65db2eb53122,2026-07-27T00:53:22-03:00,battle_20260727_005322_banefort,final_result,True,1.4.x,realm_of_thrones
screen_27_07_2026_01_05_41,27_07_2026_01_05_41.png,ac8e6b8162f4a2831d398b8a95de411e36817cd90f6077a3953b592390916aec,2026-07-27T01:05:41-03:00,battle_20260727_010541_kayce,final_result,True,1.4.x,realm_of_thrones
