provisional_slug,display_name,observed_track,canonical_troop_id,match_status,resolution_method,evidence_kind,evidence_paths,candidate_count,candidate_troop_ids,blocking_reason
battanian_skirmisher,Battanian Skirmisher [T3],nightmare_sails,,unresolved,,,,0,,No manually verified exact name-to-ID match recorded for this batch.
battanian_veteran_skirmisher,Battanian Veteran Skirmisher [T4],nightmare_sails,,unresolved,,,,0,,No manually verified exact name-to-ID match recorded for this batch.
battanian_wildling,Battanian Wildling [T5],nightmare_sails,battanian_wildling,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/nightmare_sails/audit/nightmare_sails_troops.csv,1,battanian_wildling,
desert_emir,Desert Emir [T6],nightmare_sails,desert_bandits_boss,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/nightmare_sails/audit/nightmare_sails_troops.csv,1,desert_bandits_boss,
forest_lord,Forest Lord [T6],nightmare_sails,forest_bandits_boss,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/nightmare_sails/audit/nightmare_sails_troops.csv,1,forest_bandits_boss,
forest_reaper,Forest Reaper [T5],nightmare_sails,forest_bandits_bossen,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/nightmare_sails/audit/nightmare_sails_troops.csv,1,forest_bandits_bossen,
hired_valkyrja,Hired Valkyrja [T5],nightmare_sails,shield_sisters_sister_t5,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/nightmare_sails/audit/nightmare_sails_troops.csv,1,shield_sisters_sister_t5,
imperial_elite_cataphract,Imperial Elite Cataphract [T6],nightmare_sails,imperial_elite_cataphract,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/nightmare_sails/audit/nightmare_sails_troops.csv,1,imperial_elite_cataphract,
imperial_elite_menavliaton,Imperial Elite Menavliaton [T5],nightmare_sails,,unresolved,,,,0,,No manually verified exact name-to-ID match recorded for this batch.
imperial_infantryman,Imperial Infantryman [T2],nightmare_sails,,unresolved,,,,0,,No manually verified exact name-to-ID match recorded for this batch.
imperial_legionary,Imperial Legionary [T5],nightmare_sails,imperial_legionary,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/nightmare_sails/audit/nightmare_sails_troops.csv,1,imperial_legionary,
imperial_menavliaton,Imperial Menavliaton [T4],nightmare_sails,,unresolved,,,,0,,No manually verified exact name-to-ID match recorded for this batch.
imperial_recruit,Imperial Recruit [T1],nightmare_sails,,unresolved,,,,0,,No manually verified exact name-to-ID match recorded for this batch.
imperial_trained_infantryman,Imperial Trained Infantryman [T3],nightmare_sails,,unresolved,,,,0,,No manually verified exact name-to-ID match recorded for this batch.
imperial_veteran_infantryman,Imperial Veteran Infantryman [T4],nightmare_sails,,unresolved,,,,0,,No manually verified exact name-to-ID match recorded for this batch.
khuzait_footman,Khuzait Footman [T2],nightmare_sails,,unresolved,,,,0,,No manually verified exact name-to-ID match recorded for this batch.
