context,rank,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,death_rate,casualty_rate,ci95_low,ci95_high,reliability_status
field,1,Nord Hearthguard [T4],nord_hearthguard,nord_jarlsmann,confirmed_id,1,4,2,15,0,2,0,3.750000,0.000000,0.500000,,,insufficient_evidence
field,2,Forest Lord [T6],forest_lord,forest_bandits_boss,confirmed_id,5,5,5,18,0,0,0,3.600000,0.000000,0.000000,,,insufficient_evidence
field,3,Battanian Veteran Skirmisher [T4],battanian_veteran_skirmisher,,unresolved,1,2,2,7,0,0,0,3.500000,0.000000,0.000000,,,insufficient_evidence
field,4,Nord Huscarl [T6],nord_huscarl,nord_huscarl,confirmed_id,6,25,20,78,1,4,0,3.120000,0.040000,0.200000,2.666667,3.520000,reliable
field,5,Desert Emir [T6],desert_emir,desert_bandits_boss,confirmed_id,3,3,3,9,0,0,0,3.000000,0.000000,0.000000,,,insufficient_evidence
field,6,Nord War-Proven [T3],nord_war_proven,nord_thegn,confirmed_id,2,2,2,6,0,0,0,3.000000,0.000000,0.000000,,,insufficient_evidence
field,7,Battanian Wildling [T5],battanian_wildling,battanian_wildling,confirmed_id,8,34,26,91,0,8,0,2.676471,0.000000,0.235294,2.058824,3.285714,reliable
field,8,Sturgian Varyag Guard [T4],sturgian_varyag_guard,varyag_veteran,confirmed_id,2,5,5,11,0,0,0,2.200000,0.000000,0.000000,,,insufficient_evidence
field,9,Nord Scion [T2],nord_scion,nord_ungmann,confirmed_id,1,7,6,15,1,0,0,2.142857,0.142857,0.142857,,,insufficient_evidence
field,10,Sturgian Varyag [T3],sturgian_varyag,varyag,confirmed_id,2,5,5,10,0,0,0,2.000000,0.000000,0.000000,,,insufficient_evidence
field,11,Nord Shield-Companion [T5],nord_shield_companion,nord_hirdmann,confirmed_id,1,1,1,2,0,0,0,2.000000,0.000000,0.000000,,,insufficient_evidence
field,12,Sturgian Soldier [T3],sturgian_soldier,,unresolved,1,1,1,2,0,0,0,2.000000,0.000000,0.000000,,,insufficient_evidence
field,13,Sturgian Druzhinnik Champion [T6],sturgian_druzhinnik_champion,druzhinnik_champion,confirmed_id,5,14,12,27,0,2,0,1.928571,0.000000,0.142857,,,insufficient_evidence
field,14,Hired Valkyrja [T5],hired_valkyrja,shield_sisters_sister_t5,confirmed_id,6,16,10,30,1,5,0,1.875000,0.062500,0.375000,,,insufficient_evidence
