context,rank,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,death_rate,casualty_rate,ci95_low,ci95_high,reliability_status
field,1,Qartheen Enthroned Guardian [T6],qartheen_enthroned_guardian,enthroned_guardian,confirmed_id,1,7,7,43,0,0,0,6.142857,0.000000,0.000000,,,insufficient_evidence
field,2,Dothraki Savage [T4],dothraki_savage,,unresolved,1,1,1,6,0,0,0,6.000000,0.000000,0.000000,,,insufficient_evidence
field,3,Ibbenese Whaler [T5],ibbenese_whaler,ibbenese_whaler,confirmed_id,1,3,3,13,0,0,0,4.333333,0.000000,0.000000,,,insufficient_evidence
field,4,Dothraki Barbarian [T5],dothraki_barbarian,,unresolved,1,1,1,4,0,0,0,4.000000,0.000000,0.000000,,,insufficient_evidence
field,5,Unsullied [T6],unsullied,unsullied,confirmed_id,2,34,27,113,2,5,0,3.323529,0.058824,0.205882,,,insufficient_evidence
field,6,Ibbenese Navigator [T6],ibbenese_navigator,ibbenese_navigator,confirmed_id,2,29,16,95,1,12,0,3.275862,0.034483,0.448276,,,insufficient_evidence
field,7,Ibbenese Mariner [T5],ibbenese_mariner,ibbenese_mariner,confirmed_id,2,5,4,16,0,1,0,3.200000,0.000000,0.200000,,,insufficient_evidence
field,8,Sarnori Master Javelinier [T5],sarnori_master_javelinier,sarnor_master_javelinier,confirmed_id,3,71,47,207,4,20,0,2.915493,0.056338,0.338028,,,insufficient_evidence
field,9,Sarnori Spider [T6],sarnori_spider,sarnor_spider,confirmed_id,2,107,35,266,7,65,0,2.485981,0.065421,0.672897,,,insufficient_evidence
field,10,Sarnori Master Spearman [T5],sarnori_master_spearman,sarnor_master_spearman,confirmed_id,2,21,16,48,1,4,0,2.285714,0.047619,0.238095,,,insufficient_evidence
field,11,Sarnori Javelineer [T3],sarnori_javelineer,sarnor_javelinier,confirmed_id,1,16,14,33,0,2,0,2.062500,0.000000,0.125000,,,insufficient_evidence
field,12,Qartheen Elite Hoplite [T5],qartheen_elite_hoplite,qartheen_elite_hoplite,confirmed_id,1,1,0,2,0,1,0,2.000000,0.000000,1.000000,,,insufficient_evidence
field,13,Sarnori Elite Archer [T4],sarnori_elite_archer,sarnor_elite_archer,confirmed_id,1,1,1,2,0,0,0,2.000000,0.000000,0.000000,,,insufficient_evidence
field,14,Qartheen Longbowman [T5],qartheen_longbowman,qartheen_longbowman,confirmed_id,2,14,13,26,0,1,0,1.857143,0.000000,0.071429,,,insufficient_evidence
field,15,High King Guardian [T5],high_king_guardian,sarnor_highking_guardian,confirmed_id,1,8,6,12,1,1,0,1.500000,0.125000,0.250000,,,insufficient_evidence
field,16,Sarnori Elite Javelinier [T4],sarnori_elite_javelinier,sarnor_elite_javelinier,confirmed_id,1,7,7,10,0,0,0,1.428571,0.000000,0.000000,,,insufficient_evidence
field,17,Lengii Slave Master [T5],lengii_slave_master,yiti_boss,confirmed_id,2,5,5,7,0,0,0,1.400000,0.000000,0.000000,,,insufficient_evidence
field,18,Veteran Sword Sister [T5],veteran_sword_sister,sword_sisters_sister_infantry_t5,confirmed_id,1,3,3,3,0,0,0,1.000000,0.000000,0.000000,,,insufficient_evidence
field,19,Sarnori Longbowman [T5],sarnori_longbowman,sarnor_longbowman,confirmed_id,1,11,11,9,0,0,0,0.818182,0.000000,0.000000,,,insufficient_evidence
field,20,Sarnori Archer [T3],sarnori_archer,sarnor_archer,confirmed_id,1,5,2,2,0,3,0,0.400000,0.000000,0.600000,,,insufficient_evidence
field,21,Ibbenese Sailor [T4],ibbenese_sailor,ibbenese_sailor,confirmed_id,1,3,2,1,0,1,0,0.333333,0.000000,0.333333,,,insufficient_evidence
field,22,Ibbenese Rower [T3],ibbenese_rower,ibbenese_rower,confirmed_id,1,6,2,1,0,4,0,0.166667,0.000000,0.666667,,,insufficient_evidence
field,23,Yi Ti Mounted Shi [T6],yi_ti_mounted_shi,yiti_samurai,confirmed_id,1,1,0,0,0,1,0,0.000000,0.000000,1.000000,,,insufficient_evidence
siege_attack,1,Qartheen Pureborn Warrior [T4],qartheen_pureborn_warrior,qartheen_pureborn_warrior,confirmed_id,1,2,2,7,0,0,0,3.500000,0.000000,0.000000,,,insufficient_evidence
siege_attack,2,Royce Heroine [T6],royce_heroine,royce_heroine,confirmed_id,1,1,1,3,0,0,0,3.000000,0.000000,0.000000,,,insufficient_evidence
siege_attack,3,Qartheen Enthroned Guardian [T6],qartheen_enthroned_guardian,enthroned_guardian,confirmed_id,2,12,7,34,0,5,0,2.833333,0.000000,0.416667,,,insufficient_evidence
siege_attack,4,Sarnori Spider [T6],sarnori_spider,sarnor_spider,confirmed_id,3,125,102,302,6,17,0,2.416000,0.048000,0.184000,,,insufficient_evidence
siege_attack,5,Sarnori Master Javelinier [T5],sarnori_master_javelinier,sarnor_master_javelinier,confirmed_id,3,115,97,174,1,17,0,1.513043,0.008696,0.156522,,,insufficient_evidence
siege_attack,6,Ibbenese Rower [T3],ibbenese_rower,ibbenese_rower,confirmed_id,1,6,3,9,0,3,0,1.500000,0.000000,0.500000,,,insufficient_evidence
siege_attack,7,Sarnori Master Spearman [T5],sarnori_master_spearman,sarnor_master_spearman,confirmed_id,1,25,23,37,1,1,0,1.480000,0.040000,0.080000,,,insufficient_evidence
siege_attack,8,Lengii Slave Master [T5],lengii_slave_master,yiti_boss,confirmed_id,2,7,6,10,0,1,0,1.428571,0.000000,0.142857,,,insufficient_evidence
siege_attack,9,Unsullied [T6],unsullied,unsullied,confirmed_id,2,38,27,49,3,8,0,1.289474,0.078947,0.289474,,,insufficient_evidence
siege_attack,10,Qartheen Longbowman [T5],qartheen_longbowman,qartheen_longbowman,confirmed_id,2,53,25,68,5,23,0,1.283019,0.094340,0.528302,,,insufficient_evidence
siege_attack,11,Ibbenese Whaler [T5],ibbenese_whaler,ibbenese_whaler,confirmed_id,1,5,0,6,0,5,0,1.200000,0.000000,1.000000,,,insufficient_evidence
siege_attack,12,Knight of the Vale [T6],knight_of_the_vale,vale_knight_of,confirmed_id,1,2,2,2,0,0,0,1.000000,0.000000,0.000000,,,insufficient_evidence
siege_attack,13,Ibbenese Mariner [T5],ibbenese_mariner,ibbenese_mariner,confirmed_id,1,1,0,1,0,1,0,1.000000,0.000000,1.000000,,,insufficient_evidence
siege_attack,14,Sarnori Archer [T3],sarnori_archer,sarnor_archer,confirmed_id,1,1,1,1,0,0,0,1.000000,0.000000,0.000000,,,insufficient_evidence
siege_attack,15,Ibbenese Timberman [T5],ibbenese_timberman,ibbenese_timberman,confirmed_id,2,25,19,24,0,6,0,0.960000,0.000000,0.240000,,,insufficient_evidence
siege_attack,16,Ibbenese Navigator [T6],ibbenese_navigator,ibbenese_navigator,confirmed_id,2,46,44,44,0,2,0,0.956522,0.000000,0.043478,,,insufficient_evidence
siege_attack,17,Sarnori Elite Javelinier [T4],sarnori_elite_javelinier,sarnor_elite_javelinier,confirmed_id,3,24,17,22,1,6,0,0.916667,0.041667,0.291667,,,insufficient_evidence
siege_attack,18,Ibbenese Tracker [T3],ibbenese_tracker,ibbenese_tracker,confirmed_id,1,8,4,7,1,3,0,0.875000,0.125000,0.500000,,,insufficient_evidence
siege_attack,19,Sarnori Javelineer [T3],sarnori_javelineer,sarnor_javelinier,confirmed_id,2,5,1,4,2,2,0,0.800000,0.400000,0.800000,,,insufficient_evidence
siege_attack,20,Ibbenese Sailor [T4],ibbenese_sailor,ibbenese_sailor,confirmed_id,2,9,7,7,0,2,0,0.777778,0.000000,0.222222,,,insufficient_evidence
siege_attack,21,Yi Ti Mounted Shi [T6],yi_ti_mounted_shi,yiti_samurai,confirmed_id,1,3,3,2,0,0,0,0.666667,0.000000,0.000000,,,insufficient_evidence
