observation_id,battle_id,source_image_file,source_image_sha256,field,original_value,reviewed_value,decision_status,reason,reviewer,evidence_reference
sarnori_202608_0004,battle_20260808_234110_ghiscari_field,Screenshot 08_08_2026 23_41_10.png,4ec32e0731e6a730d0b1dca4da0cd72f50314b16a9d2c2538bd9069c565e1ed7,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence sarnori_202608_0004; review_queue.csv; source SHA-256 4ec32e0731e6a730d0b1dca4da0cd72f50314b16a9d2c2538bd9069c565e1ed7
sarnori_202608_0007,battle_20260808_234110_ghiscari_field,Screenshot 08_08_2026 23_41_10.png,4ec32e0731e6a730d0b1dca4da0cd72f50314b16a9d2c2538bd9069c565e1ed7,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence sarnori_202608_0007; review_queue.csv; source SHA-256 4ec32e0731e6a730d0b1dca4da0cd72f50314b16a9d2c2538bd9069c565e1ed7
sarnori_202608_0008,battle_20260808_234110_ghiscari_field,Screenshot 08_08_2026 23_41_10.png,4ec32e0731e6a730d0b1dca4da0cd72f50314b16a9d2c2538bd9069c565e1ed7,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence sarnori_202608_0008; review_queue.csv; source SHA-256 4ec32e0731e6a730d0b1dca4da0cd72f50314b16a9d2c2538bd9069c565e1ed7
sarnori_202608_0019,battle_20260808_234110_ghiscari_field,Screenshot 08_08_2026 23_41_10.png,4ec32e0731e6a730d0b1dca4da0cd72f50314b16a9d2c2538bd9069c565e1ed7,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence sarnori_202608_0019; review_queue.csv; source SHA-256 4ec32e0731e6a730d0b1dca4da0cd72f50314b16a9d2c2538bd9069c565e1ed7
sarnori_202608_0021,battle_20260808_234110_ghiscari_field,Screenshot 08_08_2026 23_41_10.png,4ec32e0731e6a730d0b1dca4da0cd72f50314b16a9d2c2538bd9069c565e1ed7,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence sarnori_202608_0021; review_queue.csv; source SHA-256 4ec32e0731e6a730d0b1dca4da0cd72f50314b16a9d2c2538bd9069c565e1ed7
sarnori_202608_0047,battle_20260808_234957_vaes_diaf_siege,Mount and Blade II Bannerlord - Singleplayer PID_ 4216 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 08_08_2026 23_49_57.png,cec9bd3637b11fc5bf2011d4bfacea9b5937db51506f939869420d0c1bc870ba,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence sarnori_202608_0047; review_queue.csv; source SHA-256 cec9bd3637b11fc5bf2011d4bfacea9b5937db51506f939869420d0c1bc870ba
sarnori_202608_0099,battle_20260809_003620_ibbenese_field,Mount and Blade II Bannerlord - Singleplayer PID_ 29540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 09_08_2026 00_36_20.png,3b4a941813c8ecffe71a779a91d9373ff80aa95f947c5950fd267d03846e1b13,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence sarnori_202608_0099; review_queue.csv; source SHA-256 3b4a941813c8ecffe71a779a91d9373ff80aa95f947c5950fd267d03846e1b13
sarnori_202608_0105,battle_20260809_003620_ibbenese_field,Mount and Blade II Bannerlord - Singleplayer PID_ 29540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 09_08_2026 00_36_20.png,3b4a941813c8ecffe71a779a91d9373ff80aa95f947c5950fd267d03846e1b13,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence sarnori_202608_0105; review_queue.csv; source SHA-256 3b4a941813c8ecffe71a779a91d9373ff80aa95f947c5950fd267d03846e1b13
sarnori_202608_0151,battle_20260810_223715_casat_field,Mount and Blade II Bannerlord - Singleplayer PID_ 21688 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 10_08_2026 22_37_15.png,e7dfed6391fa4ea594b055bde13b49987cdf8e87d6e5838e8d5786e49909229e,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence sarnori_202608_0151; review_queue.csv; source SHA-256 e7dfed6391fa4ea594b055bde13b49987cdf8e87d6e5838e8d5786e49909229e
sarnori_202608_0159,battle_20260810_223715_casat_field,Mount and Blade II Bannerlord - Singleplayer PID_ 21688 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 10_08_2026 22_37_15.png,e7dfed6391fa4ea594b055bde13b49987cdf8e87d6e5838e8d5786e49909229e,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence sarnori_202608_0159; review_queue.csv; source SHA-256 e7dfed6391fa4ea594b055bde13b49987cdf8e87d6e5838e8d5786e49909229e
sarnori_202608_0162,battle_20260810_223715_casat_field,Mount and Blade II Bannerlord - Singleplayer PID_ 21688 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 10_08_2026 22_37_15.png,e7dfed6391fa4ea594b055bde13b49987cdf8e87d6e5838e8d5786e49909229e,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence sarnori_202608_0162; review_queue.csv; source SHA-256 e7dfed6391fa4ea594b055bde13b49987cdf8e87d6e5838e8d5786e49909229e
