observation_id,battle_id,source_image_file,display_name_raw,row_type,uncertain_fields,notes
sarnori_202608_0004,battle_20260808_234110_ghiscari_field,Screenshot 08_08_2026 23_41_10.png,Huzo Amai,player,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
sarnori_202608_0007,battle_20260808_234110_ghiscari_field,Screenshot 08_08_2026 23_41_10.png,Hizar Amai,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
sarnori_202608_0008,battle_20260808_234110_ghiscari_field,Screenshot 08_08_2026 23_41_10.png,Lord Petyr Baelish,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
sarnori_202608_0019,battle_20260808_234110_ghiscari_field,Screenshot 08_08_2026 23_41_10.png,Samwell Tarly,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
sarnori_202608_0021,battle_20260808_234110_ghiscari_field,Screenshot 08_08_2026 23_41_10.png,Aerotrea,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
sarnori_202608_0047,battle_20260808_234957_vaes_diaf_siege,Mount and Blade II Bannerlord - Singleplayer PID_ 4216 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 08_08_2026 23_49_57.png,Samwell Tarly,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
sarnori_202608_0099,battle_20260809_003620_ibbenese_field,Mount and Blade II Bannerlord - Singleplayer PID_ 29540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 09_08_2026 00_36_20.png,Hizar Amai,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
sarnori_202608_0105,battle_20260809_003620_ibbenese_field,Mount and Blade II Bannerlord - Singleplayer PID_ 29540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 09_08_2026 00_36_20.png,Lord Petyr Baelish,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
sarnori_202608_0151,battle_20260810_223715_casat_field,Mount and Blade II Bannerlord - Singleplayer PID_ 21688 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 10_08_2026 22_37_15.png,Nangma Casat,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
sarnori_202608_0159,battle_20260810_223715_casat_field,Mount and Blade II Bannerlord - Singleplayer PID_ 21688 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 10_08_2026 22_37_15.png,Samwell Tarly,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
sarnori_202608_0162,battle_20260810_223715_casat_field,Mount and Blade II Bannerlord - Singleplayer PID_ 21688 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 10_08_2026 22_37_15.png,Huzo Amai,player,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
sarnori_202608_0189,battle_20260810_230236_iksa_calo_siege,Mount and Blade II Bannerlord - Singleplayer PID_ 21688 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 10_08_2026 23_02_36.png,Braavosi Trained Archer [T3],troop,deaths|wounded,bottom row is clipped; casualty columns remain unresolved
