cohort,source_batch_id,schema_version,normalization_commit,normalization_commit_verification,archive_sha256,battle_id,captured_at,player_side
baseline,combat_2026-07-27_103534_104834_rot,1.1.0,2f4fdaa56ed75328f837f852e3789a24125c6bfd,identifier_format_only_not_compared_to_worktree,70abe0385130a6d96aa9c594b08edc9bfa528bfdddeedd94c92dcf1d9de940ce,B01,2026-07-27T10:35:34-03:00,defender
baseline,combat_2026-07-27_103534_104834_rot,1.1.0,2f4fdaa56ed75328f837f852e3789a24125c6bfd,identifier_format_only_not_compared_to_worktree,70abe0385130a6d96aa9c594b08edc9bfa528bfdddeedd94c92dcf1d9de940ce,B02,2026-07-27T10:48:34-03:00,defender
baseline,combat_2026-07-27_222843_010541,1.1.0,4e0749b84f5efc297ebcb026fa6dfbdaaed7fdf1,identifier_format_only_not_compared_to_worktree,031a7c60d4ed239a2fcb70a81bb6edf047711c3a422ee3ba4420c4a4af534855,battle_20260726_232619_farman,,attacker
baseline,combat_2026-07-27_222843_010541,1.1.0,4e0749b84f5efc297ebcb026fa6dfbdaaed7fdf1,identifier_format_only_not_compared_to_worktree,031a7c60d4ed239a2fcb70a81bb6edf047711c3a422ee3ba4420c4a4af534855,battle_20260726_233535_lorch_lannister,,defender
baseline,combat_2026-07-27_222843_010541,1.1.0,4e0749b84f5efc297ebcb026fa6dfbdaaed7fdf1,identifier_format_only_not_compared_to_worktree,031a7c60d4ed239a2fcb70a81bb6edf047711c3a422ee3ba4420c4a4af534855,battle_20260726_235658_kenning,,attacker
baseline,combat_2026-07-27_222843_010541,1.1.0,4e0749b84f5efc297ebcb026fa6dfbdaaed7fdf1,identifier_format_only_not_compared_to_worktree,031a7c60d4ed239a2fcb70a81bb6edf047711c3a422ee3ba4420c4a4af534855,battle_20260727_004350_westerling,,attacker
current,combat_2026-08-11_ravens_teeth_field,2.0.0,85857f608ddf6be021c66a65435e57e8ee42023a,identifier_format_only_not_compared_to_worktree,78a6f3a80ea8351e847555b44f2e7f01c2b4db3d4b772a5af716dd5eedcebcb8,battle_20260811_143224_ravens_field,2026-08-11T14:32:24-03:00,defender
current,combat_2026-08-11_ravens_teeth_field,2.0.0,85857f608ddf6be021c66a65435e57e8ee42023a,identifier_format_only_not_compared_to_worktree,78a6f3a80ea8351e847555b44f2e7f01c2b4db3d4b772a5af716dd5eedcebcb8,battle_20260811_145204_ravens_field,2026-08-11T14:52:04-03:00,defender
current,combat_2026-08-11_ravens_teeth_field,2.0.0,85857f608ddf6be021c66a65435e57e8ee42023a,identifier_format_only_not_compared_to_worktree,78a6f3a80ea8351e847555b44f2e7f01c2b4db3d4b772a5af716dd5eedcebcb8,battle_20260811_151007_ravens_field,2026-08-11T15:10:07-03:00,defender
current,combat_2026-08-11_ravens_teeth_field,2.0.0,85857f608ddf6be021c66a65435e57e8ee42023a,identifier_format_only_not_compared_to_worktree,78a6f3a80ea8351e847555b44f2e7f01c2b4db3d4b772a5af716dd5eedcebcb8,battle_20260811_151622_ravens_field,2026-08-11T15:16:22-03:00,attacker
