observation_id,battle_id,source_image_file,source_image_sha256,field,original_value,reviewed_value,decision_status,reason,reviewer,evidence_reference
ravens_20260811_0025,battle_20260811_143224_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 14_32_24.png,a89339f55ab3d4f51475c8142578d49a780de2db3e1c26468a70d885fcba9999,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence ravens_20260811_0025; review_queue.csv; source SHA-256 a89339f55ab3d4f51475c8142578d49a780de2db3e1c26468a70d885fcba9999
ravens_20260811_0026,battle_20260811_143224_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 14_32_24.png,a89339f55ab3d4f51475c8142578d49a780de2db3e1c26468a70d885fcba9999,deaths,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: bottom row is clipped; casualty columns remain unresolved,Codex local analysis agent (GPT-5),normalized occurrence ravens_20260811_0026; review_queue.csv; source SHA-256 a89339f55ab3d4f51475c8142578d49a780de2db3e1c26468a70d885fcba9999
ravens_20260811_0026,battle_20260811_143224_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 14_32_24.png,a89339f55ab3d4f51475c8142578d49a780de2db3e1c26468a70d885fcba9999,wounded,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: bottom row is clipped; casualty columns remain unresolved,Codex local analysis agent (GPT-5),normalized occurrence ravens_20260811_0026; review_queue.csv; source SHA-256 a89339f55ab3d4f51475c8142578d49a780de2db3e1c26468a70d885fcba9999
ravens_20260811_0053,battle_20260811_145204_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 14_52_04.png,1141d8c88d59858352d7f3bd831aefbca2e9a52d0c4e616228be2d914b164ad2,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence ravens_20260811_0053; review_queue.csv; source SHA-256 1141d8c88d59858352d7f3bd831aefbca2e9a52d0c4e616228be2d914b164ad2
ravens_20260811_0054,battle_20260811_145204_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 14_52_04.png,1141d8c88d59858352d7f3bd831aefbca2e9a52d0c4e616228be2d914b164ad2,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence ravens_20260811_0054; review_queue.csv; source SHA-256 1141d8c88d59858352d7f3bd831aefbca2e9a52d0c4e616228be2d914b164ad2
ravens_20260811_0058,battle_20260811_145204_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 14_52_04.png,1141d8c88d59858352d7f3bd831aefbca2e9a52d0c4e616228be2d914b164ad2,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence ravens_20260811_0058; review_queue.csv; source SHA-256 1141d8c88d59858352d7f3bd831aefbca2e9a52d0c4e616228be2d914b164ad2
ravens_20260811_0074,battle_20260811_151007_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 15_10_07.png,87489b316a25c6e6866b893136c51c2d7736f59b0d33bd806144dd886ae614e5,deaths,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: bottom row is clipped; casualty columns remain unresolved,Codex local analysis agent (GPT-5),normalized occurrence ravens_20260811_0074; review_queue.csv; source SHA-256 87489b316a25c6e6866b893136c51c2d7736f59b0d33bd806144dd886ae614e5
ravens_20260811_0074,battle_20260811_151007_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 15_10_07.png,87489b316a25c6e6866b893136c51c2d7736f59b0d33bd806144dd886ae614e5,wounded,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: bottom row is clipped; casualty columns remain unresolved,Codex local analysis agent (GPT-5),normalized occurrence ravens_20260811_0074; review_queue.csv; source SHA-256 87489b316a25c6e6866b893136c51c2d7736f59b0d33bd806144dd886ae614e5
ravens_20260811_0092,battle_20260811_151007_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 15_10_07.png,87489b316a25c6e6866b893136c51c2d7736f59b0d33bd806144dd886ae614e5,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: bottom row is clipped and shows a white level-up icon; numeric upgrade and casualty cells remain unresolved,Codex local analysis agent (GPT-5),normalized occurrence ravens_20260811_0092; review_queue.csv; source SHA-256 87489b316a25c6e6866b893136c51c2d7736f59b0d33bd806144dd886ae614e5
ravens_20260811_0092,battle_20260811_151007_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 15_10_07.png,87489b316a25c6e6866b893136c51c2d7736f59b0d33bd806144dd886ae614e5,deaths,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: bottom row is clipped and shows a white level-up icon; numeric upgrade and casualty cells remain unresolved,Codex local analysis agent (GPT-5),normalized occurrence ravens_20260811_0092; review_queue.csv; source SHA-256 87489b316a25c6e6866b893136c51c2d7736f59b0d33bd806144dd886ae614e5
ravens_20260811_0092,battle_20260811_151007_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 15_10_07.png,87489b316a25c6e6866b893136c51c2d7736f59b0d33bd806144dd886ae614e5,wounded,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: bottom row is clipped and shows a white level-up icon; numeric upgrade and casualty cells remain unresolved,Codex local analysis agent (GPT-5),normalized occurrence ravens_20260811_0092; review_queue.csv; source SHA-256 87489b316a25c6e6866b893136c51c2d7736f59b0d33bd806144dd886ae614e5
ravens_20260811_0098,battle_20260811_151622_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 15_16_22.png,56087addbb874f8fd4f4b298ff230d93665fcb08d3dfff3defb48fc571a838f8,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence ravens_20260811_0098; review_queue.csv; source SHA-256 56087addbb874f8fd4f4b298ff230d93665fcb08d3dfff3defb48fc571a838f8
